schema,time,dataset,execution_layer,symbol,record_type,signal_time,scheduled_exit,direction,requested_price,actual_price,spread_points,slippage_points,volume,initial_risk_amount,stop_loss,order_ticket,deal_ticket,broker_retcode,fill_confirmed,atr_or_exit_reason
SOLTRADE_PHASE6_V27_TRANSACTION_V1,2025.02.03 02:05:00,V27_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,EURUSD,ENTRY_ATTEMPT,2025.02.03 02:05:00,2025.02.07 23:55:00,BUY,1.0260700000,0.0000000000,16,0.0000,0.01000000,25.17000000,1.0009000000,2,2,10009,NO,0.008389285714
SOLTRADE_PHASE6_V27_TRANSACTION_V1,2025.02.03 02:05:00,V27_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,GBPUSD,ENTRY_ATTEMPT,2025.02.03 02:05:00,2025.02.07 23:55:00,BUY,1.2304500000,0.0000000000,18,0.0000,0.01000000,31.37000000,1.1990800000,3,3,10009,NO,0.010454285714
SOLTRADE_PHASE6_V27_TRANSACTION_V1,2025.02.03 02:05:00,V27_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,AUDUSD,ENTRY_ATTEMPT,2025.02.03 02:05:00,2025.02.07 23:55:00,BUY,0.6147500000,0.0000000000,15,0.0000,0.02000000,33.66000000,0.5979200000,4,4,10009,NO,0.005608571429
SOLTRADE_PHASE6_V27_TRANSACTION_V1,2025.02.03 02:05:00,V27_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,GBPUSD,ENTRY_TRANSACTION,NONE,2025.02.07 23:55:00,BUY,1.2304500000,1.2304500000,18,0.0000,0.01000000,31.37000000,1.1990800000,3,3,10009,YES,0.000000000000
SOLTRADE_PHASE6_V27_TRANSACTION_V1,2025.02.03 02:05:00,V27_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,AUDUSD,ENTRY_TRANSACTION,NONE,2025.02.07 23:55:00,BUY,0.6147500000,0.6147500000,15,0.0000,0.02000000,33.66000000,0.5979200000,4,4,10009,YES,0.000000000000
SOLTRADE_PHASE6_V27_TRANSACTION_V1,2025.02.07 23:55:00,V27_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,EURUSD,EXIT_ATTEMPT,2025.02.07 23:55:00,2025.02.07 23:55:00,BUY,1.0325200000,0.0000000000,0,0.0000,0.01000000,0,0,5,5,10009,NO,WEEKEND_REVERSAL_WEEK_END
SOLTRADE_PHASE6_V27_TRANSACTION_V1,2025.02.07 23:55:00,V27_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,GBPUSD,EXIT_ATTEMPT,2025.02.07 23:55:00,2025.02.07 23:55:00,BUY,1.2398400000,0.0000000000,0,0.0000,0.01000000,0,0,6,6,10009,NO,WEEKEND_REVERSAL_WEEK_END
SOLTRADE_PHASE6_V27_TRANSACTION_V1,2025.02.07 23:55:00,V27_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,AUDUSD,EXIT_ATTEMPT,2025.02.07 23:55:00,2025.02.07 23:55:00,BUY,0.6269600000,0.0000000000,0,0.0000,0.02000000,0,0,7,7,10009,NO,WEEKEND_REVERSAL_WEEK_END
SOLTRADE_PHASE6_V27_TRANSACTION_V1,2025.02.07 23:55:00,V27_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,EURUSD,EXIT_TRANSACTION,NONE,NONE,BUY,1.0325200000,1.0325200000,0,0.0000,0.01000000,0,0,5,5,10009,YES,WEEKEND_REVERSAL_WEEK_END
SOLTRADE_PHASE6_V27_TRANSACTION_V1,2025.02.07 23:55:00,V27_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,GBPUSD,EXIT_TRANSACTION,NONE,NONE,BUY,1.2398400000,1.2398400000,0,0.0000,0.01000000,0,0,6,6,10009,YES,WEEKEND_REVERSAL_WEEK_END
SOLTRADE_PHASE6_V27_TRANSACTION_V1,2025.02.07 23:55:00,V27_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,AUDUSD,EXIT_TRANSACTION,NONE,NONE,BUY,0.6269600000,0.6269600000,0,0.0000,0.02000000,0,0,7,7,10009,YES,WEEKEND_REVERSAL_WEEK_END
SOLTRADE_PHASE6_V27_TRANSACTION_V1,2025.02.10 02:05:00,V27_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,EURUSD,ENTRY_ATTEMPT,2025.02.10 02:05:00,2025.02.14 23:55:00,BUY,1.0317000000,0.0000000000,11,0.0000,0.01000000,26.02000000,1.0056800000,8,8,10009,NO,0.008671428571
SOLTRADE_PHASE6_V27_TRANSACTION_V1,2025.02.10 02:05:00,V27_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,GBPUSD,ENTRY_ATTEMPT,2025.02.10 02:05:00,2025.02.14 23:55:00,BUY,1.2397100000,0.0000000000,18,0.0000,0.01000000,32.55000000,1.2071600000,9,9,10009,NO,0.010847857143
SOLTRADE_PHASE6_V27_TRANSACTION_V1,2025.02.10 02:05:00,V27_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,GBPUSD,ENTRY_TRANSACTION,NONE,2025.02.14 23:55:00,BUY,1.2397100000,1.2397100000,18,0.0000,0.01000000,32.55000000,1.2071600000,9,9,10009,YES,0.000000000000
SOLTRADE_PHASE6_V27_TRANSACTION_V1,2025.02.17 00:03:04,V27_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,EURUSD,EXIT_ATTEMPT,2025.02.14 23:55:00,2025.02.14 23:55:00,BUY,1.0484800000,0.0000000000,0,0.0000,0.01000000,0,0,10,10,10009,NO,WEEKEND_REVERSAL_WEEK_END
SOLTRADE_PHASE6_V27_TRANSACTION_V1,2025.02.17 00:03:04,V27_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,GBPUSD,EXIT_ATTEMPT,2025.02.14 23:55:00,2025.02.14 23:55:00,BUY,0.0000000000,0.0000000000,0,0.0000,0.01000000,0,0,0,0,0,NO,NONE
SOLTRADE_PHASE6_V27_TRANSACTION_V1,2025.02.17 00:03:04,V27_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,EURUSD,EXIT_TRANSACTION,NONE,NONE,BUY,1.0484800000,1.0484800000,0,0.0000,0.01000000,0,0,10,10,10009,YES,WEEKEND_REVERSAL_WEEK_END
SOLTRADE_PHASE6_V27_TRANSACTION_V1,2025.02.17 00:03:12,V27_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,GBPUSD,EXIT_ATTEMPT,2025.02.14 23:55:00,2025.02.14 23:55:00,BUY,1.2584300000,0.0000000000,0,0.0000,0.01000000,0,0,11,11,10009,NO,WEEKEND_REVERSAL_WEEK_END
SOLTRADE_PHASE6_V27_TRANSACTION_V1,2025.02.17 00:03:12,V27_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,GBPUSD,EXIT_TRANSACTION,NONE,NONE,BUY,1.2584300000,1.2584300000,0,0.0000,0.01000000,0,0,11,11,10009,YES,WEEKEND_REVERSAL_WEEK_END
SOLTRADE_PHASE6_V27_TRANSACTION_V1,2025.03.03 02:05:00,V27_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,EURUSD,ENTRY_ATTEMPT,2025.03.03 02:05:00,2025.03.07 23:55:00,SELL,1.0402200000,0.0000000000,12,0.0000,0.02000000,43.04000000,1.0617400000,12,12,10009,NO,0.007172142857
SOLTRADE_PHASE6_V27_TRANSACTION_V1,2025.04.07 02:05:00,V27_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,EURUSD,ENTRY_ATTEMPT,2025.04.07 02:05:00,2025.04.11 23:55:00,BUY,1.0988000000,0.0000000000,14,0.0000,0.01000000,31.22000000,1.0675800000,14,14,10009,NO,0.010405714286
SOLTRADE_PHASE6_V27_TRANSACTION_V1,2025.04.07 02:05:00,V27_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,GBPUSD,ENTRY_ATTEMPT,2025.04.07 02:05:00,2025.04.11 23:55:00,BUY,1.2887700000,0.0000000000,15,0.0000,0.01000000,30.83000000,1.2579400000,15,15,10009,NO,0.010276428571
SOLTRADE_PHASE6_V27_TRANSACTION_V1,2025.04.07 02:05:00,V27_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,AUDUSD,ENTRY_ATTEMPT,2025.04.07 02:05:00,2025.04.11 23:55:00,BUY,0.6000900000,0.0000000000,12,0.0000,0.01000000,25.32000000,0.5747700000,16,16,10009,NO,0.008439285714
SOLTRADE_PHASE6_V27_TRANSACTION_V1,2025.04.07 02:05:00,V27_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,USDCAD,ENTRY_ATTEMPT,2025.04.07 02:05:00,2025.04.11 23:55:00,SELL,1.4228900000,0.0000000000,13,0.0000,0.02000000,43.82629718,1.4540700000,17,17,10009,NO,0.010391428571
SOLTRADE_PHASE6_V27_TRANSACTION_V1,2025.04.07 02:05:00,V27_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,USDCHF,ENTRY_ATTEMPT,2025.04.07 02:05:00,2025.04.11 23:55:00,BUY,0.8522100000,0.0000000000,16,0.0000,0.01000000,26.25432780,0.8298400000,18,18,10009,NO,0.007456428571
SOLTRADE_PHASE6_V27_TRANSACTION_V1,2025.04.07 02:05:00,V27_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,USDJPY,ENTRY_ATTEMPT,2025.04.07 02:05:00,2025.04.11 23:55:00,BUY,145.2210000000,0.0000000000,14,0.0000,0.01000000,32.78078880,140.4610000000,19,19,10009,NO,1.586642857143
SOLTRADE_PHASE6_V27_TRANSACTION_V1,2025.04.07 02:05:00,V27_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,GBPUSD,ENTRY_TRANSACTION,NONE,2025.04.11 23:55:00,BUY,1.2887700000,1.2887700000,15,0.0000,0.01000000,30.83000000,1.2579400000,15,15,10009,YES,0.000000000000
SOLTRADE_PHASE6_V27_TRANSACTION_V1,2025.04.07 02:05:00,V27_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,AUDUSD,ENTRY_TRANSACTION,NONE,2025.04.11 23:55:00,BUY,0.6000900000,0.6000900000,12,0.0000,0.01000000,25.32000000,0.5747700000,16,16,10009,YES,0.000000000000
SOLTRADE_PHASE6_V27_TRANSACTION_V1,2025.04.07 02:05:00,V27_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,USDCAD,ENTRY_TRANSACTION,NONE,2025.04.11 23:55:00,SELL,1.4228900000,1.4228900000,13,0.0000,0.02000000,43.82629718,1.4540700000,17,17,10009,YES,0.000000000000
SOLTRADE_PHASE6_V27_TRANSACTION_V1,2025.04.07 02:05:00,V27_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,USDCHF,ENTRY_TRANSACTION,NONE,2025.04.11 23:55:00,BUY,0.8522100000,0.8522100000,16,0.0000,0.01000000,26.25432780,0.8298400000,18,18,10009,YES,0.000000000000
SOLTRADE_PHASE6_V27_TRANSACTION_V1,2025.04.07 02:05:00,V27_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,USDJPY,ENTRY_TRANSACTION,NONE,2025.04.11 23:55:00,BUY,145.2210000000,145.2210000000,14,0.0000,0.01000000,32.78078880,140.4610000000,19,19,10009,YES,0.000000000000
SOLTRADE_PHASE6_V27_TRANSACTION_V1,2025.04.11 23:58:00,V27_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,EURUSD,EXIT_ATTEMPT,2025.04.11 23:55:00,2025.04.11 23:55:00,BUY,1.1353300000,0.0000000000,0,0.0000,0.01000000,0,0,21,21,10009,NO,WEEKEND_REVERSAL_WEEK_END
SOLTRADE_PHASE6_V27_TRANSACTION_V1,2025.04.11 23:58:00,V27_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,GBPUSD,EXIT_ATTEMPT,2025.04.11 23:55:00,2025.04.11 23:55:00,BUY,1.3078200000,0.0000000000,0,0.0000,0.01000000,0,0,22,22,10009,NO,WEEKEND_REVERSAL_WEEK_END
SOLTRADE_PHASE6_V27_TRANSACTION_V1,2025.04.11 23:58:00,V27_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,AUDUSD,EXIT_ATTEMPT,2025.04.11 23:55:00,2025.04.11 23:55:00,BUY,0.6285800000,0.0000000000,0,0.0000,0.01000000,0,0,23,23,10009,NO,WEEKEND_REVERSAL_WEEK_END
SOLTRADE_PHASE6_V27_TRANSACTION_V1,2025.04.11 23:58:00,V27_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,USDCAD,EXIT_ATTEMPT,2025.04.11 23:55:00,2025.04.11 23:55:00,SELL,0.0000000000,0.0000000000,0,0.0000,0.02000000,0,0,0,0,0,NO,NONE
SOLTRADE_PHASE6_V27_TRANSACTION_V1,2025.04.11 23:58:00,V27_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,USDJPY,EXIT_ATTEMPT,2025.04.11 23:55:00,2025.04.11 23:55:00,BUY,143.4420000000,0.0000000000,0,0.0000,0.01000000,0,0,24,24,10009,NO,WEEKEND_REVERSAL_WEEK_END
SOLTRADE_PHASE6_V27_TRANSACTION_V1,2025.04.11 23:58:00,V27_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,EURUSD,EXIT_TRANSACTION,NONE,NONE,BUY,1.1353300000,1.1353300000,0,0.0000,0.01000000,0,0,21,21,10009,YES,WEEKEND_REVERSAL_WEEK_END
SOLTRADE_PHASE6_V27_TRANSACTION_V1,2025.04.11 23:58:00,V27_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,GBPUSD,EXIT_TRANSACTION,NONE,NONE,BUY,1.3078200000,1.3078200000,0,0.0000,0.01000000,0,0,22,22,10009,YES,WEEKEND_REVERSAL_WEEK_END
SOLTRADE_PHASE6_V27_TRANSACTION_V1,2025.04.11 23:58:00,V27_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,AUDUSD,EXIT_TRANSACTION,NONE,NONE,BUY,0.6285800000,0.6285800000,0,0.0000,0.01000000,0,0,23,23,10009,YES,WEEKEND_REVERSAL_WEEK_END
SOLTRADE_PHASE6_V27_TRANSACTION_V1,2025.04.11 23:58:00,V27_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,USDJPY,EXIT_TRANSACTION,NONE,NONE,BUY,143.4420000000,143.4420000000,0,0.0000,0.01000000,0,0,24,24,10009,YES,WEEKEND_REVERSAL_WEEK_END
SOLTRADE_PHASE6_V27_TRANSACTION_V1,2025.04.11 23:58:00,V27_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,USDCAD,EXIT_ATTEMPT,2025.04.11 23:55:00,2025.04.11 23:55:00,SELL,1.3871800000,0.0000000000,0,0.0000,0.02000000,0,0,25,25,10009,NO,WEEKEND_REVERSAL_WEEK_END
SOLTRADE_PHASE6_V27_TRANSACTION_V1,2025.04.11 23:58:00,V27_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,USDCAD,EXIT_TRANSACTION,NONE,NONE,SELL,1.3871800000,1.3871800000,0,0.0000,0.02000000,0,0,25,25,10009,YES,WEEKEND_REVERSAL_WEEK_END
SOLTRADE_PHASE6_V27_TRANSACTION_V1,2025.04.14 02:05:00,V27_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,EURUSD,ENTRY_ATTEMPT,2025.04.14 02:05:00,2025.04.18 23:55:00,BUY,1.1331900000,0.0000000000,23,0.0000,0.01000000,45.22000000,1.0879700000,26,26,10009,NO,0.015072857143
SOLTRADE_PHASE6_V27_TRANSACTION_V1,2025.04.14 02:05:00,V27_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,AUDUSD,ENTRY_ATTEMPT,2025.04.14 02:05:00,2025.04.18 23:55:00,SELL,0.6279500000,0.0000000000,23,0.0000,0.01000000,37.35000000,0.6653000000,27,27,10009,NO,0.012450000000
SOLTRADE_PHASE6_V27_TRANSACTION_V1,2025.04.14 02:05:00,V27_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,USDCHF,ENTRY_ATTEMPT,2025.04.14 02:05:00,2025.04.18 23:55:00,SELL,0.8173400000,0.0000000000,23,0.0000,0.01000000,47.88477763,0.8570700000,28,28,10009,NO,0.013242142857
SOLTRADE_PHASE6_V27_TRANSACTION_V1,2025.04.14 02:05:00,V27_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,USDJPY,ENTRY_ATTEMPT,2025.04.14 02:05:00,2025.04.18 23:55:00,SELL,143.5960000000,0.0000000000,16,0.0000,0.01000000,48.99541278,150.6240000000,29,29,10009,NO,2.342357142857
