schema,time,dataset,execution_layer,symbol,record_type,signal_time,scheduled_exit,direction,requested_price,actual_price,spread_points,slippage_points,volume,initial_risk_amount,stop_loss,order_ticket,deal_ticket,broker_retcode,fill_confirmed,atr_or_exit_reason
SOLTRADE_PHASE6_V27_TRANSACTION_V1,2026.01.19 02:05:00,V27_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,GBPUSD,ENTRY_ATTEMPT,2026.01.19 02:05:00,2026.01.23 23:55:00,BUY,1.3396600000,0.0000000000,16,0.0000,0.02000000,42.86000000,1.3182300000,2,2,10009,NO,0.007142857143
SOLTRADE_PHASE6_V27_TRANSACTION_V1,2026.01.19 02:05:00,V27_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,GBPUSD,ENTRY_TRANSACTION,NONE,2026.01.23 23:55:00,BUY,1.3396600000,1.3396600000,16,0.0000,0.02000000,42.86000000,1.3182300000,2,2,10009,YES,0.000000000000
SOLTRADE_PHASE6_V27_TRANSACTION_V1,2026.01.23 23:55:00,V27_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,GBPUSD,EXIT_ATTEMPT,2026.01.23 23:55:00,2026.01.23 23:55:00,BUY,1.3642300000,0.0000000000,0,0.0000,0.02000000,0,0,3,3,10009,NO,WEEKEND_REVERSAL_WEEK_END
SOLTRADE_PHASE6_V27_TRANSACTION_V1,2026.01.23 23:55:00,V27_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,GBPUSD,EXIT_TRANSACTION,NONE,NONE,BUY,1.3642300000,1.3641900000,0,4.0000,0.02000000,0,0,3,3,10009,YES,WEEKEND_REVERSAL_WEEK_END
SOLTRADE_PHASE6_V27_TRANSACTION_V1,2026.01.26 02:05:00,V27_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,EURUSD,ENTRY_ATTEMPT,2026.01.26 02:05:00,2026.01.30 23:55:00,SELL,1.1852700000,0.0000000000,18,0.0000,0.02000000,37.88000000,1.2042100000,4,4,10009,NO,0.006312142857
SOLTRADE_PHASE6_V27_TRANSACTION_V1,2026.01.26 02:05:00,V27_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,AUDUSD,ENTRY_ATTEMPT,2026.01.26 02:05:00,2026.01.30 23:55:00,SELL,0.6907800000,0.0000000000,17,0.0000,0.03000000,44.49000000,0.7056100000,5,5,10009,NO,0.004942142857
SOLTRADE_PHASE6_V27_TRANSACTION_V1,2026.01.26 02:05:01,V27_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,USDCHF,ENTRY_ATTEMPT,2026.01.26 02:05:00,2026.01.30 23:55:00,BUY,0.7785200000,0.0000000000,27,0.0000,0.02000000,49.75456812,0.7591600000,6,6,10009,NO,0.006452857143
SOLTRADE_PHASE6_V27_TRANSACTION_V1,2026.01.26 02:05:01,V27_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,USDJPY,ENTRY_ATTEMPT,2026.01.26 02:05:00,2026.01.30 23:55:00,BUY,155.1530000000,0.0000000000,23,0.0000,0.02000000,41.91404462,151.9020000000,7,7,10009,NO,1.083428571429
SOLTRADE_PHASE6_V27_TRANSACTION_V1,2026.01.26 02:05:01,V27_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,AUDUSD,ENTRY_TRANSACTION,NONE,2026.01.30 23:55:00,SELL,0.6907800000,0.6907900000,17,-1.0000,0.03000000,44.46000000,0.7056100000,5,5,10009,YES,0.000000000000
SOLTRADE_PHASE6_V27_TRANSACTION_V1,2026.01.26 02:05:01,V27_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,USDCHF,ENTRY_TRANSACTION,NONE,2026.01.30 23:55:00,BUY,0.7785200000,0.7784900000,27,-3.0000,0.02000000,49.67746910,0.7591600000,6,6,10009,YES,0.000000000000
SOLTRADE_PHASE6_V27_TRANSACTION_V1,2026.01.26 02:05:01,V27_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,USDJPY,ENTRY_TRANSACTION,NONE,2026.01.30 23:55:00,BUY,155.1530000000,155.1510000000,23,-2.0000,0.02000000,41.88717922,151.9020000000,7,7,10009,YES,0.000000000000
SOLTRADE_PHASE6_V27_TRANSACTION_V1,2026.01.30 23:55:00,V27_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,USDCHF,EXIT_ATTEMPT,2026.01.30 23:55:00,2026.01.30 23:55:00,BUY,0.7728900000,0.0000000000,0,0.0000,0.02000000,0,0,10,10,10009,NO,WEEKEND_REVERSAL_WEEK_END
SOLTRADE_PHASE6_V27_TRANSACTION_V1,2026.01.30 23:55:00,V27_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,USDJPY,EXIT_ATTEMPT,2026.01.30 23:55:00,2026.01.30 23:55:00,BUY,154.7580000000,0.0000000000,0,0.0000,0.02000000,0,0,11,11,10009,NO,WEEKEND_REVERSAL_WEEK_END
SOLTRADE_PHASE6_V27_TRANSACTION_V1,2026.01.30 23:55:00,V27_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,USDCHF,EXIT_TRANSACTION,NONE,NONE,BUY,0.7728900000,0.7729000000,0,-1.0000,0.02000000,0,0,10,10,10009,YES,WEEKEND_REVERSAL_WEEK_END
SOLTRADE_PHASE6_V27_TRANSACTION_V1,2026.01.30 23:55:00,V27_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,USDJPY,EXIT_TRANSACTION,NONE,NONE,BUY,154.7580000000,154.7580000000,0,0.0000,0.02000000,0,0,11,11,10009,YES,WEEKEND_REVERSAL_WEEK_END
SOLTRADE_PHASE6_V27_TRANSACTION_V1,2026.02.09 02:08:31,V27_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,USDCHF,ENTRY_ATTEMPT,2026.02.09 02:05:00,2026.02.13 23:55:00,BUY,0.7757500000,0.0000000000,20,0.0000,0.01000000,34.17000906,0.7493400000,12,12,10009,NO,0.008802857143
SOLTRADE_PHASE6_V27_TRANSACTION_V1,2026.02.09 02:08:31,V27_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,USDJPY,ENTRY_ATTEMPT,2026.02.09 02:05:00,2026.02.13 23:55:00,SELL,156.9300000000,0.0000000000,24,0.0000,0.01000000,28.99365461,161.4170000000,13,13,10009,NO,1.495642857143
