schema,dataset,monday,symbol,orientation,evaluation_status,tail,foreign_gap_log_return,lower_5pct_threshold,upper_95pct_threshold,monday_00_h1_open,friday_23_h1_close,oldest_threshold_observation,entry_target,scheduled_exit
SOLTRADE_PHASE6_V27_SIGNAL_V1,V27_2025_DEVELOPMENT,2025.01.06 00:00:00,EURUSD,1,EVALUATED,NONE,-0.000553164454,-0.001842440451,0.001220420734,1.0301500000,1.0307200000,2019.12.09 00:00:00,2025.01.06 02:05:00,2025.01.10 23:55:00
SOLTRADE_PHASE6_V27_SIGNAL_V1,V27_2025_DEVELOPMENT,2025.01.06 00:00:00,GBPUSD,1,EVALUATED,NONE,-0.000257651029,-0.002404153038,0.001396879029,1.2418300000,1.2421500000,2019.12.09 00:00:00,2025.01.06 02:05:00,2025.01.10 23:55:00
SOLTRADE_PHASE6_V27_SIGNAL_V1,V27_2025_DEVELOPMENT,2025.01.06 00:00:00,AUDUSD,1,EVALUATED,NONE,-0.001046488323,-0.004012056123,0.001518831544,0.6208000000,0.6214500000,2019.12.09 00:00:00,2025.01.06 02:05:00,2025.01.10 23:55:00
SOLTRADE_PHASE6_V27_SIGNAL_V1,V27_2025_DEVELOPMENT,2025.01.06 00:00:00,NZDUSD,1,THRESHOLD_HISTORY_UNAVAILABLE,NONE,0.000891488131,0.000000000000,0.000000000000,0.5611100000,0.5606100000,2020.03.02 00:00:00,2025.01.06 02:05:00,2025.01.10 23:55:00
SOLTRADE_PHASE6_V27_SIGNAL_V1,V27_2025_DEVELOPMENT,2025.01.06 00:00:00,USDCAD,-1,THRESHOLD_HISTORY_UNAVAILABLE,NONE,0.000526264779,0.000000000000,0.000000000000,1.4437600000,1.4445200000,2020.03.02 00:00:00,2025.01.06 02:05:00,2025.01.10 23:55:00
SOLTRADE_PHASE6_V27_SIGNAL_V1,V27_2025_DEVELOPMENT,2025.01.06 00:00:00,USDCHF,-1,THRESHOLD_HISTORY_UNAVAILABLE,NONE,-0.000605316902,0.000000000000,0.000000000000,0.9088900000,0.9083400000,2020.03.02 00:00:00,2025.01.06 02:05:00,2025.01.10 23:55:00
SOLTRADE_PHASE6_V27_SIGNAL_V1,V27_2025_DEVELOPMENT,2025.01.06 00:00:00,USDJPY,-1,THRESHOLD_HISTORY_UNAVAILABLE,NONE,0.000763373384,0.000000000000,0.000000000000,157.1370000000,157.2570000000,2020.03.02 00:00:00,2025.01.06 02:05:00,2025.01.10 23:55:00
SOLTRADE_PHASE6_V27_SIGNAL_V1,V27_2025_DEVELOPMENT,2025.01.13 00:00:00,EURUSD,1,EVALUATED,NONE,-0.001338276363,-0.001842440451,0.001220420734,1.0230200000,1.0243900000,2019.12.16 00:00:00,2025.01.13 02:05:00,2025.01.17 23:55:00
SOLTRADE_PHASE6_V27_SIGNAL_V1,V27_2025_DEVELOPMENT,2025.01.13 00:00:00,GBPUSD,1,EVALUATED,NONE,0.000311276400,-0.002404153038,0.001396879029,1.2209700000,1.2205900000,2019.12.16 00:00:00,2025.01.13 02:05:00,2025.01.17 23:55:00
SOLTRADE_PHASE6_V27_SIGNAL_V1,V27_2025_DEVELOPMENT,2025.01.13 00:00:00,AUDUSD,1,EVALUATED,NONE,-0.000113966608,-0.004012056123,0.001518831544,0.6141800000,0.6142500000,2019.12.16 00:00:00,2025.01.13 02:05:00,2025.01.17 23:55:00
SOLTRADE_PHASE6_V27_SIGNAL_V1,V27_2025_DEVELOPMENT,2025.01.13 00:00:00,NZDUSD,1,THRESHOLD_HISTORY_UNAVAILABLE,NONE,0.000018018830,0.000000000000,0.000000000000,0.5549800000,0.5549700000,2020.03.02 00:00:00,2025.01.13 02:05:00,2025.01.17 23:55:00
SOLTRADE_PHASE6_V27_SIGNAL_V1,V27_2025_DEVELOPMENT,2025.01.13 00:00:00,USDCAD,-1,THRESHOLD_HISTORY_UNAVAILABLE,NONE,0.000027744831,0.000000000000,0.000000000000,1.4416900000,1.4417300000,2020.03.02 00:00:00,2025.01.13 02:05:00,2025.01.17 23:55:00
SOLTRADE_PHASE6_V27_SIGNAL_V1,V27_2025_DEVELOPMENT,2025.01.13 00:00:00,USDCHF,-1,THRESHOLD_HISTORY_UNAVAILABLE,NONE,0.000196579517,0.000000000000,0.000000000000,0.9155700000,0.9157500000,2020.03.02 00:00:00,2025.01.13 02:05:00,2025.01.17 23:55:00
SOLTRADE_PHASE6_V27_SIGNAL_V1,V27_2025_DEVELOPMENT,2025.01.13 00:00:00,USDJPY,-1,THRESHOLD_HISTORY_UNAVAILABLE,NONE,0.000145859956,0.000000000000,0.000000000000,157.6740000000,157.6970000000,2020.03.02 00:00:00,2025.01.13 02:05:00,2025.01.17 23:55:00
SOLTRADE_PHASE6_V27_SIGNAL_V1,V27_2025_DEVELOPMENT,2025.01.20 00:00:00,EURUSD,1,EVALUATED,NONE,0.000846810156,-0.001842440451,0.001220420734,1.0278200000,1.0269500000,2019.12.23 00:00:00,2025.01.20 02:05:00,2025.01.24 23:55:00
SOLTRADE_PHASE6_V27_SIGNAL_V1,V27_2025_DEVELOPMENT,2025.01.20 00:00:00,GBPUSD,1,EVALUATED,NONE,0.000386282854,-0.002404153038,0.001396879029,1.2169600000,1.2164900000,2019.12.23 00:00:00,2025.01.20 02:05:00,2025.01.24 23:55:00
SOLTRADE_PHASE6_V27_SIGNAL_V1,V27_2025_DEVELOPMENT,2025.01.20 00:00:00,AUDUSD,1,EVALUATED,NONE,0.001098049458,-0.004012056123,0.001518831544,0.6196200000,0.6189400000,2019.12.23 00:00:00,2025.01.20 02:05:00,2025.01.24 23:55:00
SOLTRADE_PHASE6_V27_SIGNAL_V1,V27_2025_DEVELOPMENT,2025.01.20 00:00:00,NZDUSD,1,THRESHOLD_HISTORY_UNAVAILABLE,NONE,0.002579121305,0.000000000000,0.000000000000,0.5590500000,0.5576100000,2020.03.02 00:00:00,2025.01.20 02:05:00,2025.01.24 23:55:00
SOLTRADE_PHASE6_V27_SIGNAL_V1,V27_2025_DEVELOPMENT,2025.01.20 00:00:00,USDCAD,-1,THRESHOLD_HISTORY_UNAVAILABLE,NONE,0.002939622318,0.000000000000,0.000000000000,1.4436400000,1.4478900000,2020.03.02 00:00:00,2025.01.20 02:05:00,2025.01.24 23:55:00
SOLTRADE_PHASE6_V27_SIGNAL_V1,V27_2025_DEVELOPMENT,2025.01.20 00:00:00,USDCHF,-1,THRESHOLD_HISTORY_UNAVAILABLE,NONE,0.002495814241,0.000000000000,0.000000000000,0.9123900000,0.9146700000,2020.03.02 00:00:00,2025.01.20 02:05:00,2025.01.24 23:55:00
SOLTRADE_PHASE6_V27_SIGNAL_V1,V27_2025_DEVELOPMENT,2025.01.20 00:00:00,USDJPY,-1,THRESHOLD_HISTORY_UNAVAILABLE,NONE,0.000595240018,0.000000000000,0.000000000000,156.1930000000,156.2860000000,2020.03.02 00:00:00,2025.01.20 02:05:00,2025.01.24 23:55:00
SOLTRADE_PHASE6_V27_SIGNAL_V1,V27_2025_DEVELOPMENT,2025.01.27 00:00:00,EURUSD,1,EVALUATED,NONE,-0.001802481045,-0.001842440451,0.001220420734,1.0476100000,1.0495000000,2019.12.30 00:00:00,2025.01.27 02:05:00,2025.01.31 23:55:00
SOLTRADE_PHASE6_V27_SIGNAL_V1,V27_2025_DEVELOPMENT,2025.01.27 00:00:00,GBPUSD,1,EVALUATED,NONE,-0.001074346476,-0.002404153038,0.001396879029,1.2466000000,1.2479400000,2019.12.30 00:00:00,2025.01.27 02:05:00,2025.01.31 23:55:00
SOLTRADE_PHASE6_V27_SIGNAL_V1,V27_2025_DEVELOPMENT,2025.01.27 00:00:00,AUDUSD,1,EVALUATED,NONE,-0.001777016667,-0.004012056123,0.001518831544,0.6297100000,0.6308300000,2019.12.30 00:00:00,2025.01.27 02:05:00,2025.01.31 23:55:00
SOLTRADE_PHASE6_V27_SIGNAL_V1,V27_2025_DEVELOPMENT,2025.01.27 00:00:00,NZDUSD,1,THRESHOLD_HISTORY_UNAVAILABLE,NONE,-0.002350754552,0.000000000000,0.000000000000,0.5693600000,0.5707000000,2020.03.02 00:00:00,2025.01.27 02:05:00,2025.01.31 23:55:00
SOLTRADE_PHASE6_V27_SIGNAL_V1,V27_2025_DEVELOPMENT,2025.01.27 00:00:00,USDCAD,-1,THRESHOLD_HISTORY_UNAVAILABLE,NONE,-0.001115013774,0.000000000000,0.000000000000,1.4357600000,1.4341600000,2020.03.02 00:00:00,2025.01.27 02:05:00,2025.01.31 23:55:00
SOLTRADE_PHASE6_V27_SIGNAL_V1,V27_2025_DEVELOPMENT,2025.01.27 00:00:00,USDCHF,-1,THRESHOLD_HISTORY_UNAVAILABLE,NONE,0.000342331502,0.000000000000,0.000000000000,0.9054000000,0.9057100000,2020.03.02 00:00:00,2025.01.27 02:05:00,2025.01.31 23:55:00
SOLTRADE_PHASE6_V27_SIGNAL_V1,V27_2025_DEVELOPMENT,2025.01.27 00:00:00,USDJPY,-1,THRESHOLD_HISTORY_UNAVAILABLE,NONE,0.000141080807,0.000000000000,0.000000000000,155.9280000000,155.9500000000,2020.03.02 00:00:00,2025.01.27 02:05:00,2025.01.31 23:55:00
SOLTRADE_PHASE6_V27_SIGNAL_V1,V27_2025_DEVELOPMENT,2025.02.03 00:00:00,EURUSD,1,EVALUATED,LOWER,-0.011194019949,-0.001842440451,0.001220420734,1.0242600000,1.0357900000,2020.01.06 00:00:00,2025.02.03 02:05:00,2025.02.07 23:55:00
SOLTRADE_PHASE6_V27_SIGNAL_V1,V27_2025_DEVELOPMENT,2025.02.03 00:00:00,GBPUSD,1,EVALUATED,LOWER,-0.008625495288,-0.002404153038,0.001396879029,1.2282400000,1.2388800000,2020.01.06 00:00:00,2025.02.03 02:05:00,2025.02.07 23:55:00
SOLTRADE_PHASE6_V27_SIGNAL_V1,V27_2025_DEVELOPMENT,2025.02.03 00:00:00,AUDUSD,1,EVALUATED,LOWER,-0.009990125426,-0.004012056123,0.001518831544,0.6145300000,0.6207000000,2020.01.06 00:00:00,2025.02.03 02:05:00,2025.02.07 23:55:00
SOLTRADE_PHASE6_V27_SIGNAL_V1,V27_2025_DEVELOPMENT,2025.02.03 00:00:00,NZDUSD,1,THRESHOLD_HISTORY_UNAVAILABLE,NONE,-0.008506895120,0.000000000000,0.000000000000,0.5583400000,0.5631100000,2020.03.02 00:00:00,2025.02.03 02:05:00,2025.02.07 23:55:00
SOLTRADE_PHASE6_V27_SIGNAL_V1,V27_2025_DEVELOPMENT,2025.02.03 00:00:00,USDCAD,-1,THRESHOLD_HISTORY_UNAVAILABLE,NONE,-0.014148858081,0.000000000000,0.000000000000,1.4733900000,1.4526900000,2020.03.02 00:00:00,2025.02.03 02:05:00,2025.02.07 23:55:00
SOLTRADE_PHASE6_V27_SIGNAL_V1,V27_2025_DEVELOPMENT,2025.02.03 00:00:00,USDCHF,-1,THRESHOLD_HISTORY_UNAVAILABLE,NONE,-0.003287061809,0.000000000000,0.000000000000,0.9141700000,0.9111700000,2020.03.02 00:00:00,2025.02.03 02:05:00,2025.02.07 23:55:00
SOLTRADE_PHASE6_V27_SIGNAL_V1,V27_2025_DEVELOPMENT,2025.02.03 00:00:00,USDJPY,-1,THRESHOLD_HISTORY_UNAVAILABLE,NONE,0.002761951382,0.000000000000,0.000000000000,154.7490000000,155.1770000000,2020.03.02 00:00:00,2025.02.03 02:05:00,2025.02.07 23:55:00
SOLTRADE_PHASE6_V27_SIGNAL_V1,V27_2025_DEVELOPMENT,2025.02.10 00:00:00,EURUSD,1,EVALUATED,LOWER,-0.003570462131,-0.002143280394,0.001220420734,1.0288400000,1.0325200000,2020.01.13 00:00:00,2025.02.10 02:05:00,2025.02.14 23:55:00
