schema,time,dataset,execution_layer,symbol,record_type,signal_time,scheduled_exit,direction,requested_price,actual_price,spread_points,slippage_points,volume,initial_risk_amount,stop_loss,order_ticket,deal_ticket,broker_retcode,fill_confirmed,atr_or_exit_reason
SOLTRADE_PHASE6_V28_TRANSACTION_V1,2026.01.05 10:05:00,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,EURUSD,ENTRY_ATTEMPT,2026.01.05 10:05:00,2026.02.02 10:05:00,BUY,1.1687500000,0.0000000000,12,0.0000,0.03000000,40.83000000,1.1551400000,2,2,10009,NO,0.004533571429
SOLTRADE_PHASE6_V28_TRANSACTION_V1,2026.01.05 10:05:00,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,GBPUSD,ENTRY_ATTEMPT,2026.01.05 10:05:00,2026.02.02 10:05:00,BUY,1.3423800000,0.0000000000,14,0.0000,0.02000000,43.84000000,1.3204600000,3,3,10009,NO,0.007303571429
SOLTRADE_PHASE6_V28_TRANSACTION_V1,2026.01.05 10:05:00,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,AUDUSD,ENTRY_ATTEMPT,2026.01.05 10:05:00,2026.02.02 10:05:00,BUY,0.6672800000,0.0000000000,14,0.0000,0.04000000,46.08000000,0.6557600000,4,4,10009,NO,0.003840000000
SOLTRADE_PHASE6_V28_TRANSACTION_V1,2026.01.05 10:05:00,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,NZDUSD,ENTRY_ATTEMPT,2026.01.05 10:05:00,2026.02.02 10:05:00,BUY,0.5747700000,0.0000000000,14,0.0000,0.03000000,37.95000000,0.5621200000,5,5,10009,NO,0.004215714286
SOLTRADE_PHASE6_V28_TRANSACTION_V1,2026.01.05 10:05:00,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,USDCAD,ENTRY_ATTEMPT,2026.01.05 10:05:00,2026.02.02 10:05:00,SELL,1.3775600000,0.0000000000,18,0.0000,0.04000000,40.39025523,1.3914700000,6,6,10009,NO,0.004633571429
SOLTRADE_PHASE6_V28_TRANSACTION_V1,2026.01.05 10:05:00,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,USDCHF,ENTRY_ATTEMPT,2026.01.05 10:05:00,2026.02.02 10:05:00,SELL,0.7943600000,0.0000000000,16,0.0000,0.03000000,49.43726868,0.8074500000,7,7,10009,NO,0.004362142857
SOLTRADE_PHASE6_V28_TRANSACTION_V1,2026.01.05 10:05:00,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,USDJPY,ENTRY_ATTEMPT,2026.01.05 10:05:00,2026.02.02 10:05:00,SELL,156.9690000000,0.0000000000,13,0.0000,0.02000000,37.57669200,159.9180000000,8,8,10009,NO,0.982928571429
SOLTRADE_PHASE6_V28_TRANSACTION_V1,2026.01.05 10:05:00,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,GBPUSD,ENTRY_TRANSACTION,NONE,2026.02.02 10:05:00,BUY,1.3423800000,1.3423900000,14,1.0000,0.02000000,43.86000000,1.3204600000,3,3,10009,YES,0.000000000000
SOLTRADE_PHASE6_V28_TRANSACTION_V1,2026.01.05 10:05:00,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,AUDUSD,ENTRY_TRANSACTION,NONE,2026.02.02 10:05:00,BUY,0.6672800000,0.6672800000,14,0.0000,0.04000000,46.08000000,0.6557600000,4,4,10009,YES,0.000000000000
SOLTRADE_PHASE6_V28_TRANSACTION_V1,2026.01.05 10:05:00,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,NZDUSD,ENTRY_TRANSACTION,NONE,2026.02.02 10:05:00,BUY,0.5747700000,0.5747800000,14,1.0000,0.03000000,37.98000000,0.5621200000,5,5,10009,YES,0.000000000000
SOLTRADE_PHASE6_V28_TRANSACTION_V1,2026.01.05 10:05:00,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,USDCAD,ENTRY_TRANSACTION,NONE,2026.02.02 10:05:00,SELL,1.3775600000,1.3775600000,18,0.0000,0.04000000,40.39025523,1.3914700000,6,6,10009,YES,0.000000000000
SOLTRADE_PHASE6_V28_TRANSACTION_V1,2026.01.05 10:05:00,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,USDCHF,ENTRY_TRANSACTION,NONE,2026.02.02 10:05:00,SELL,0.7943600000,0.7943400000,16,2.0000,0.03000000,49.51280308,0.8074500000,7,7,10009,YES,0.000000000000
SOLTRADE_PHASE6_V28_TRANSACTION_V1,2026.01.05 10:05:00,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,USDJPY,ENTRY_TRANSACTION,NONE,2026.02.02 10:05:00,SELL,156.9690000000,156.9590000000,13,10.0000,0.02000000,37.70411381,159.9180000000,8,8,10009,YES,0.000000000000
SOLTRADE_PHASE6_V28_TRANSACTION_V1,2026.02.02 10:05:00,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,EURUSD,EXIT_ATTEMPT,2026.02.02 10:05:00,2026.02.02 10:05:00,BUY,1.1856900000,0.0000000000,0,0.0000,0.03000000,0,0,10,10,10009,NO,DOLLAR_FACTOR_REBALANCE
SOLTRADE_PHASE6_V28_TRANSACTION_V1,2026.02.02 10:05:00,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,GBPUSD,EXIT_ATTEMPT,2026.02.02 10:05:00,2026.02.02 10:05:00,BUY,1.3685500000,0.0000000000,0,0.0000,0.02000000,0,0,11,11,10009,NO,DOLLAR_FACTOR_REBALANCE
SOLTRADE_PHASE6_V28_TRANSACTION_V1,2026.02.02 10:05:00,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,AUDUSD,EXIT_ATTEMPT,2026.02.02 10:05:00,2026.02.02 10:05:00,BUY,0.6942900000,0.0000000000,0,0.0000,0.04000000,0,0,12,12,10009,NO,DOLLAR_FACTOR_REBALANCE
SOLTRADE_PHASE6_V28_TRANSACTION_V1,2026.02.02 10:05:00,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,NZDUSD,EXIT_ATTEMPT,2026.02.02 10:05:00,2026.02.02 10:05:00,BUY,0.6007900000,0.0000000000,0,0.0000,0.03000000,0,0,13,13,10009,NO,DOLLAR_FACTOR_REBALANCE
SOLTRADE_PHASE6_V28_TRANSACTION_V1,2026.02.02 10:05:00,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,USDCHF,EXIT_ATTEMPT,2026.02.02 10:05:00,2026.02.02 10:05:00,SELL,0.7731400000,0.0000000000,0,0.0000,0.03000000,0,0,14,14,10009,NO,DOLLAR_FACTOR_REBALANCE
SOLTRADE_PHASE6_V28_TRANSACTION_V1,2026.02.02 10:05:01,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,USDJPY,EXIT_ATTEMPT,2026.02.02 10:05:00,2026.02.02 10:05:00,SELL,154.9270000000,0.0000000000,0,0.0000,0.02000000,0,0,15,15,10009,NO,DOLLAR_FACTOR_REBALANCE
SOLTRADE_PHASE6_V28_TRANSACTION_V1,2026.02.02 10:05:01,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,EURUSD,EXIT_TRANSACTION,NONE,NONE,BUY,1.1856900000,1.1856900000,0,0.0000,0.03000000,0,0,10,10,10009,YES,DOLLAR_FACTOR_REBALANCE
SOLTRADE_PHASE6_V28_TRANSACTION_V1,2026.02.02 10:05:01,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,GBPUSD,EXIT_TRANSACTION,NONE,NONE,BUY,1.3685500000,1.3685600000,0,-1.0000,0.02000000,0,0,11,11,10009,YES,DOLLAR_FACTOR_REBALANCE
SOLTRADE_PHASE6_V28_TRANSACTION_V1,2026.02.02 10:05:01,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,AUDUSD,EXIT_TRANSACTION,NONE,NONE,BUY,0.6942900000,0.6943000000,0,-1.0000,0.04000000,0,0,12,12,10009,YES,DOLLAR_FACTOR_REBALANCE
SOLTRADE_PHASE6_V28_TRANSACTION_V1,2026.02.02 10:05:01,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,NZDUSD,EXIT_TRANSACTION,NONE,NONE,BUY,0.6007900000,0.6008000000,0,-1.0000,0.03000000,0,0,13,13,10009,YES,DOLLAR_FACTOR_REBALANCE
SOLTRADE_PHASE6_V28_TRANSACTION_V1,2026.02.02 10:05:01,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,USDCHF,EXIT_TRANSACTION,NONE,NONE,SELL,0.7731400000,0.7731600000,0,2.0000,0.03000000,0,0,14,14,10009,YES,DOLLAR_FACTOR_REBALANCE
SOLTRADE_PHASE6_V28_TRANSACTION_V1,2026.02.02 10:05:01,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,USDJPY,EXIT_TRANSACTION,NONE,NONE,SELL,154.9270000000,154.9360000000,0,9.0000,0.02000000,0,0,15,15,10009,YES,DOLLAR_FACTOR_REBALANCE
SOLTRADE_PHASE6_V28_TRANSACTION_V1,2026.02.02 10:05:01,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,EURUSD,ENTRY_ATTEMPT,2026.02.02 10:05:00,2026.03.02 10:05:00,BUY,1.1857000000,0.0000000000,12,0.0000,0.01000000,28.19000000,1.1575100000,16,16,10009,NO,0.009395714286
SOLTRADE_PHASE6_V28_TRANSACTION_V1,2026.02.02 10:05:01,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,GBPUSD,ENTRY_ATTEMPT,2026.02.02 10:05:00,2026.03.02 10:05:00,BUY,1.3686600000,0.0000000000,15,0.0000,0.01000000,29.35000000,1.3393100000,17,17,10009,NO,0.009782857143
SOLTRADE_PHASE6_V28_TRANSACTION_V1,2026.02.02 10:05:01,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,AUDUSD,ENTRY_ATTEMPT,2026.02.02 10:05:00,2026.03.02 10:05:00,BUY,0.6944300000,0.0000000000,15,0.0000,0.02000000,40.40000000,0.6742300000,18,18,10009,NO,0.006732857143
SOLTRADE_PHASE6_V28_TRANSACTION_V1,2026.02.02 10:05:01,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,NZDUSD,ENTRY_ATTEMPT,2026.02.02 10:05:00,2026.03.02 10:05:00,BUY,0.6009400000,0.0000000000,14,0.0000,0.02000000,35.62000000,0.5831300000,19,19,10009,NO,0.005934285714
SOLTRADE_PHASE6_V28_TRANSACTION_V1,2026.02.02 10:05:02,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,USDCAD,ENTRY_ATTEMPT,2026.02.02 10:05:00,2026.03.02 10:05:00,SELL,1.3649500000,0.0000000000,17,0.0000,0.03000000,49.09655440,1.3877200000,20,20,10009,NO,0.007588571429
SOLTRADE_PHASE6_V28_TRANSACTION_V1,2026.02.02 10:05:02,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,USDCHF,ENTRY_ATTEMPT,2026.02.02 10:05:00,2026.03.02 10:05:00,SELL,0.7729900000,0.0000000000,17,0.0000,0.01000000,33.24751937,0.7986900000,21,21,10009,NO,0.008564285714
SOLTRADE_PHASE6_V28_TRANSACTION_V1,2026.02.02 10:05:02,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,USDJPY,ENTRY_ATTEMPT,2026.02.02 10:05:00,2026.03.02 10:05:00,SELL,154.9220000000,0.0000000000,14,0.0000,0.01000000,29.10496895,159.4310000000,22,22,10009,NO,1.502857142857
SOLTRADE_PHASE6_V28_TRANSACTION_V1,2026.02.02 10:05:02,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,GBPUSD,ENTRY_TRANSACTION,NONE,2026.03.02 10:05:00,BUY,1.3686600000,1.3685600000,15,-10.0000,0.01000000,29.25000000,1.3393100000,17,17,10009,YES,0.000000000000
SOLTRADE_PHASE6_V28_TRANSACTION_V1,2026.02.02 10:05:02,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,AUDUSD,ENTRY_TRANSACTION,NONE,2026.03.02 10:05:00,BUY,0.6944300000,0.6943100000,15,-12.0000,0.02000000,40.16000000,0.6742300000,18,18,10009,YES,0.000000000000
SOLTRADE_PHASE6_V28_TRANSACTION_V1,2026.02.02 10:05:02,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,NZDUSD,ENTRY_TRANSACTION,NONE,2026.03.02 10:05:00,BUY,0.6009400000,0.6008000000,14,-14.0000,0.02000000,35.34000000,0.5831300000,19,19,10009,YES,0.000000000000
SOLTRADE_PHASE6_V28_TRANSACTION_V1,2026.02.02 10:05:02,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,USDCAD,ENTRY_TRANSACTION,NONE,2026.03.02 10:05:00,SELL,1.3649500000,1.3651600000,17,-21.0000,0.03000000,48.64375350,1.3877200000,20,20,10009,YES,0.000000000000
SOLTRADE_PHASE6_V28_TRANSACTION_V1,2026.02.02 10:05:02,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,USDCHF,ENTRY_TRANSACTION,NONE,2026.03.02 10:05:00,SELL,0.7729900000,0.7731000000,17,-11.0000,0.01000000,33.10521482,0.7986900000,21,21,10009,YES,0.000000000000
SOLTRADE_PHASE6_V28_TRANSACTION_V1,2026.02.02 10:05:02,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,USDJPY,ENTRY_TRANSACTION,NONE,2026.03.02 10:05:00,SELL,154.9220000000,154.9220000000,14,0.0000,0.01000000,29.10496895,159.4310000000,22,22,10009,YES,0.000000000000
SOLTRADE_PHASE6_V28_TRANSACTION_V1,2026.03.02 10:05:00,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,EURUSD,EXIT_ATTEMPT,2026.03.02 10:05:00,2026.03.02 10:05:00,BUY,1.1715300000,0.0000000000,0,0.0000,0.01000000,0,0,24,24,10009,NO,DOLLAR_FACTOR_REBALANCE
SOLTRADE_PHASE6_V28_TRANSACTION_V1,2026.03.02 10:05:00,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,AUDUSD,EXIT_ATTEMPT,2026.03.02 10:05:00,2026.03.02 10:05:00,BUY,0.7057700000,0.0000000000,0,0.0000,0.02000000,0,0,25,25,10009,NO,DOLLAR_FACTOR_REBALANCE
SOLTRADE_PHASE6_V28_TRANSACTION_V1,2026.03.02 10:05:00,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,NZDUSD,EXIT_ATTEMPT,2026.03.02 10:05:00,2026.03.02 10:05:00,BUY,0.5942900000,0.0000000000,0,0.0000,0.02000000,0,0,26,26,10009,NO,DOLLAR_FACTOR_REBALANCE
SOLTRADE_PHASE6_V28_TRANSACTION_V1,2026.03.02 10:05:00,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,USDCAD,EXIT_ATTEMPT,2026.03.02 10:05:00,2026.03.02 10:05:00,SELL,1.3658700000,0.0000000000,0,0.0000,0.03000000,0,0,27,27,10009,NO,DOLLAR_FACTOR_REBALANCE
SOLTRADE_PHASE6_V28_TRANSACTION_V1,2026.03.02 10:05:00,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,USDCHF,EXIT_ATTEMPT,2026.03.02 10:05:00,2026.03.02 10:05:00,SELL,0.7727500000,0.0000000000,0,0.0000,0.01000000,0,0,28,28,10009,NO,DOLLAR_FACTOR_REBALANCE
SOLTRADE_PHASE6_V28_TRANSACTION_V1,2026.03.02 10:05:01,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,USDJPY,EXIT_ATTEMPT,2026.03.02 10:05:00,2026.03.02 10:05:00,SELL,157.0540000000,0.0000000000,0,0.0000,0.01000000,0,0,29,29,10009,NO,DOLLAR_FACTOR_REBALANCE
SOLTRADE_PHASE6_V28_TRANSACTION_V1,2026.03.02 10:05:01,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,EURUSD,EXIT_TRANSACTION,NONE,NONE,BUY,1.1715300000,1.1715300000,0,0.0000,0.01000000,0,0,24,24,10009,YES,DOLLAR_FACTOR_REBALANCE
