schema,dataset,target,currency,symbol,orientation,rank,formation_return,portfolio_side,chart_direction,recent_h1,recent_close,anchor_h1,anchor_close,scheduled_exit
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2025_DEVELOPMENT,2025.01.06 10:05:00,EUR,EURUSD,1,3,-0.016916720612,NONE,NONE,2025.01.06 09:00:00,1.0326700000,2024.12.16 09:00:00,1.0504400000,2025.01.13 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2025_DEVELOPMENT,2025.01.06 10:05:00,GBP,GBPUSD,1,2,-0.014265244892,LONG,BUY,2025.01.06 09:00:00,1.2451900000,2024.12.16 09:00:00,1.2632100000,2025.01.13 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2025_DEVELOPMENT,2025.01.06 10:05:00,AUD,AUDUSD,1,5,-0.021870191855,NONE,NONE,2025.01.06 09:00:00,0.6230100000,2024.12.16 09:00:00,0.6369400000,2025.01.13 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2025_DEVELOPMENT,2025.01.06 10:05:00,NZD,NZDUSD,1,7,-0.026392302101,SHORT,SELL,2025.01.06 09:00:00,0.5625700000,2024.12.16 09:00:00,0.5778200000,2025.01.13 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2025_DEVELOPMENT,2025.01.06 10:05:00,CAD,USDCAD,-1,1,-0.011584836165,LONG,SELL,2025.01.06 09:00:00,1.4389500000,2024.12.16 09:00:00,1.4222800000,2025.01.13 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2025_DEVELOPMENT,2025.01.06 10:05:00,CHF,USDCHF,-1,4,-0.018148380631,NONE,NONE,2025.01.06 09:00:00,0.9080700000,2024.12.16 09:00:00,0.8915900000,2025.01.13 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2025_DEVELOPMENT,2025.01.06 10:05:00,JPY,USDJPY,-1,6,-0.026227823693,SHORT,BUY,2025.01.06 09:00:00,157.6570000000,2024.12.16 09:00:00,153.5220000000,2025.01.13 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2025_DEVELOPMENT,2025.01.13 10:05:00,EUR,EURUSD,1,5,-0.018968133536,NONE,NONE,2025.01.13 09:00:00,1.0214700000,2024.12.23 09:00:00,1.0412200000,2025.01.20 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2025_DEVELOPMENT,2025.01.13 10:05:00,GBP,GBPUSD,1,7,-0.033492861068,SHORT,SELL,2025.01.13 09:00:00,1.2137300000,2024.12.23 09:00:00,1.2557900000,2025.01.20 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2025_DEVELOPMENT,2025.01.13 10:05:00,AUD,AUDUSD,1,4,-0.016515699517,NONE,NONE,2025.01.13 09:00:00,0.6145400000,2024.12.23 09:00:00,0.6248600000,2025.01.20 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2025_DEVELOPMENT,2025.01.13 10:05:00,NZD,NZDUSD,1,3,-0.016259874597,NONE,NONE,2025.01.13 09:00:00,0.5554000000,2024.12.23 09:00:00,0.5645800000,2025.01.20 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2025_DEVELOPMENT,2025.01.13 10:05:00,CAD,USDCAD,-1,1,-0.003000443484,LONG,SELL,2025.01.13 09:00:00,1.4431200000,2024.12.23 09:00:00,1.4387900000,2025.01.20 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2025_DEVELOPMENT,2025.01.13 10:05:00,CHF,USDCHF,-1,6,-0.023867441886,SHORT,BUY,2025.01.13 09:00:00,0.9167300000,2024.12.23 09:00:00,0.8948500000,2025.01.20 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2025_DEVELOPMENT,2025.01.13 10:05:00,JPY,USDJPY,-1,2,-0.004242455035,LONG,SELL,2025.01.13 09:00:00,157.4560000000,2024.12.23 09:00:00,156.7880000000,2025.01.20 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2025_DEVELOPMENT,2025.01.20 10:05:00,EUR,EURUSD,1,5,-0.010569526769,NONE,NONE,2025.01.20 09:00:00,1.0316000000,2024.12.30 09:00:00,1.0426200000,2025.01.27 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2025_DEVELOPMENT,2025.01.20 10:05:00,GBP,GBPUSD,1,7,-0.028983894303,SHORT,SELL,2025.01.20 09:00:00,1.2214800000,2024.12.30 09:00:00,1.2579400000,2025.01.27 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2025_DEVELOPMENT,2025.01.20 10:05:00,AUD,AUDUSD,1,2,-0.002581286475,LONG,BUY,2025.01.20 09:00:00,0.6221100000,2024.12.30 09:00:00,0.6237200000,2025.01.27 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2025_DEVELOPMENT,2025.01.20 10:05:00,NZD,NZDUSD,1,4,-0.007346578366,NONE,NONE,2025.01.20 09:00:00,0.5620900000,2024.12.30 09:00:00,0.5662500000,2025.01.27 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2025_DEVELOPMENT,2025.01.20 10:05:00,CAD,USDCAD,-1,3,-0.003302157825,NONE,NONE,2025.01.20 09:00:00,1.4445100000,2024.12.30 09:00:00,1.4397400000,2025.01.27 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2025_DEVELOPMENT,2025.01.20 10:05:00,CHF,USDCHF,-1,6,-0.011542888463,SHORT,BUY,2025.01.20 09:00:00,0.9122500000,2024.12.30 09:00:00,0.9017200000,2025.01.27 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2025_DEVELOPMENT,2025.01.20 10:05:00,JPY,USDJPY,-1,1,0.012174247524,LONG,SELL,2025.01.20 09:00:00,155.9850000000,2024.12.30 09:00:00,157.8840000000,2025.01.27 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2025_DEVELOPMENT,2025.01.27 10:05:00,EUR,EURUSD,1,1,0.012569359040,LONG,BUY,2025.01.27 09:00:00,1.0456500000,2025.01.06 09:00:00,1.0326700000,2025.02.03 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2025_DEVELOPMENT,2025.01.27 10:05:00,GBP,GBPUSD,1,7,-0.001895293088,SHORT,SELL,2025.01.27 09:00:00,1.2428300000,2025.01.06 09:00:00,1.2451900000,2025.02.03 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2025_DEVELOPMENT,2025.01.27 10:05:00,AUD,AUDUSD,1,4,0.007656377907,NONE,NONE,2025.01.27 09:00:00,0.6277800000,2025.01.06 09:00:00,0.6230100000,2025.02.03 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2025_DEVELOPMENT,2025.01.27 10:05:00,NZD,NZDUSD,1,3,0.009047762945,NONE,NONE,2025.01.27 09:00:00,0.5676600000,2025.01.06 09:00:00,0.5625700000,2025.02.03 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2025_DEVELOPMENT,2025.01.27 10:05:00,CAD,USDCAD,-1,6,-0.000694468558,SHORT,BUY,2025.01.27 09:00:00,1.4399500000,2025.01.06 09:00:00,1.4389500000,2025.02.03 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2025_DEVELOPMENT,2025.01.27 10:05:00,CHF,USDCHF,-1,5,0.001742986685,NONE,NONE,2025.01.27 09:00:00,0.9064900000,2025.01.06 09:00:00,0.9080700000,2025.02.03 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2025_DEVELOPMENT,2025.01.27 10:05:00,JPY,USDJPY,-1,2,0.011419260058,LONG,SELL,2025.01.27 09:00:00,155.8770000000,2025.01.06 09:00:00,157.6570000000,2025.02.03 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2025_DEVELOPMENT,2025.02.03 10:05:00,EUR,EURUSD,1,3,0.000930032208,NONE,NONE,2025.02.03 09:00:00,1.0224200000,2025.01.13 09:00:00,1.0214700000,2025.02.10 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2025_DEVELOPMENT,2025.02.03 10:05:00,GBP,GBPUSD,1,1,0.012037273529,LONG,BUY,2025.02.03 09:00:00,1.2283400000,2025.01.13 09:00:00,1.2137300000,2025.02.10 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2025_DEVELOPMENT,2025.02.03 10:05:00,AUD,AUDUSD,1,5,-0.001806229049,NONE,NONE,2025.02.03 09:00:00,0.6134300000,2025.01.13 09:00:00,0.6145400000,2025.02.10 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2025_DEVELOPMENT,2025.02.03 10:05:00,NZD,NZDUSD,1,4,-0.000504141160,NONE,NONE,2025.02.03 09:00:00,0.5551200000,2025.01.13 09:00:00,0.5554000000,2025.02.10 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2025_DEVELOPMENT,2025.02.03 10:05:00,CAD,USDCAD,-1,7,-0.019386403017,SHORT,BUY,2025.02.03 09:00:00,1.4716500000,2025.01.13 09:00:00,1.4431200000,2025.02.10 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2025_DEVELOPMENT,2025.02.03 10:05:00,CHF,USDCHF,-1,6,-0.002057433977,SHORT,BUY,2025.02.03 09:00:00,0.9186200000,2025.01.13 09:00:00,0.9167300000,2025.02.10 10:05:00
