schema,dataset,target,currency,symbol,orientation,rank,formation_return,portfolio_side,chart_direction,recent_h1,recent_close,anchor_h1,anchor_close,scheduled_exit
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2026_PRESEAL_DEVELOPMENT,2026.01.05 10:05:00,EUR,EURUSD,1,5,-0.003606814577,NONE,NONE,2026.01.05 09:00:00,1.1685500000,2025.12.15 09:00:00,1.1727800000,2026.01.12 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2026_PRESEAL_DEVELOPMENT,2026.01.05 10:05:00,GBP,GBPUSD,1,2,0.004422659582,LONG,BUY,2026.01.05 09:00:00,1.3422100000,2025.12.15 09:00:00,1.3363000000,2026.01.12 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2026_PRESEAL_DEVELOPMENT,2026.01.05 10:05:00,AUD,AUDUSD,1,1,0.004498811351,LONG,BUY,2026.01.05 09:00:00,0.6676100000,2025.12.15 09:00:00,0.6646200000,2026.01.12 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2026_PRESEAL_DEVELOPMENT,2026.01.05 10:05:00,NZD,NZDUSD,1,6,-0.005828029884,SHORT,SELL,2026.01.05 09:00:00,0.5748700000,2025.12.15 09:00:00,0.5782400000,2026.01.12 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2026_PRESEAL_DEVELOPMENT,2026.01.05 10:05:00,CAD,USDCAD,-1,4,-0.001096005749,NONE,NONE,2026.01.05 09:00:00,1.3777300000,2025.12.15 09:00:00,1.3762200000,2026.01.12 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2026_PRESEAL_DEVELOPMENT,2026.01.05 10:05:00,CHF,USDCHF,-1,3,0.003085409163,NONE,NONE,2026.01.05 09:00:00,0.7940600000,2025.12.15 09:00:00,0.7965100000,2026.01.12 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2026_PRESEAL_DEVELOPMENT,2026.01.05 10:05:00,JPY,USDJPY,-1,7,-0.011007421091,SHORT,BUY,2026.01.05 09:00:00,156.9850000000,2025.12.15 09:00:00,155.2570000000,2026.01.12 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2026_PRESEAL_DEVELOPMENT,2026.01.12 10:05:00,EUR,EURUSD,1,5,-0.003751609355,NONE,NONE,2026.01.12 09:00:00,1.1684300000,2025.12.22 09:00:00,1.1728300000,2026.01.19 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2026_PRESEAL_DEVELOPMENT,2026.01.12 10:05:00,GBP,GBPUSD,1,2,0.002259002460,LONG,BUY,2026.01.12 09:00:00,1.3443300000,2025.12.22 09:00:00,1.3413000000,2026.01.19 10:05:00
SOLTRADE_PHASE6_V26_SIGNAL_V1,V26_2026_PRESEAL_DEVELOPMENT,2026.01.12 10:05:00,AUD,AUDUSD,1,1,0.009926941327,LONG,BUY,2026.01.12 09:00:00,0.6704400000,2025.12.22 09:00:00,0.6638500000,2026.01.19 10:05:00
