field,value
schema,SOLTRADE_PHASE6_V29_RUN_SUMMARY_V1
execution_instance_id,V29-2025_DEVELOPMENT-FIXED_DELAY_200_MS-R3
dataset,V29_2025_DEVELOPMENT
schedule_dataset,V26_2025_DEVELOPMENT
execution_layer,FIXED_DELAY_200_MS
schedule_legs,204
processed_rebalances,51
entry_attempts,204
entry_fills,111
exit_fills,111
missed_legs,0
spread_blocks,0
risk_blocks,28
execution_blocks,65
max_portfolio_positions,4
final_exit_target_cleared,YES
open_positions_at_end,0
max_tick,2025.12.31 23:59:58
seal_breach,NO
run_evidence_status,PASS
