deal_ticket,order_ticket,position_identifier,time,time_msc,entry,type,reason,volume,price,profit,commission,swap,fee,magic,symbol,comment,in_research_window
2,2,2,2026.01.05 10:05:00,1767607500253,0,0,3,0.01000000,1.3423900000,0.00000000,0.00000000,0.00000000,0.00000000,2908202602,GBPUSD,SolTrade TBV1,YES
3,3,3,2026.01.05 10:05:00,1767607500453,0,0,3,0.02000000,0.6672800000,0.00000000,0.00000000,0.00000000,0.00000000,2908202603,AUDUSD,SolTrade TBV1,YES
4,4,4,2026.01.05 10:05:00,1767607500653,0,1,3,0.01000000,0.5746400000,0.00000000,0.00000000,0.00000000,0.00000000,2908202604,NZDUSD,SolTrade TBV1,YES
5,5,5,2026.01.05 10:05:00,1767607500853,0,0,3,0.01000000,156.9800000000,0.00000000,0.00000000,0.00000000,0.00000000,2908202607,USDJPY,SolTrade TBV1,YES
6,6,2,2026.01.12 10:05:00,1768212300858,1,1,3,0.01000000,1.3453100000,2.92000000,0.00000000,-0.20000000,0.00000000,2908202602,GBPUSD,SolTrade TBV1 exit,YES
7,7,3,2026.01.12 10:05:01,1768212301058,1,1,3,0.02000000,0.6709800000,7.40000000,0.00000000,-0.27000000,0.00000000,2908202603,AUDUSD,SolTrade TBV1 exit,YES
8,8,4,2026.01.12 10:05:01,1768212301258,1,0,3,0.01000000,0.5758200000,-1.18000000,0.00000000,0.01000000,0.00000000,2908202604,NZDUSD,SolTrade TBV1 exit,YES
9,9,5,2026.01.12 10:05:01,1768212301458,1,1,3,0.01000000,157.7500000000,4.88000000,0.00000000,0.42000000,0.00000000,2908202607,USDJPY,SolTrade TBV1 exit,YES
10,10,10,2026.01.12 10:05:01,1768212301658,0,0,3,0.01000000,1.3454600000,0.00000000,0.00000000,0.00000000,0.00000000,2908202602,GBPUSD,SolTrade TBV1,YES
11,11,11,2026.01.12 10:05:01,1768212301858,0,0,3,0.02000000,0.6711300000,0.00000000,0.00000000,0.00000000,0.00000000,2908202603,AUDUSD,SolTrade TBV1,YES
12,12,12,2026.01.12 10:05:02,1768212302058,0,1,3,0.01000000,0.5757200000,0.00000000,0.00000000,0.00000000,0.00000000,2908202604,NZDUSD,SolTrade TBV1,YES
13,13,13,2026.01.12 10:05:02,1768212302258,0,0,3,0.02000000,1.3873300000,0.00000000,0.00000000,0.00000000,0.00000000,2908202605,USDCAD,SolTrade TBV1,YES
14,14,10,2026.01.19 10:05:00,1768817100811,1,1,3,0.01000000,1.3393100000,-6.15000000,0.00000000,-0.20000000,0.00000000,2908202602,GBPUSD,SolTrade TBV1 exit,YES
15,15,11,2026.01.19 10:05:01,1768817101011,1,1,3,0.02000000,0.6691600000,-3.94000000,0.00000000,-0.27000000,0.00000000,2908202603,AUDUSD,SolTrade TBV1 exit,YES
16,16,12,2026.01.19 10:05:01,1768817101211,1,0,3,0.01000000,0.5772200000,-1.50000000,0.00000000,0.01000000,0.00000000,2908202604,NZDUSD,SolTrade TBV1 exit,YES
17,17,13,2026.01.19 10:05:01,1768817101411,1,1,3,0.02000000,1.3892200000,2.72000000,0.00000000,0.35000000,0.00000000,2908202605,USDCAD,SolTrade TBV1 exit,YES
