schema,time,dataset,execution_layer,symbol,record_type,signal_time,direction,requested_price,actual_price,spread_points,slippage_points,volume,initial_risk_amount,stop_loss,order_ticket,deal_ticket,broker_retcode,fill_confirmed,atr_or_exit_reason
SOLTRADE_PHASE6_V29_TRANSACTION_V1,2026.01.05 10:05:00,V29_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,GBPUSD,ENTRY_ATTEMPT,2026.01.05 10:05:00,BUY,1.3423800000,0.0000000000,14,0.0000,0.01000000,21.92000000,1.3204600000,2,2,10009,NO,0.007303571429
SOLTRADE_PHASE6_V29_TRANSACTION_V1,2026.01.05 10:05:00,V29_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,AUDUSD,ENTRY_ATTEMPT,2026.01.05 10:05:00,BUY,0.6672800000,0.0000000000,14,0.0000,0.02000000,23.04000000,0.6557600000,3,3,10009,NO,0.003840000000
SOLTRADE_PHASE6_V29_TRANSACTION_V1,2026.01.05 10:05:00,V29_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,NZDUSD,ENTRY_ATTEMPT,2026.01.05 10:05:00,SELL,0.5746300000,0.0000000000,14,0.0000,0.01000000,12.65000000,0.5872800000,4,4,10009,NO,0.004215714286
SOLTRADE_PHASE6_V29_TRANSACTION_V1,2026.01.05 10:05:00,V29_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,USDJPY,ENTRY_ATTEMPT,2026.01.05 10:05:00,BUY,156.9820000000,0.0000000000,13,0.0000,0.01000000,18.78750812,154.0330000000,5,5,10009,NO,0.982928571429
SOLTRADE_PHASE6_V29_TRANSACTION_V1,2026.01.05 10:05:00,V29_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,GBPUSD,ENTRY_TRANSACTION,NONE,BUY,1.3423800000,1.3423900000,14,1.0000,0.01000000,21.93000000,1.3204600000,2,2,10009,YES,0.000000000000
SOLTRADE_PHASE6_V29_TRANSACTION_V1,2026.01.05 10:05:00,V29_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,AUDUSD,ENTRY_TRANSACTION,NONE,BUY,0.6672800000,0.6672800000,14,0.0000,0.02000000,23.04000000,0.6557600000,3,3,10009,YES,0.000000000000
SOLTRADE_PHASE6_V29_TRANSACTION_V1,2026.01.05 10:05:00,V29_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,NZDUSD,ENTRY_TRANSACTION,NONE,SELL,0.5746300000,0.5746400000,14,-1.0000,0.01000000,12.64000000,0.5872800000,4,4,10009,YES,0.000000000000
SOLTRADE_PHASE6_V29_TRANSACTION_V1,2026.01.05 10:05:00,V29_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,USDJPY,ENTRY_TRANSACTION,NONE,BUY,156.9820000000,156.9800000000,13,-2.0000,0.01000000,18.77476651,154.0330000000,5,5,10009,YES,0.000000000000
SOLTRADE_PHASE6_V29_TRANSACTION_V1,2026.01.12 10:05:00,V29_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,GBPUSD,EXIT_ATTEMPT,2026.01.12 10:05:00,BUY,1.3453100000,0.0000000000,0,0.0000,0.01000000,0,0,6,6,10009,NO,CROSS_SECTIONAL_WEEKLY_REBALANCE
SOLTRADE_PHASE6_V29_TRANSACTION_V1,2026.01.12 10:05:00,V29_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,AUDUSD,EXIT_ATTEMPT,2026.01.12 10:05:00,BUY,0.6709800000,0.0000000000,0,0.0000,0.02000000,0,0,7,7,10009,NO,CROSS_SECTIONAL_WEEKLY_REBALANCE
