deal_ticket,order_ticket,position_identifier,time,time_msc,entry,type,reason,volume,price,profit,commission,swap,fee,magic,symbol,comment,in_research_window
2,2,2,2025.01.06 10:05:00,1736157900409,0,1,3,0.01000000,0.5627200000,0.00000000,0.00000000,0.00000000,0.00000000,2908202604,NZDUSD,SolTrade TBV1,YES
3,3,3,2025.01.06 10:05:00,1736157900409,0,1,3,0.01000000,1.4387100000,0.00000000,0.00000000,0.00000000,0.00000000,2908202605,USDCAD,SolTrade TBV1,YES
4,4,2,2025.01.13 10:05:00,1736762700219,1,0,3,0.01000000,0.5558700000,6.85000000,0.00000000,0.01000000,0.00000000,2908202604,NZDUSD,SolTrade TBV1 exit,YES
5,5,3,2025.01.13 10:05:00,1736762700219,1,0,3,0.01000000,1.4427100000,-2.77000000,0.00000000,-0.43000000,0.00000000,2908202605,USDCAD,SolTrade TBV1 exit,YES
6,6,6,2025.01.13 10:05:01,1736762701041,0,1,3,0.01000000,1.4425600000,0.00000000,0.00000000,0.00000000,0.00000000,2908202605,USDCAD,SolTrade TBV1,YES
7,7,7,2025.01.13 10:05:01,1736762701041,0,0,3,0.01000000,0.9164300000,0.00000000,0.00000000,0.00000000,0.00000000,2908202606,USDCHF,SolTrade TBV1,YES
8,8,8,2025.01.13 10:05:01,1736762701041,0,1,3,0.01000000,157.3920000000,0.00000000,0.00000000,0.00000000,0.00000000,2908202607,USDJPY,SolTrade TBV1,YES
9,9,6,2025.01.20 10:05:00,1737367500021,1,0,3,0.01000000,1.4448800000,-1.61000000,0.00000000,-0.43000000,0.00000000,2908202605,USDCAD,SolTrade TBV1 exit,YES
10,10,7,2025.01.20 10:05:00,1737367500021,1,1,3,0.01000000,0.9123400000,-4.48000000,0.00000000,0.48000000,0.00000000,2908202606,USDCHF,SolTrade TBV1 exit,YES
11,11,8,2025.01.20 10:05:00,1737367500021,1,0,3,0.01000000,156.0130000000,8.84000000,0.00000000,-0.84000000,0.00000000,2908202607,USDJPY,SolTrade TBV1 exit,YES
12,12,12,2025.01.27 10:05:00,1737972300110,0,0,3,0.01000000,1.4393200000,0.00000000,0.00000000,0.00000000,0.00000000,2908202605,USDCAD,SolTrade TBV1,YES
13,13,13,2025.01.27 10:05:00,1737972300110,0,1,3,0.01000000,155.7190000000,0.00000000,0.00000000,0.00000000,0.00000000,2908202607,USDJPY,SolTrade TBV1,YES
14,14,12,2025.02.03 10:05:00,1738577100271,1,1,3,0.01000000,1.4712300000,21.69000000,0.00000000,0.15000000,0.00000000,2908202605,USDCAD,SolTrade TBV1 exit,YES
15,15,13,2025.02.03 10:05:00,1738577100271,1,0,3,0.01000000,155.6750000000,0.28000000,0.00000000,-0.85000000,0.00000000,2908202607,USDJPY,SolTrade TBV1 exit,YES
16,16,16,2025.02.03 10:05:01,1738577101033,0,0,3,0.01000000,1.4712300000,0.00000000,0.00000000,0.00000000,0.00000000,2908202605,USDCAD,SolTrade TBV1,YES
17,17,17,2025.02.03 10:05:01,1738577101033,0,0,3,0.01000000,0.9193300000,0.00000000,0.00000000,0.00000000,0.00000000,2908202606,USDCHF,SolTrade TBV1,YES
18,18,16,2025.02.04 16:16:49,1738685809943,1,1,4,0.01000000,1.4367100000,-24.03000000,0.00000000,0.02000000,0.00000000,2908202605,USDCAD,sl 1.43675,YES
19,19,17,2025.02.05 12:38:24,1738759104846,1,1,4,0.01000000,0.9008700000,-20.49000000,0.00000000,0.14000000,0.00000000,2908202606,USDCHF,sl 0.90087,YES
20,20,20,2025.02.10 10:05:00,1739181900677,0,0,3,0.01000000,0.9108600000,0.00000000,0.00000000,0.00000000,0.00000000,2908202606,USDCHF,SolTrade TBV1,YES
21,21,20,2025.02.17 10:05:00,1739786700022,1,1,3,0.01000000,0.8999100000,-12.17000000,0.00000000,0.48000000,0.00000000,2908202606,USDCHF,SolTrade TBV1 exit,YES
22,22,22,2025.02.17 10:05:01,1739786701029,0,0,3,0.01000000,0.9000700000,0.00000000,0.00000000,0.00000000,0.00000000,2908202606,USDCHF,SolTrade TBV1,YES
23,23,22,2025.02.24 10:05:00,1740391500033,1,1,3,0.01000000,0.8967000000,-3.76000000,0.00000000,0.48000000,0.00000000,2908202606,USDCHF,SolTrade TBV1 exit,YES
24,24,24,2025.02.24 10:05:01,1740391501047,0,1,3,0.01000000,1.0488500000,0.00000000,0.00000000,0.00000000,0.00000000,2908202601,EURUSD,SolTrade TBV1,YES
25,25,25,2025.02.24 10:05:01,1740391501047,0,0,3,0.01000000,0.6369900000,0.00000000,0.00000000,0.00000000,0.00000000,2908202603,AUDUSD,SolTrade TBV1,YES
26,26,26,2025.02.24 10:05:01,1740391501047,0,0,3,0.01000000,0.8968600000,0.00000000,0.00000000,0.00000000,0.00000000,2908202606,USDCHF,SolTrade TBV1,YES
