field,value
schema,SOLTRADE_PHASE6_V29_RUN_SUMMARY_V1
execution_instance_id,V29-2025_DEVELOPMENT-NATIVE_NORMAL_EXECUTION-R1
dataset,V29_2025_DEVELOPMENT
schedule_dataset,V26_2025_DEVELOPMENT
execution_layer,NATIVE_NORMAL_EXECUTION
schedule_legs,204
processed_rebalances,51
entry_attempts,204
entry_fills,106
exit_fills,106
missed_legs,0
spread_blocks,0
risk_blocks,32
execution_blocks,66
max_portfolio_positions,4
open_positions_at_end,0
max_tick,2025.12.31 23:59:58
seal_breach,NO
run_evidence_status,PASS
