deal_ticket,order_ticket,position_identifier,time,time_msc,entry,type,reason,volume,price,profit,commission,swap,fee,magic,symbol,comment,in_research_window
2,2,2,2026.01.05 10:05:00,1767607500053,0,0,3,0.01000000,1.3423800000,0.00000000,0.00000000,0.00000000,0.00000000,2908202602,GBPUSD,SolTrade TBV1,YES
3,3,3,2026.01.05 10:05:00,1767607500053,0,0,3,0.02000000,0.6672800000,0.00000000,0.00000000,0.00000000,0.00000000,2908202603,AUDUSD,SolTrade TBV1,YES
4,4,4,2026.01.05 10:05:00,1767607500053,0,1,3,0.01000000,0.5746300000,0.00000000,0.00000000,0.00000000,0.00000000,2908202604,NZDUSD,SolTrade TBV1,YES
5,5,5,2026.01.05 10:05:00,1767607500053,0,0,3,0.01000000,156.9820000000,0.00000000,0.00000000,0.00000000,0.00000000,2908202607,USDJPY,SolTrade TBV1,YES
6,6,2,2026.01.12 10:05:00,1768212300658,1,1,3,0.01000000,1.3453100000,2.93000000,0.00000000,-0.20000000,0.00000000,2908202602,GBPUSD,SolTrade TBV1 exit,YES
7,7,3,2026.01.12 10:05:00,1768212300658,1,1,3,0.02000000,0.6709800000,7.40000000,0.00000000,-0.27000000,0.00000000,2908202603,AUDUSD,SolTrade TBV1 exit,YES
8,8,4,2026.01.12 10:05:00,1768212300658,1,0,3,0.01000000,0.5758200000,-1.19000000,0.00000000,0.01000000,0.00000000,2908202604,NZDUSD,SolTrade TBV1 exit,YES
9,9,5,2026.01.12 10:05:00,1768212300658,1,1,3,0.01000000,157.7550000000,4.90000000,0.00000000,0.42000000,0.00000000,2908202607,USDJPY,SolTrade TBV1 exit,YES
10,10,10,2026.01.12 10:05:01,1768212301264,0,0,3,0.01000000,1.3454500000,0.00000000,0.00000000,0.00000000,0.00000000,2908202602,GBPUSD,SolTrade TBV1,YES
11,11,11,2026.01.12 10:05:01,1768212301264,0,0,3,0.02000000,0.6711300000,0.00000000,0.00000000,0.00000000,0.00000000,2908202603,AUDUSD,SolTrade TBV1,YES
12,12,12,2026.01.12 10:05:01,1768212301264,0,1,3,0.01000000,0.5756800000,0.00000000,0.00000000,0.00000000,0.00000000,2908202604,NZDUSD,SolTrade TBV1,YES
13,13,13,2026.01.12 10:05:01,1768212301264,0,0,3,0.02000000,1.3873300000,0.00000000,0.00000000,0.00000000,0.00000000,2908202605,USDCAD,SolTrade TBV1,YES
14,14,10,2026.01.19 10:05:00,1768817100611,1,1,3,0.01000000,1.3393100000,-6.14000000,0.00000000,-0.20000000,0.00000000,2908202602,GBPUSD,SolTrade TBV1 exit,YES
15,15,11,2026.01.19 10:05:00,1768817100611,1,1,3,0.02000000,0.6691600000,-3.94000000,0.00000000,-0.27000000,0.00000000,2908202603,AUDUSD,SolTrade TBV1 exit,YES
16,16,12,2026.01.19 10:05:00,1768817100611,1,0,3,0.01000000,0.5772200000,-1.54000000,0.00000000,0.01000000,0.00000000,2908202604,NZDUSD,SolTrade TBV1 exit,YES
17,17,13,2026.01.19 10:05:00,1768817100611,1,1,3,0.02000000,1.3892200000,2.72000000,0.00000000,0.35000000,0.00000000,2908202605,USDCAD,SolTrade TBV1 exit,YES
18,18,18,2026.01.26 10:05:00,1769421900047,0,1,3,0.01000000,1.1843900000,0.00000000,0.00000000,0.00000000,0.00000000,2908202601,EURUSD,SolTrade TBV1,YES
19,19,19,2026.01.26 10:05:00,1769421900047,0,0,3,0.01000000,0.6914100000,0.00000000,0.00000000,0.00000000,0.00000000,2908202603,AUDUSD,SolTrade TBV1,YES
20,20,20,2026.01.26 10:05:00,1769421900047,0,0,3,0.01000000,0.5960300000,0.00000000,0.00000000,0.00000000,0.00000000,2908202604,NZDUSD,SolTrade TBV1,YES
21,21,21,2026.01.26 10:05:00,1769421900047,0,0,3,0.02000000,1.3692600000,0.00000000,0.00000000,0.00000000,0.00000000,2908202605,USDCAD,SolTrade TBV1,YES
22,22,18,2026.01.27 22:47:17,1769554037025,1,0,4,0.01000000,1.2034300000,-19.04000000,0.00000000,0.05000000,0.00000000,2908202601,EURUSD,sl 1.20333,YES
23,23,21,2026.01.29 06:06:54,1769666814731,1,1,4,0.02000000,1.3519000000,-25.68000000,0.00000000,0.25000000,0.00000000,2908202605,USDCAD,sl 1.35190,YES
24,24,19,2026.02.02 10:05:00,1770026700005,1,1,3,0.01000000,0.6942900000,2.88000000,0.00000000,-0.13000000,0.00000000,2908202603,AUDUSD,SolTrade TBV1 exit,YES
25,25,20,2026.02.02 10:05:00,1770026700005,1,1,3,0.01000000,0.6007900000,4.76000000,0.00000000,-0.20000000,0.00000000,2908202604,NZDUSD,SolTrade TBV1 exit,YES
26,26,26,2026.02.02 10:05:01,1770026701220,0,0,3,0.01000000,0.6944300000,0.00000000,0.00000000,0.00000000,0.00000000,2908202603,AUDUSD,SolTrade TBV1,YES
27,27,27,2026.02.02 10:05:01,1770026701220,0,0,3,0.01000000,0.6009400000,0.00000000,0.00000000,0.00000000,0.00000000,2908202604,NZDUSD,SolTrade TBV1,YES
28,28,28,2026.02.02 10:05:01,1770026701220,0,0,3,0.01000000,1.3651200000,0.00000000,0.00000000,0.00000000,0.00000000,2908202605,USDCAD,SolTrade TBV1,YES
29,29,26,2026.02.09 10:05:00,1770631500656,1,1,3,0.01000000,0.7033000000,8.87000000,0.00000000,-0.13000000,0.00000000,2908202603,AUDUSD,SolTrade TBV1 exit,YES
30,30,27,2026.02.09 10:05:00,1770631500656,1,1,3,0.01000000,0.6018900000,0.95000000,0.00000000,-0.20000000,0.00000000,2908202604,NZDUSD,SolTrade TBV1 exit,YES
31,31,28,2026.02.09 10:05:00,1770631500656,1,1,3,0.01000000,1.3641300000,-0.73000000,0.00000000,0.20000000,0.00000000,2908202605,USDCAD,SolTrade TBV1 exit,YES
32,32,32,2026.02.09 10:05:01,1770631501062,0,0,3,0.01000000,0.6020400000,0.00000000,0.00000000,0.00000000,0.00000000,2908202604,NZDUSD,SolTrade TBV1,YES
33,33,32,2026.02.16 10:05:00,1771236300337,1,1,3,0.01000000,0.6041800000,2.14000000,0.00000000,-0.20000000,0.00000000,2908202604,NZDUSD,SolTrade TBV1 exit,YES
34,34,34,2026.02.23 10:05:00,1771841100218,0,0,3,0.01000000,0.7075500000,0.00000000,0.00000000,0.00000000,0.00000000,2908202603,AUDUSD,SolTrade TBV1,YES
35,35,35,2026.02.23 10:05:00,1771841100218,0,1,3,0.01000000,0.5975800000,0.00000000,0.00000000,0.00000000,0.00000000,2908202604,NZDUSD,SolTrade TBV1,YES
36,36,34,2026.03.02 10:05:00,1772445900148,1,1,3,0.01000000,0.7057700000,-1.78000000,0.00000000,-0.13000000,0.00000000,2908202603,AUDUSD,SolTrade TBV1 exit,YES
37,37,35,2026.03.02 10:05:00,1772445900148,1,0,3,0.01000000,0.5944300000,3.15000000,0.00000000,0.01000000,0.00000000,2908202604,NZDUSD,SolTrade TBV1 exit,YES
38,38,38,2026.03.02 10:05:01,1772445901769,0,1,3,0.01000000,1.3364800000,0.00000000,0.00000000,0.00000000,0.00000000,2908202602,GBPUSD,SolTrade TBV1,YES
39,39,39,2026.03.02 10:05:01,1772445901769,0,0,3,0.01000000,0.7059800000,0.00000000,0.00000000,0.00000000,0.00000000,2908202603,AUDUSD,SolTrade TBV1,YES
40,40,40,2026.03.02 10:05:01,1772445901769,0,1,3,0.01000000,0.5943400000,0.00000000,0.00000000,0.00000000,0.00000000,2908202604,NZDUSD,SolTrade TBV1,YES
41,41,41,2026.03.02 10:05:01,1772445901769,0,1,3,0.01000000,0.7725900000,0.00000000,0.00000000,0.00000000,0.00000000,2908202606,USDCHF,SolTrade TBV1,YES
42,42,38,2026.03.09 10:05:00,1773050700239,1,0,3,0.01000000,1.3313000000,5.18000000,0.00000000,-0.13000000,0.00000000,2908202602,GBPUSD,SolTrade TBV1 exit,YES
43,43,39,2026.03.09 10:05:00,1773050700239,1,1,3,0.01000000,0.6996600000,-6.32000000,0.00000000,-0.13000000,0.00000000,2908202603,AUDUSD,SolTrade TBV1 exit,YES
44,44,40,2026.03.09 10:05:00,1773050700239,1,0,3,0.01000000,0.5880300000,6.31000000,0.00000000,0.01000000,0.00000000,2908202604,NZDUSD,SolTrade TBV1 exit,YES
45,45,41,2026.03.09 10:05:00,1773050700239,1,0,3,0.01000000,0.7804500000,-10.07000000,0.00000000,-1.05000000,0.00000000,2908202606,USDCHF,SolTrade TBV1 exit,YES
46,46,46,2026.03.09 10:05:01,1773050701046,0,1,3,0.01000000,1.1539000000,0.00000000,0.00000000,0.00000000,0.00000000,2908202601,EURUSD,SolTrade TBV1,YES
47,47,47,2026.03.09 10:05:01,1773050701046,0,0,3,0.01000000,0.6997600000,0.00000000,0.00000000,0.00000000,0.00000000,2908202603,AUDUSD,SolTrade TBV1,YES
48,48,48,2026.03.09 10:05:01,1773050701046,0,1,3,0.01000000,1.3551000000,0.00000000,0.00000000,0.00000000,0.00000000,2908202605,USDCAD,SolTrade TBV1,YES
49,49,49,2026.03.09 10:05:01,1773050701046,0,0,3,0.01000000,158.6280000000,0.00000000,0.00000000,0.00000000,0.00000000,2908202607,USDJPY,SolTrade TBV1,YES
50,50,46,2026.03.16 10:05:00,1773655500167,1,0,3,0.01000000,1.1434100000,10.49000000,0.00000000,0.34000000,0.00000000,2908202601,EURUSD,SolTrade TBV1 exit,YES
51,51,47,2026.03.16 10:05:00,1773655500167,1,1,3,0.01000000,0.7018400000,2.08000000,0.00000000,-0.13000000,0.00000000,2908202603,AUDUSD,SolTrade TBV1 exit,YES
52,52,48,2026.03.16 10:05:00,1773655500167,1,0,3,0.01000000,1.3717000000,-12.10000000,0.00000000,-0.48000000,0.00000000,2908202605,USDCAD,SolTrade TBV1 exit,YES
53,53,49,2026.03.16 10:05:00,1773655500167,1,1,3,0.01000000,159.2410000000,3.85000000,0.00000000,0.42000000,0.00000000,2908202607,USDJPY,SolTrade TBV1 exit,YES
54,54,54,2026.03.16 10:05:02,1773655502394,0,1,3,0.01000000,1.3715400000,0.00000000,0.00000000,0.00000000,0.00000000,2908202605,USDCAD,SolTrade TBV1,YES
55,55,55,2026.03.16 10:05:02,1773655502394,0,0,3,0.01000000,159.2560000000,0.00000000,0.00000000,0.00000000,0.00000000,2908202607,USDJPY,SolTrade TBV1,YES
56,56,54,2026.03.23 10:05:00,1774260300187,1,0,3,0.01000000,1.3734500000,-1.39000000,0.00000000,-0.48000000,0.00000000,2908202605,USDCAD,SolTrade TBV1 exit,YES
