schema,time,dataset,execution_layer,event_type,reason_code,details
SOLTRADE_PHASE6_V29_EVENT_V1,2025.12.01 00:00:00,V29_2026_PRESEAL_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,PREFLIGHT_PASSED,NONE,tester_only=YES;optimization=NO;symbols=7
SOLTRADE_PHASE6_V29_EVENT_V1,2026.01.05 10:05:00,V29_2026_PRESEAL_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,ORDER_REQUEST_ACCEPTED_AWAITING_TRANSACTION,BROKER_REPORTED_FILL_AWAITING_CONFIRMATION,GBPUSD;Broker returned DONE; fill remains unconfirmed until a matching trade transaction
SOLTRADE_PHASE6_V29_EVENT_V1,2026.01.05 10:05:00,V29_2026_PRESEAL_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,ORDER_REQUEST_ACCEPTED_AWAITING_TRANSACTION,BROKER_REPORTED_FILL_AWAITING_CONFIRMATION,AUDUSD;Broker returned DONE; fill remains unconfirmed until a matching trade transaction
SOLTRADE_PHASE6_V29_EVENT_V1,2026.01.05 10:05:00,V29_2026_PRESEAL_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,ORDER_REQUEST_ACCEPTED_AWAITING_TRANSACTION,BROKER_REPORTED_FILL_AWAITING_CONFIRMATION,NZDUSD;Broker returned DONE; fill remains unconfirmed until a matching trade transaction
SOLTRADE_PHASE6_V29_EVENT_V1,2026.01.05 10:05:00,V29_2026_PRESEAL_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,ORDER_REQUEST_ACCEPTED_AWAITING_TRANSACTION,BROKER_REPORTED_FILL_AWAITING_CONFIRMATION,USDJPY;Broker returned DONE; fill remains unconfirmed until a matching trade transaction
SOLTRADE_PHASE6_V29_EVENT_V1,2026.01.05 10:05:00,V29_2026_PRESEAL_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,ORDER_FILL_CONFIRMED,BROKER_FILL_CONFIRMED,GBPUSD;deal=2
SOLTRADE_PHASE6_V29_EVENT_V1,2026.01.05 10:05:00,V29_2026_PRESEAL_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,ORDER_FILL_CONFIRMED,BROKER_FILL_CONFIRMED,AUDUSD;deal=3
SOLTRADE_PHASE6_V29_EVENT_V1,2026.01.05 10:05:00,V29_2026_PRESEAL_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,ORDER_FILL_CONFIRMED,BROKER_FILL_CONFIRMED,NZDUSD;deal=4
SOLTRADE_PHASE6_V29_EVENT_V1,2026.01.05 10:05:00,V29_2026_PRESEAL_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,ORDER_FILL_CONFIRMED,BROKER_FILL_CONFIRMED,USDJPY;deal=5
SOLTRADE_PHASE6_V29_EVENT_V1,2026.01.12 10:05:00,V29_2026_PRESEAL_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,POSITION_CLOSE_ACCEPTED_AWAITING_TRANSACTION,POSITION_CLOSE_BROKER_ACCEPTED,GBPUSD;Close request accepted; matching exit deal is not yet confirmed
SOLTRADE_PHASE6_V29_EVENT_V1,2026.01.12 10:05:00,V29_2026_PRESEAL_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,POSITION_CLOSE_ACCEPTED_AWAITING_TRANSACTION,POSITION_CLOSE_BROKER_ACCEPTED,AUDUSD;Close request accepted; matching exit deal is not yet confirmed
SOLTRADE_PHASE6_V29_EVENT_V1,2026.01.12 10:05:00,V29_2026_PRESEAL_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,POSITION_CLOSE_ACCEPTED_AWAITING_TRANSACTION,POSITION_CLOSE_BROKER_ACCEPTED,NZDUSD;Close request accepted; matching exit deal is not yet confirmed
