cell_id,dataset,cost_profile,execution_layer,initial_synthetic_equity,final_synthetic_equity,adjusted_net_profit,gross_profit,gross_loss,profit_factor,expectancy_usd,expectancy_R,naturally_closed_legs,winning_legs,losing_legs,win_rate_percent,relative_drawdown_percent,annualized_return_percent,best_individual_leg_contribution_percent,best_currency_contribution_percent,best_direction_contribution_percent,best_portfolio_side_contribution_percent,best_week_contribution_percent,best_month_contribution_percent,BUY_legs,SELL_legs,LONG_legs,SHORT_legs,stop_loss_exits,weekly_rebalance_exits,registered_span_fraction
V29_2025_DEVELOPMENT-NORMAL-NATIVE,V29_2025_DEVELOPMENT,NORMAL,NATIVE_NORMAL_EXECUTION,10000.0,9837.145831006526,-162.8541689934673,415.7852147405227,-578.6393837339899,0.7185567149913633,-1.5363600848440313,-0.06162243137617359,106,39,67,36.79245283018868,2.175081208905908,-1.6555331122666717,,,,,,,59,47,52,54,8,98,0.9733582788555316
V29_2025_DEVELOPMENT-HIGH-NATIVE,V29_2025_DEVELOPMENT,HIGH,NATIVE_NORMAL_EXECUTION,10000.0,9799.825050747519,-200.17494925247874,401.7714222595191,-601.9463715119979,0.6674538485053583,-1.8884429174762145,-0.07596423307353373,106,37,69,34.90566037735849,2.5090886471554823,-2.034862216510036,,,,,,,59,47,52,54,8,98,0.9733582788555316
V29_2025_DEVELOPMENT-STRESS-NATIVE,V29_2025_DEVELOPMENT,STRESS,NATIVE_NORMAL_EXECUTION,10000.0,9762.644194553199,-237.3558054468053,388.05644799693385,-625.4122534437391,0.6204810440795795,-2.239205711762314,-0.09030603477089387,106,34,72,32.075471698113205,2.853804235120075,-2.4127451226039875,,,,,,,59,47,52,54,8,98,0.9733582788555316
V29_2026_PRESEAL_DEVELOPMENT-NORMAL-NATIVE,V29_2026_PRESEAL_DEVELOPMENT,NORMAL,NATIVE_NORMAL_EXECUTION,10000.0,9871.447818034587,-128.55218196540858,208.01675948815665,-336.56894145356523,0.6180509662887468,-1.737191648181197,-0.06974137516522068,74,37,37,50.0,1.6510073867668464,-2.255609192603447,,,,,,,44,30,34,40,4,70,0.9779368716859308
V29_2026_PRESEAL_DEVELOPMENT-HIGH-NATIVE,V29_2026_PRESEAL_DEVELOPMENT,HIGH,NATIVE_NORMAL_EXECUTION,10000.0,9845.405195463036,-154.5948045369532,196.90650051091646,-351.50130504786966,0.5601871107821363,-2.0891189802290975,-0.08401674788545505,74,36,38,48.64864864864865,1.8901981978921452,-2.7098442497115127,,,,,,,44,30,34,40,4,70,0.9779368716859308
V29_2026_PRESEAL_DEVELOPMENT-STRESS-NATIVE,V29_2026_PRESEAL_DEVELOPMENT,STRESS,NATIVE_NORMAL_EXECUTION,10000.0,9819.430034653431,-180.56996534656372,186.2795748935576,-366.8495402401213,0.5077819499831684,-2.4401346668454558,-0.09829212060568943,74,36,38,48.64864864864865,2.128818923303904,-3.1619900177860094,,,,,,,44,30,34,40,4,70,0.9779368716859308
V29_2025_DEVELOPMENT-NORMAL-DELAY200,V29_2025_DEVELOPMENT,NORMAL,FIXED_DELAY_200_MS,10000.0,9843.210843245284,-156.7891567547206,430.33419375515257,-587.1233505098731,0.7329536346688292,-1.4125149257182037,-0.056622946317953865,111,41,70,36.93693693693694,2.1138295350844714,-1.593885940728379,,,,,,,61,50,54,57,8,103,0.9733582788555316
V29_2025_DEVELOPMENT-HIGH-DELAY200,V29_2025_DEVELOPMENT,HIGH,FIXED_DELAY_200_MS,10000.0,9803.909240628422,-196.0907593715703,415.61526481762706,-611.7060241891974,0.6794362788375605,-1.7665834177618946,-0.0710383285401239,111,39,72,35.13513513513514,2.466122053528245,-1.9933516094950643,,,,,,,61,50,54,57,8,103,0.9733582788555316
V29_2025_DEVELOPMENT-STRESS-DELAY200,V29_2025_DEVELOPMENT,STRESS,FIXED_DELAY_200_MS,10000.0,9764.762793480677,-235.23720651931876,401.2537803370802,-636.4909868563989,0.6304154946778666,-2.1192541127866553,-0.08545371076229395,111,36,75,32.432432432432435,2.829184630691863,-2.3912136570435893,,,,,,,61,50,54,57,8,103,0.9733582788555316
V29_2026_PRESEAL_DEVELOPMENT-NORMAL-DELAY200,V29_2026_PRESEAL_DEVELOPMENT,NORMAL,FIXED_DELAY_200_MS,10000.0,9871.42316387367,-128.57683612632866,308.88356837997014,-437.4604045062988,0.7060834882383571,-1.5680101966625446,-0.06281123399058378,82,41,41,50.0,1.7478449676390135,-2.2560396432073304,,,,,,,51,31,38,44,8,74,0.9779368716859308
V29_2026_PRESEAL_DEVELOPMENT-HIGH-DELAY200,V29_2026_PRESEAL_DEVELOPMENT,HIGH,FIXED_DELAY_200_MS,10000.0,9842.271475356749,-157.72852464325717,296.36389086366563,-454.0924155069228,0.6526510479872736,-1.9235185932104533,-0.07723391805077728,82,40,42,48.78048780487805,1.9922326195955753,-2.7644408081329064,,,,,,,51,31,38,44,8,74,0.9779368716859308
V29_2026_PRESEAL_DEVELOPMENT-STRESS-DELAY200,V29_2026_PRESEAL_DEVELOPMENT,STRESS,FIXED_DELAY_200_MS,10000.0,9813.204495552882,-186.7955044471242,284.3347833366445,-471.13028778376867,0.6035162474358762,-2.2779939566722462,-0.09165660211097079,82,40,42,48.78048780487805,2.236024500326667,-3.2702215880507257,,,,,,,51,31,38,44,8,74,0.9779368716859308
