ordinal,source_file,source_row_number,dataset,target,currency,symbol,orientation,rank,formation_return,portfolio_side,chart_direction,recent_h1,recent_close,anchor_h1,anchor_close,scheduled_exit,identity_sha256,exact_source_row_sha256
1,V26_2025_DEVELOPMENT/signal-schedule.csv,3,V26_2025_DEVELOPMENT,2025.01.06 10:05:00,GBP,GBPUSD,1,2,-0.014265244892,LONG,BUY,2025.01.06 09:00:00,1.2451900000,2024.12.16 09:00:00,1.2632100000,2025.01.13 10:05:00,25b689665a1ea9c607e4598dc0e23793749b3d694b2cf648904b15bd3fbe25bf,9a2247b3932f05cfc757298f00013da493e2a385c50ef51ccfaac9d5088af6ed
2,V26_2025_DEVELOPMENT/signal-schedule.csv,5,V26_2025_DEVELOPMENT,2025.01.06 10:05:00,NZD,NZDUSD,1,7,-0.026392302101,SHORT,SELL,2025.01.06 09:00:00,0.5625700000,2024.12.16 09:00:00,0.5778200000,2025.01.13 10:05:00,6725ef7617c9ba650bd24fa5c85ae40fed82aa2b3878008d0dfd5e96e8e9d25c,7d12ef89722fbfc39f96f84b52905db625b944143bb0d00b76a8619190bcb67d
3,V26_2025_DEVELOPMENT/signal-schedule.csv,6,V26_2025_DEVELOPMENT,2025.01.06 10:05:00,CAD,USDCAD,-1,1,-0.011584836165,LONG,SELL,2025.01.06 09:00:00,1.4389500000,2024.12.16 09:00:00,1.4222800000,2025.01.13 10:05:00,3f0b735c6ee8308bca2e8da7cad9519a7554d1e33e43f65ddc446a5d5c15cee6,6792d8c9806cb5f00f5e4bf8952287d15e468df6b03499a0f12c7102c191da3f
4,V26_2025_DEVELOPMENT/signal-schedule.csv,8,V26_2025_DEVELOPMENT,2025.01.06 10:05:00,JPY,USDJPY,-1,6,-0.026227823693,SHORT,BUY,2025.01.06 09:00:00,157.6570000000,2024.12.16 09:00:00,153.5220000000,2025.01.13 10:05:00,f9bbdecfdde71a5a78677967e72a2fdf95644904da9f4f6aa91ca73ddbd0fdb9,4269ee7cbad93bca9c401efa61a8ad52a77802b41e9bd308c56c2256e913061e
5,V26_2025_DEVELOPMENT/signal-schedule.csv,10,V26_2025_DEVELOPMENT,2025.01.13 10:05:00,GBP,GBPUSD,1,7,-0.033492861068,SHORT,SELL,2025.01.13 09:00:00,1.2137300000,2024.12.23 09:00:00,1.2557900000,2025.01.20 10:05:00,584fa64dd709800a7bda522db45545513d7dabeaf54d4c3b2d0aeb08bb68a209,ec932ea24ae45da7ee16d7c2e4cc9838e69454c46c344d445da0515e42edfb24
6,V26_2025_DEVELOPMENT/signal-schedule.csv,13,V26_2025_DEVELOPMENT,2025.01.13 10:05:00,CAD,USDCAD,-1,1,-0.003000443484,LONG,SELL,2025.01.13 09:00:00,1.4431200000,2024.12.23 09:00:00,1.4387900000,2025.01.20 10:05:00,7cca03095ac345f3f1346333c50ec9fd0a6e0c61f5635914fb8e638f3b0d314f,5ca1b8daa67ac2b913588688e0f08567abd851d39c9fa75f6ea9c2bc90758160
7,V26_2025_DEVELOPMENT/signal-schedule.csv,14,V26_2025_DEVELOPMENT,2025.01.13 10:05:00,CHF,USDCHF,-1,6,-0.023867441886,SHORT,BUY,2025.01.13 09:00:00,0.9167300000,2024.12.23 09:00:00,0.8948500000,2025.01.20 10:05:00,22f52aea27a639865a8692cb5dfcfea5d48c2c528ccdb08dea17415b2b3f8283,d44dbac03cc0adeba9c4bd656a9298e4781d57fd35788040230423b2ddf81eea
8,V26_2025_DEVELOPMENT/signal-schedule.csv,15,V26_2025_DEVELOPMENT,2025.01.13 10:05:00,JPY,USDJPY,-1,2,-0.004242455035,LONG,SELL,2025.01.13 09:00:00,157.4560000000,2024.12.23 09:00:00,156.7880000000,2025.01.20 10:05:00,c3456d5f3c5e3a3be82e00445a30cc8a0a0b7637c8da2954b49bc17b6778202e,429fd5f61ad6fb6abea8d29f293ec925223d2492bcd166d4f7f00b731a3bb046
9,V26_2025_DEVELOPMENT/signal-schedule.csv,17,V26_2025_DEVELOPMENT,2025.01.20 10:05:00,GBP,GBPUSD,1,7,-0.028983894303,SHORT,SELL,2025.01.20 09:00:00,1.2214800000,2024.12.30 09:00:00,1.2579400000,2025.01.27 10:05:00,2edaee375f49d5a733d434ade12255e7a32ee5b4378ac5cc0775eb9b593fa52f,bae41cf2f6c09244982449ab3cfa62aeee6610dd0a13f939d4026e4fba81cb64
10,V26_2025_DEVELOPMENT/signal-schedule.csv,18,V26_2025_DEVELOPMENT,2025.01.20 10:05:00,AUD,AUDUSD,1,2,-0.002581286475,LONG,BUY,2025.01.20 09:00:00,0.6221100000,2024.12.30 09:00:00,0.6237200000,2025.01.27 10:05:00,c23c7272809837cf42760531c58dfb923b99c94cfbcfbb3d4c75710ea998cb28,3eaba7b9498b21819a392e3c691d05fe367cdb878b9b57e64ec681a881de3f40
