field,value
schema,SOLTRADE_PHASE6_V30_REAL_TICK_QUALIFICATION_V1
symbol,EURUSD
model,EVERY_TICK_BASED_ON_REAL_TICKS
warmup_from,2017.11.01 00:00:00
bound_from,2018.01.01 00:00:00
bound_to_exclusive,2025.01.01 00:00:00
warmup_first_tick,2017.11.01 00:00:00
warmup_last_tick,2017.12.29 23:59:30
warmup_tick_count,3212501
first_tick,2018.01.02 00:00:00
final_tick,2024.12.31 23:59:59
tick_count,165499218
m1_count,2609649
h1_count,43560
m1_mismatches,0
h1_mismatches,0
spread_samples,165499218
zero_or_negative_spread_samples,50729
mean_spread_points,8.885867442588154
maximum_spread_points,500.99999999999585
digits,5
point,0.0000100000
contract_size,100000.00
swap_mode,1
swap_rollover3day,3
swap_long,-9.71000000
swap_short,4.50000000
ticks_2018,26505187
m1_2018,372911
h1_2018,6216
ticks_2019,13551432
m1_2019,372852
h1_2019,6216
ticks_2020,26809649
m1_2020,373935
h1_2020,6240
ticks_2021,17604208
m1_2021,373174
h1_2021,6240
ticks_2022,34550779
m1_2022,371841
h1_2022,6216
ticks_2023,27592740
m1_2023,371128
h1_2023,6192
ticks_2024,18885223
m1_2024,373808
h1_2024,6240
orders_or_positions,ZERO
pnl_calculated,NO
status,PASS
