field,value
schema,SOLTRADE_PHASE6_V30_REAL_TICK_QUALIFICATION_V1
symbol,GBPUSD
model,EVERY_TICK_BASED_ON_REAL_TICKS
warmup_from,2017.11.01 00:00:00
bound_from,2018.01.01 00:00:00
bound_to_exclusive,2025.01.01 00:00:00
warmup_first_tick,2017.11.01 00:00:00
warmup_last_tick,2017.12.29 23:59:30
warmup_tick_count,4088340
first_tick,2018.01.02 00:00:00
final_tick,2024.12.31 23:59:59
tick_count,214589645
m1_count,2607091
h1_count,43560
m1_mismatches,0
h1_mismatches,0
spread_samples,214589645
zero_or_negative_spread_samples,40527
mean_spread_points,11.999710782875846
maximum_spread_points,933.000000000006
digits,5
point,0.0000100000
contract_size,100000.00
swap_mode,1
swap_rollover3day,3
swap_long,-2.63000000
swap_short,-1.53000000
ticks_2018,30794119
m1_2018,372885
h1_2018,6216
ticks_2019,21386164
m1_2019,372827
h1_2019,6216
ticks_2020,27624432
m1_2020,373970
h1_2020,6240
ticks_2021,20794893
m1_2021,372913
h1_2021,6240
ticks_2022,49713749
m1_2022,370274
h1_2022,6216
ticks_2023,38274398
m1_2023,370619
h1_2023,6192
ticks_2024,26001890
m1_2024,373603
h1_2024,6240
orders_or_positions,ZERO
pnl_calculated,NO
status,PASS
