field,value
schema,SOLTRADE_PHASE6_V30_REAL_TICK_QUALIFICATION_V1
symbol,USDCHF
model,EVERY_TICK_BASED_ON_REAL_TICKS
warmup_from,2017.11.01 00:00:00
bound_from,2018.01.01 00:00:00
bound_to_exclusive,2025.01.01 00:00:00
warmup_first_tick,2017.11.01 00:00:00
warmup_last_tick,2017.12.30 00:59:59
warmup_tick_count,3250947
first_tick,2018.01.02 01:05:00
final_tick,2024.12.31 23:59:59
tick_count,135235633
m1_count,2599216
h1_count,43516
m1_mismatches,1
h1_mismatches,0
spread_samples,135235633
zero_or_negative_spread_samples,24724
mean_spread_points,13.934412796367065
maximum_spread_points,625.0000000000089
digits,5
point,0.0000100000
contract_size,100000.00
swap_mode,1
swap_rollover3day,3
swap_long,5.97000000
swap_short,-11.60000000
ticks_2018,16748372
m1_2018,371679
h1_2018,6201
ticks_2019,11983104
m1_2019,371271
h1_2019,6194
ticks_2020,20469211
m1_2020,372964
h1_2020,6234
ticks_2021,14235919
m1_2021,372030
h1_2021,6240
ticks_2022,25189306
m1_2022,368461
h1_2022,6216
ticks_2023,28425165
m1_2023,369936
h1_2023,6191
ticks_2024,18184556
m1_2024,372875
h1_2024,6240
orders_or_positions,ZERO
pnl_calculated,NO
status,FAIL
