field,value
schema,SOLTRADE_PHASE6_V30C_QUALIFICATION_V1
symbol,AUDUSD
model,EVERY_TICK_BASED_ON_REAL_TICKS
bound_start_inclusive,2022.11.14 00:05:00.354
bound_end_exclusive,2024.01.01 00:00:00.000
first_processed_tick,2022.11.14 00:05:00.540
final_processed_tick,2023.12.29 23:57:59.894
processed_tick_count,35302649
processed_ticks_2022,4992369
processed_ticks_2023,30310280
m1_count,419653
h1_count,7008
m1_mismatches,0
h1_mismatches,1
spread_samples,35302649
zero_or_negative_spread_samples,28812
mean_spread_points,12.769143499684684
maximum_spread_points,329.99999999999693
digits,5
point,0.0000100000
contract_size,100000.00
swap_mode,1
swap_rollover3day,3
swap_long,-1.83000000
swap_short,-0.51000000
orders_or_positions,ZERO
pnl_calculated,NO
local_status,FAIL
