field,value
schema,SOLTRADE_PHASE6_V30C_QUALIFICATION_V1
symbol,EURUSD
model,EVERY_TICK_BASED_ON_REAL_TICKS
bound_start_inclusive,2022.11.14 00:05:00.354
bound_end_exclusive,2024.01.01 00:00:00.000
first_processed_tick,2022.11.14 00:05:00.682
final_processed_tick,2023.12.29 23:57:52.904
processed_tick_count,32507586
processed_ticks_2022,4914846
processed_ticks_2023,27592740
m1_count,419991
h1_count,7008
m1_mismatches,1
h1_mismatches,1
spread_samples,32507586
zero_or_negative_spread_samples,50729
mean_spread_points,11.185855080103456
maximum_spread_points,500.99999999999585
digits,5
point,0.0000100000
contract_size,100000.00
swap_mode,1
swap_rollover3day,3
swap_long,-9.71000000
swap_short,4.50000000
orders_or_positions,ZERO
pnl_calculated,NO
local_status,FAIL
