field,value
schema,SOLTRADE_PHASE6_V30C_QUALIFICATION_V1
symbol,GBPUSD
model,EVERY_TICK_BASED_ON_REAL_TICKS
bound_start_inclusive,2022.11.14 00:05:00.354
bound_end_exclusive,2024.01.01 00:00:00.000
first_processed_tick,2022.11.14 00:05:00.440
final_processed_tick,2023.12.29 23:57:57.034
processed_tick_count,47624507
processed_ticks_2022,9350109
processed_ticks_2023,38274398
m1_count,419076
h1_count,7008
m1_mismatches,1
h1_mismatches,1
spread_samples,47624507
zero_or_negative_spread_samples,40527
mean_spread_points,14.763661826462581
maximum_spread_points,902.0000000000027
digits,5
point,0.0000100000
contract_size,100000.00
swap_mode,1
swap_rollover3day,3
swap_long,-2.63000000
swap_short,-1.53000000
orders_or_positions,ZERO
pnl_calculated,NO
local_status,FAIL
