schema,symbol,previous_tick,current_tick,gap_seconds
SOLTRADE_PHASE6_V30C_GAP_V1,NZDUSD,2022.11.18 23:56:55,2022.11.21 00:05:00,173285
SOLTRADE_PHASE6_V30C_GAP_V1,NZDUSD,2022.11.25 23:53:15,2022.11.28 00:02:00,173325
SOLTRADE_PHASE6_V30C_GAP_V1,NZDUSD,2022.12.02 23:56:59,2022.12.05 00:02:00,173101
SOLTRADE_PHASE6_V30C_GAP_V1,NZDUSD,2022.12.09 23:56:57,2022.12.12 00:02:00,173103
SOLTRADE_PHASE6_V30C_GAP_V1,NZDUSD,2022.12.16 23:56:59,2022.12.19 00:02:00,173101
SOLTRADE_PHASE6_V30C_GAP_V1,NZDUSD,2022.12.23 23:56:30,2022.12.27 00:02:00,259530
SOLTRADE_PHASE6_V30C_GAP_V1,NZDUSD,2022.12.30 23:56:59,2023.01.02 00:04:46,173267
SOLTRADE_PHASE6_V30C_GAP_V1,NZDUSD,2023.01.06 23:56:50,2023.01.09 00:02:00,173110
SOLTRADE_PHASE6_V30C_GAP_V1,NZDUSD,2023.01.13 23:57:00,2023.01.16 00:02:00,173100
SOLTRADE_PHASE6_V30C_GAP_V1,NZDUSD,2023.01.20 23:56:49,2023.01.23 00:02:01,173112
SOLTRADE_PHASE6_V30C_GAP_V1,NZDUSD,2023.01.27 23:56:15,2023.01.30 00:02:00,173145
SOLTRADE_PHASE6_V30C_GAP_V1,NZDUSD,2023.02.03 23:56:46,2023.02.06 00:02:00,173114
SOLTRADE_PHASE6_V30C_GAP_V1,NZDUSD,2023.02.10 23:56:49,2023.02.13 00:02:00,173111
SOLTRADE_PHASE6_V30C_GAP_V1,NZDUSD,2023.02.17 23:56:49,2023.02.20 00:02:00,173111
SOLTRADE_PHASE6_V30C_GAP_V1,NZDUSD,2023.02.24 23:56:42,2023.02.27 00:02:01,173119
SOLTRADE_PHASE6_V30C_GAP_V1,NZDUSD,2023.03.03 23:56:57,2023.03.06 00:02:01,173104
SOLTRADE_PHASE6_V30C_GAP_V1,NZDUSD,2023.03.10 23:56:59,2023.03.13 00:02:01,173102
