field,value
schema,SOLTRADE_PHASE6_V30C_QUALIFICATION_V1
symbol,USDCAD
model,EVERY_TICK_BASED_ON_REAL_TICKS
bound_start_inclusive,2022.11.14 00:05:00.354
bound_end_exclusive,2024.01.01 00:00:00.000
first_processed_tick,2022.11.14 00:05:00.446
final_processed_tick,2023.12.29 23:57:56.148
processed_tick_count,38653946
processed_ticks_2022,5824337
processed_ticks_2023,32829609
m1_count,418625
h1_count,7007
m1_mismatches,2
h1_mismatches,1
spread_samples,38653946
zero_or_negative_spread_samples,28054
mean_spread_points,15.008079201021287
maximum_spread_points,660.000000000016
digits,5
point,0.0000100000
contract_size,100000.00
swap_mode,1
swap_rollover3day,3
swap_long,3.49000000
swap_short,-9.10000000
orders_or_positions,ZERO
pnl_calculated,NO
local_status,FAIL
