field,value
schema,SOLTRADE_PHASE6_V30C_QUALIFICATION_V1
symbol,USDCHF
model,EVERY_TICK_BASED_ON_REAL_TICKS
bound_start_inclusive,2022.11.14 00:05:00.354
bound_end_exclusive,2024.01.01 00:00:00.000
first_processed_tick,2022.11.14 00:10:07.141
final_processed_tick,2023.12.29 23:57:59.046
processed_tick_count,32448840
processed_ticks_2022,4023675
processed_ticks_2023,28425165
m1_count,418680
h1_count,7007
m1_mismatches,0
h1_mismatches,0
spread_samples,32448840
zero_or_negative_spread_samples,24724
mean_spread_points,17.07548155804645
maximum_spread_points,454.99999999999426
digits,5
point,0.0000100000
contract_size,100000.00
swap_mode,1
swap_rollover3day,3
swap_long,5.97000000
swap_short,-11.60000000
orders_or_positions,ZERO
pnl_calculated,NO
local_status,FAIL
