field,value
schema,SOLTRADE_PHASE6_V30C_QUALIFICATION_V1
symbol,USDJPY
model,EVERY_TICK_BASED_ON_REAL_TICKS
bound_start_inclusive,2022.11.14 00:05:00.354
bound_end_exclusive,2024.01.01 00:00:00.000
first_processed_tick,2022.11.14 00:05:00.459
final_processed_tick,2023.12.29 23:57:59.847
processed_tick_count,42390798
processed_ticks_2022,5157641
processed_ticks_2023,37233157
m1_count,419596
h1_count,7007
m1_mismatches,1
h1_mismatches,1
spread_samples,42390798
zero_or_negative_spread_samples,77742
mean_spread_points,13.84391140737667
maximum_spread_points,653.00000000002
digits,3
point,0.0010000000
contract_size,100000.00
swap_mode,1
swap_rollover3day,3
swap_long,9.54000000
swap_short,-18.97000000
orders_or_positions,ZERO
pnl_calculated,NO
local_status,FAIL
