schema,time,dataset,execution_layer,canonical_symbol,research_symbol,event_type,reason_code,details
SOLTRADE_PHASE6_V31A_EVENT_V1,2025.12.01 00:00:00,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,,,PREFLIGHT_PASSED,NONE,tester_only=YES;optimization=NO;symbols=7
SOLTRADE_PHASE6_V31A_EVENT_V1,2026.01.05 10:05:00,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,EURUSD,EURUSD.V31,ORDER_REQUEST_ACCEPTED_AWAITING_TRANSACTION,BROKER_REPORTED_FILL_AWAITING_CONFIRMATION,Broker returned DONE; fill remains unconfirmed until a matching trade transaction
SOLTRADE_PHASE6_V31A_EVENT_V1,2026.01.05 10:05:00,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,GBPUSD,GBPUSD.V31,ORDER_REQUEST_ACCEPTED_AWAITING_TRANSACTION,BROKER_REPORTED_FILL_AWAITING_CONFIRMATION,Broker returned DONE; fill remains unconfirmed until a matching trade transaction
SOLTRADE_PHASE6_V31A_EVENT_V1,2026.01.05 10:05:00,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,AUDUSD,AUDUSD.V31,ORDER_REQUEST_ACCEPTED_AWAITING_TRANSACTION,BROKER_REPORTED_FILL_AWAITING_CONFIRMATION,Broker returned DONE; fill remains unconfirmed until a matching trade transaction
SOLTRADE_PHASE6_V31A_EVENT_V1,2026.01.05 10:05:00,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,NZDUSD,NZDUSD.V31,ORDER_REQUEST_ACCEPTED_AWAITING_TRANSACTION,BROKER_REPORTED_FILL_AWAITING_CONFIRMATION,Broker returned DONE; fill remains unconfirmed until a matching trade transaction
SOLTRADE_PHASE6_V31A_EVENT_V1,2026.01.05 10:05:00,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,USDCAD,USDCAD.V31,ORDER_REQUEST_ACCEPTED_AWAITING_TRANSACTION,BROKER_REPORTED_FILL_AWAITING_CONFIRMATION,Broker returned DONE; fill remains unconfirmed until a matching trade transaction
SOLTRADE_PHASE6_V31A_EVENT_V1,2026.01.05 10:05:00,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,USDCHF,USDCHF.V31,ORDER_REQUEST_ACCEPTED_AWAITING_TRANSACTION,BROKER_REPORTED_FILL_AWAITING_CONFIRMATION,Broker returned DONE; fill remains unconfirmed until a matching trade transaction
SOLTRADE_PHASE6_V31A_EVENT_V1,2026.01.05 10:05:00,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,USDJPY,USDJPY.V31,ORDER_REQUEST_ACCEPTED_AWAITING_TRANSACTION,BROKER_REPORTED_FILL_AWAITING_CONFIRMATION,Broker returned DONE; fill remains unconfirmed until a matching trade transaction
SOLTRADE_PHASE6_V31A_EVENT_V1,2026.01.05 10:05:00,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,GBPUSD,GBPUSD.V31,ORDER_FILL_CONFIRMED,BROKER_FILL_CONFIRMED,deal=3
SOLTRADE_PHASE6_V31A_EVENT_V1,2026.01.05 10:05:00,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,AUDUSD,AUDUSD.V31,ORDER_FILL_CONFIRMED,BROKER_FILL_CONFIRMED,deal=4
SOLTRADE_PHASE6_V31A_EVENT_V1,2026.01.05 10:05:00,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,NZDUSD,NZDUSD.V31,ORDER_FILL_CONFIRMED,BROKER_FILL_CONFIRMED,deal=5
SOLTRADE_PHASE6_V31A_EVENT_V1,2026.01.05 10:05:00,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,USDCAD,USDCAD.V31,ORDER_FILL_CONFIRMED,BROKER_FILL_CONFIRMED,deal=6
SOLTRADE_PHASE6_V31A_EVENT_V1,2026.01.05 10:05:00,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,USDCHF,USDCHF.V31,ORDER_FILL_CONFIRMED,BROKER_FILL_CONFIRMED,deal=7
SOLTRADE_PHASE6_V31A_EVENT_V1,2026.01.05 10:05:00,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,USDJPY,USDJPY.V31,ORDER_FILL_CONFIRMED,BROKER_FILL_CONFIRMED,deal=8
SOLTRADE_PHASE6_V31A_EVENT_V1,2026.02.02 10:05:00,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,EURUSD,EURUSD.V31,POSITION_CLOSE_ACCEPTED_AWAITING_TRANSACTION,POSITION_CLOSE_BROKER_ACCEPTED,Close request accepted; matching exit deal is not yet confirmed
SOLTRADE_PHASE6_V31A_EVENT_V1,2026.02.02 10:05:00,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,GBPUSD,GBPUSD.V31,POSITION_CLOSE_ACCEPTED_AWAITING_TRANSACTION,POSITION_CLOSE_BROKER_ACCEPTED,Close request accepted; matching exit deal is not yet confirmed
SOLTRADE_PHASE6_V31A_EVENT_V1,2026.02.02 10:05:00,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,AUDUSD,AUDUSD.V31,POSITION_CLOSE_ACCEPTED_AWAITING_TRANSACTION,POSITION_CLOSE_BROKER_ACCEPTED,Close request accepted; matching exit deal is not yet confirmed
SOLTRADE_PHASE6_V31A_EVENT_V1,2026.02.02 10:05:00,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,NZDUSD,NZDUSD.V31,POSITION_CLOSE_ACCEPTED_AWAITING_TRANSACTION,POSITION_CLOSE_BROKER_ACCEPTED,Close request accepted; matching exit deal is not yet confirmed
SOLTRADE_PHASE6_V31A_EVENT_V1,2026.02.02 10:05:00,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,USDCHF,USDCHF.V31,POSITION_CLOSE_ACCEPTED_AWAITING_TRANSACTION,POSITION_CLOSE_BROKER_ACCEPTED,Close request accepted; matching exit deal is not yet confirmed
SOLTRADE_PHASE6_V31A_EVENT_V1,2026.02.02 10:05:01,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,USDJPY,USDJPY.V31,POSITION_CLOSE_ACCEPTED_AWAITING_TRANSACTION,POSITION_CLOSE_BROKER_ACCEPTED,Close request accepted; matching exit deal is not yet confirmed
SOLTRADE_PHASE6_V31A_EVENT_V1,2026.02.02 10:05:01,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,EURUSD,EURUSD.V31,POSITION_EXIT_TRANSACTION_CONFIRMED,MATCHING_EXIT_DEAL_CONFIRMED,DOLLAR_FACTOR_REBALANCE
SOLTRADE_PHASE6_V31A_EVENT_V1,2026.02.02 10:05:01,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,GBPUSD,GBPUSD.V31,POSITION_EXIT_TRANSACTION_CONFIRMED,MATCHING_EXIT_DEAL_CONFIRMED,DOLLAR_FACTOR_REBALANCE
SOLTRADE_PHASE6_V31A_EVENT_V1,2026.02.02 10:05:01,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,AUDUSD,AUDUSD.V31,POSITION_EXIT_TRANSACTION_CONFIRMED,MATCHING_EXIT_DEAL_CONFIRMED,DOLLAR_FACTOR_REBALANCE
SOLTRADE_PHASE6_V31A_EVENT_V1,2026.02.02 10:05:01,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,NZDUSD,NZDUSD.V31,POSITION_EXIT_TRANSACTION_CONFIRMED,MATCHING_EXIT_DEAL_CONFIRMED,DOLLAR_FACTOR_REBALANCE
SOLTRADE_PHASE6_V31A_EVENT_V1,2026.02.02 10:05:01,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,USDCHF,USDCHF.V31,POSITION_EXIT_TRANSACTION_CONFIRMED,MATCHING_EXIT_DEAL_CONFIRMED,DOLLAR_FACTOR_REBALANCE
SOLTRADE_PHASE6_V31A_EVENT_V1,2026.02.02 10:05:01,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,USDJPY,USDJPY.V31,POSITION_EXIT_TRANSACTION_CONFIRMED,MATCHING_EXIT_DEAL_CONFIRMED,DOLLAR_FACTOR_REBALANCE
SOLTRADE_PHASE6_V31A_EVENT_V1,2026.02.02 10:05:01,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,EURUSD,EURUSD.V31,ORDER_REQUEST_ACCEPTED_AWAITING_TRANSACTION,BROKER_REPORTED_FILL_AWAITING_CONFIRMATION,Broker returned DONE; fill remains unconfirmed until a matching trade transaction
SOLTRADE_PHASE6_V31A_EVENT_V1,2026.02.02 10:05:01,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,GBPUSD,GBPUSD.V31,ORDER_REQUEST_ACCEPTED_AWAITING_TRANSACTION,BROKER_REPORTED_FILL_AWAITING_CONFIRMATION,Broker returned DONE; fill remains unconfirmed until a matching trade transaction
SOLTRADE_PHASE6_V31A_EVENT_V1,2026.02.02 10:05:01,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,AUDUSD,AUDUSD.V31,ORDER_REQUEST_ACCEPTED_AWAITING_TRANSACTION,BROKER_REPORTED_FILL_AWAITING_CONFIRMATION,Broker returned DONE; fill remains unconfirmed until a matching trade transaction
SOLTRADE_PHASE6_V31A_EVENT_V1,2026.02.02 10:05:01,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,NZDUSD,NZDUSD.V31,ORDER_REQUEST_ACCEPTED_AWAITING_TRANSACTION,BROKER_REPORTED_FILL_AWAITING_CONFIRMATION,Broker returned DONE; fill remains unconfirmed until a matching trade transaction
SOLTRADE_PHASE6_V31A_EVENT_V1,2026.02.02 10:05:02,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,USDCAD,USDCAD.V31,ORDER_REQUEST_ACCEPTED_AWAITING_TRANSACTION,BROKER_REPORTED_FILL_AWAITING_CONFIRMATION,Broker returned DONE; fill remains unconfirmed until a matching trade transaction
SOLTRADE_PHASE6_V31A_EVENT_V1,2026.02.02 10:05:02,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,USDCHF,USDCHF.V31,ORDER_REQUEST_ACCEPTED_AWAITING_TRANSACTION,BROKER_REPORTED_FILL_AWAITING_CONFIRMATION,Broker returned DONE; fill remains unconfirmed until a matching trade transaction
SOLTRADE_PHASE6_V31A_EVENT_V1,2026.02.02 10:05:02,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,USDJPY,USDJPY.V31,ORDER_REQUEST_ACCEPTED_AWAITING_TRANSACTION,BROKER_REPORTED_FILL_AWAITING_CONFIRMATION,Broker returned DONE; fill remains unconfirmed until a matching trade transaction
SOLTRADE_PHASE6_V31A_EVENT_V1,2026.02.02 10:05:02,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,GBPUSD,GBPUSD.V31,ORDER_FILL_CONFIRMED,BROKER_FILL_CONFIRMED,deal=17
SOLTRADE_PHASE6_V31A_EVENT_V1,2026.02.02 10:05:02,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,AUDUSD,AUDUSD.V31,ORDER_FILL_CONFIRMED,BROKER_FILL_CONFIRMED,deal=18
SOLTRADE_PHASE6_V31A_EVENT_V1,2026.02.02 10:05:02,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,NZDUSD,NZDUSD.V31,ORDER_FILL_CONFIRMED,BROKER_FILL_CONFIRMED,deal=19
SOLTRADE_PHASE6_V31A_EVENT_V1,2026.02.02 10:05:02,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,USDCAD,USDCAD.V31,ORDER_FILL_CONFIRMED,BROKER_FILL_CONFIRMED,deal=20
SOLTRADE_PHASE6_V31A_EVENT_V1,2026.02.02 10:05:02,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,USDCHF,USDCHF.V31,ORDER_FILL_CONFIRMED,BROKER_FILL_CONFIRMED,deal=21
SOLTRADE_PHASE6_V31A_EVENT_V1,2026.02.02 10:05:02,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,USDJPY,USDJPY.V31,ORDER_FILL_CONFIRMED,BROKER_FILL_CONFIRMED,deal=22
SOLTRADE_PHASE6_V31A_EVENT_V1,2026.03.02 10:05:00,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,EURUSD,EURUSD.V31,POSITION_CLOSE_ACCEPTED_AWAITING_TRANSACTION,POSITION_CLOSE_BROKER_ACCEPTED,Close request accepted; matching exit deal is not yet confirmed
SOLTRADE_PHASE6_V31A_EVENT_V1,2026.03.02 10:05:00,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,AUDUSD,AUDUSD.V31,POSITION_CLOSE_ACCEPTED_AWAITING_TRANSACTION,POSITION_CLOSE_BROKER_ACCEPTED,Close request accepted; matching exit deal is not yet confirmed
SOLTRADE_PHASE6_V31A_EVENT_V1,2026.03.02 10:05:00,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,NZDUSD,NZDUSD.V31,POSITION_CLOSE_ACCEPTED_AWAITING_TRANSACTION,POSITION_CLOSE_BROKER_ACCEPTED,Close request accepted; matching exit deal is not yet confirmed
SOLTRADE_PHASE6_V31A_EVENT_V1,2026.03.02 10:05:00,V28_2026_PRESEAL_DEVELOPMENT,FIXED_DELAY_200_MS,USDCAD,USDCAD.V31,POSITION_CLOSE_ACCEPTED_AWAITING_TRANSACTION,POSITION_CLOSE_BROKER_ACCEPTED,Close request accepted; matching exit deal is not yet confirmed
