schema,canonical_symbol,research_symbol,date,source_ticks,imported_ticks,reloaded_ticks,exact_tick_mismatches,first_tick,last_tick,copy_error,replace_error,reload_error
SOLTRADE_PHASE6_V31A_DAILY_TICK_PARITY_V1,EURUSD,EURUSD.V31,2025.01.02,131588,131588,131588,0,2025.01.02 00:00:00.594,2025.01.02 23:59:58.481,0,0,0
SOLTRADE_PHASE6_V31A_DAILY_TICK_PARITY_V1,EURUSD,EURUSD.V31,2025.01.03,97045,97045,97045,0,2025.01.03 00:02:59.045,2025.01.03 23:55:00.055,0,0,0
SOLTRADE_PHASE6_V31A_DAILY_TICK_PARITY_V1,EURUSD,EURUSD.V31,2025.01.04,0,0,0,0,NONE,NONE,0,0,0
SOLTRADE_PHASE6_V31A_DAILY_TICK_PARITY_V1,EURUSD,EURUSD.V31,2025.01.05,0,0,0,0,NONE,NONE,0,0,0
SOLTRADE_PHASE6_V31A_DAILY_TICK_PARITY_V1,EURUSD,EURUSD.V31,2025.01.06,151397,151397,151397,0,2025.01.06 00:00:00.120,2025.01.06 23:59:58.155,0,0,0
SOLTRADE_PHASE6_V31A_DAILY_TICK_PARITY_V1,EURUSD,EURUSD.V31,2025.01.07,125307,125307,125307,0,2025.01.07 00:02:59.596,2025.01.07 23:59:58.195,0,0,0
SOLTRADE_PHASE6_V31A_DAILY_TICK_PARITY_V1,EURUSD,EURUSD.V31,2025.01.08,129628,129628,129628,0,2025.01.08 00:02:59.384,2025.01.08 23:59:58.912,0,0,0
SOLTRADE_PHASE6_V31A_DAILY_TICK_PARITY_V1,EURUSD,EURUSD.V31,2025.01.09,93026,93026,93026,0,2025.01.09 00:02:59.742,2025.01.09 23:59:59.054,0,0,0
SOLTRADE_PHASE6_V31A_DAILY_TICK_PARITY_V1,EURUSD,EURUSD.V31,2025.01.10,128333,128333,128333,0,2025.01.10 00:00:00.260,2025.01.10 23:54:59.872,0,0,0
SOLTRADE_PHASE6_V31A_DAILY_TICK_PARITY_V1,EURUSD,EURUSD.V31,2025.01.11,0,0,0,0,NONE,NONE,0,0,0
SOLTRADE_PHASE6_V31A_DAILY_TICK_PARITY_V1,EURUSD,EURUSD.V31,2025.01.12,0,0,0,0,NONE,NONE,0,0,0
SOLTRADE_PHASE6_V31A_DAILY_TICK_PARITY_V1,EURUSD,EURUSD.V31,2025.01.13,131414,131414,131414,0,2025.01.13 00:00:00.452,2025.01.13 23:59:59.944,0,0,0
SOLTRADE_PHASE6_V31A_DAILY_TICK_PARITY_V1,EURUSD,EURUSD.V31,2025.01.14,136062,136062,136062,0,2025.01.14 00:00:00.280,2025.01.14 23:59:59.538,0,0,0
SOLTRADE_PHASE6_V31A_DAILY_TICK_PARITY_V1,EURUSD,EURUSD.V31,2025.01.15,120107,120107,120107,0,2025.01.15 00:00:00.081,2025.01.15 23:59:59.213,0,0,0
