schema,time,open,high,low,close,tick_volume,spread,real_volume
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:00:00,1.0564800000,1.0564800000,1.0564000000,1.0564700000,3,131,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:01:00,1.0563600000,1.0567000000,1.0563600000,1.0567000000,7,131,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:02:00,1.0566800000,1.0566900000,1.0566000000,1.0566200000,14,130,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:03:00,1.0566000000,1.0566300000,1.0565200000,1.0566000000,19,120,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:04:00,1.0566000000,1.0566000000,1.0565200000,1.0565700000,4,82,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:05:00,1.0565700000,1.0566200000,1.0563700000,1.0566200000,13,77,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:06:00,1.0566200000,1.0566200000,1.0566200000,1.0566200000,1,68,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:07:00,1.0566200000,1.0566200000,1.0566100000,1.0566100000,2,60,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:08:00,1.0566100000,1.0566400000,1.0566100000,1.0566400000,2,54,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:09:00,1.0566400000,1.0566400000,1.0566100000,1.0566100000,2,66,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:10:00,1.0566100000,1.0566100000,1.0565800000,1.0565800000,3,61,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:11:00,1.0565800000,1.0566200000,1.0565800000,1.0566100000,12,55,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:12:00,1.0566100000,1.0566600000,1.0566000000,1.0566600000,6,38,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:13:00,1.0566600000,1.0566600000,1.0566600000,1.0566600000,1,42,0
