schema,time,open,high,low,close,tick_volume,spread,real_volume
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:00:00,1.2722000000,1.2722000000,1.2719300000,1.2719300000,2,161,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:01:00,1.2721800000,1.2721800000,1.2721800000,1.2721800000,1,161,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:02:00,1.2721600000,1.2721600000,1.2721600000,1.2721600000,1,161,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:03:00,1.2723000000,1.2723400000,1.2723000000,1.2723400000,4,161,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:04:00,1.2723600000,1.2723800000,1.2723600000,1.2723800000,2,161,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:05:00,1.2723200000,1.2727300000,1.2722000000,1.2727300000,31,114,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:06:00,1.2727400000,1.2728200000,1.2725900000,1.2727700000,15,91,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:07:00,1.2727700000,1.2728600000,1.2725800000,1.2726100000,13,92,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:08:00,1.2726100000,1.2727200000,1.2725800000,1.2726200000,28,84,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:09:00,1.2726200000,1.2727000000,1.2726200000,1.2726700000,13,83,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:10:00,1.2726800000,1.2727400000,1.2726600000,1.2727400000,10,80,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:11:00,1.2727400000,1.2728200000,1.2727400000,1.2727800000,4,83,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:12:00,1.2727800000,1.2728300000,1.2727700000,1.2728300000,9,83,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:13:00,1.2728300000,1.2729200000,1.2727100000,1.2729200000,11,70,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:14:00,1.2729100000,1.2729100000,1.2729100000,1.2729100000,1,70,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:15:00,1.2729500000,1.2730900000,1.2726900000,1.2730000000,44,67,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:16:00,1.2729900000,1.2730300000,1.2728500000,1.2730200000,19,67,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:17:00,1.2730300000,1.2730300000,1.2730000000,1.2730000000,6,67,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:18:00,1.2730000000,1.2730000000,1.2729700000,1.2729800000,7,67,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:19:00,1.2729700000,1.2729900000,1.2729700000,1.2729800000,4,83,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:20:00,1.2729800000,1.2729900000,1.2729800000,1.2729900000,4,80,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:21:00,1.2730000000,1.2730200000,1.2728600000,1.2730000000,10,78,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:22:00,1.2730000000,1.2730000000,1.2729900000,1.2730000000,3,77,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:23:00,1.2730000000,1.2730200000,1.2729900000,1.2730000000,7,77,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:24:00,1.2730000000,1.2730000000,1.2729300000,1.2729300000,7,76,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:25:00,1.2729100000,1.2730200000,1.2728900000,1.2730200000,9,81,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:26:00,1.2730200000,1.2730500000,1.2730100000,1.2730400000,4,70,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:27:00,1.2730400000,1.2730600000,1.2729900000,1.2730600000,16,77,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:28:00,1.2730300000,1.2730300000,1.2729800000,1.2729800000,3,80,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:29:00,1.2729700000,1.2730200000,1.2729500000,1.2730200000,15,67,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:30:00,1.2729700000,1.2730500000,1.2727700000,1.2730300000,49,67,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:31:00,1.2730100000,1.2732900000,1.2729100000,1.2732400000,59,67,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:32:00,1.2732200000,1.2732800000,1.2731500000,1.2731900000,25,67,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:33:00,1.2732300000,1.2733100000,1.2731500000,1.2732400000,30,67,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:34:00,1.2732400000,1.2732600000,1.2731700000,1.2732200000,25,67,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:35:00,1.2731800000,1.2733200000,1.2731800000,1.2732900000,33,67,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:36:00,1.2732300000,1.2733300000,1.2731400000,1.2731800000,120,67,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:37:00,1.2731300000,1.2732400000,1.2730800000,1.2732200000,26,67,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:38:00,1.2732200000,1.2732300000,1.2730800000,1.2731700000,22,67,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:39:00,1.2731100000,1.2732200000,1.2730800000,1.2731900000,56,67,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:40:00,1.2732100000,1.2732400000,1.2731000000,1.2731700000,61,67,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:41:00,1.2731800000,1.2732300000,1.2730900000,1.2731800000,114,67,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:42:00,1.2731800000,1.2732200000,1.2731200000,1.2731800000,77,67,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:43:00,1.2731700000,1.2732100000,1.2729700000,1.2731000000,82,67,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:44:00,1.2731100000,1.2731100000,1.2730700000,1.2730800000,13,67,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:45:00,1.2730800000,1.2731100000,1.2730500000,1.2730700000,37,67,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:46:00,1.2730600000,1.2731300000,1.2729800000,1.2731200000,39,67,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:47:00,1.2731200000,1.2731400000,1.2729600000,1.2730500000,65,67,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:48:00,1.2729800000,1.2730800000,1.2729700000,1.2730600000,63,67,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:49:00,1.2730500000,1.2730700000,1.2729800000,1.2730300000,78,67,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:50:00,1.2730400000,1.2730800000,1.2728000000,1.2729300000,168,67,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:51:00,1.2728800000,1.2730300000,1.2728700000,1.2730200000,120,67,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:52:00,1.2730200000,1.2730400000,1.2728700000,1.2729400000,134,67,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:53:00,1.2729000000,1.2729800000,1.2727600000,1.2728800000,230,67,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:54:00,1.2728600000,1.2729700000,1.2727600000,1.2728300000,162,67,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:55:00,1.2728300000,1.2729300000,1.2727100000,1.2727500000,78,67,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:56:00,1.2727400000,1.2728900000,1.2726500000,1.2726500000,78,67,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:57:00,1.2727900000,1.2729500000,1.2726400000,1.2728400000,215,67,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:58:00,1.2728500000,1.2729400000,1.2726800000,1.2728200000,273,67,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:59:00,1.2728300000,1.2729200000,1.2726800000,1.2728600000,185,67,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 01:00:00,1.2728600000,1.2729800000,1.2724800000,1.2727100000,181,12,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 01:01:00,1.2727100000,1.2729100000,1.2718100000,1.2721300000,204,11,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 01:02:00,1.2721400000,1.2721900000,1.2715800000,1.2716500000,116,16,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 01:03:00,1.2716400000,1.2717100000,1.2711300000,1.2712000000,93,11,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 01:04:00,1.2712400000,1.2713000000,1.2711400000,1.2712300000,61,11,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 01:05:00,1.2712300000,1.2714400000,1.2711200000,1.2712700000,58,11,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 01:06:00,1.2712500000,1.2712500000,1.2706900000,1.2707800000,73,11,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 01:07:00,1.2707800000,1.2707800000,1.2705000000,1.2706900000,61,11,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 01:08:00,1.2706900000,1.2707900000,1.2706500000,1.2707500000,31,12,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 01:09:00,1.2707300000,1.2709900000,1.2706300000,1.2708400000,60,12,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 01:10:00,1.2708400000,1.2709100000,1.2706800000,1.2706900000,62,11,0
