schema,time,open,high,low,close,tick_volume,spread,real_volume
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:02:00,0.5908100000,0.5908600000,0.5908100000,0.5908600000,2,74,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:03:00,0.5901700000,0.5903500000,0.5901700000,0.5901700000,7,142,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:04:00,0.5907200000,0.5907200000,0.5907200000,0.5907200000,1,93,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:05:00,0.5908600000,0.5911700000,0.5908600000,0.5910000000,15,43,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:06:00,0.5910000000,0.5911100000,0.5910000000,0.5910500000,8,53,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:07:00,0.5910900000,0.5911100000,0.5910500000,0.5910600000,8,62,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:08:00,0.5910600000,0.5911400000,0.5910600000,0.5911400000,10,53,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:09:00,0.5911300000,0.5911800000,0.5911300000,0.5911800000,6,41,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:10:00,0.5911700000,0.5911800000,0.5911400000,0.5911400000,4,42,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:11:00,0.5911400000,0.5911600000,0.5910600000,0.5911500000,14,49,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:12:00,0.5911500000,0.5911700000,0.5909500000,0.5911100000,14,50,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:13:00,0.5911100000,0.5911500000,0.5910600000,0.5910600000,3,52,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:14:00,0.5910800000,0.5912000000,0.5910600000,0.5911700000,9,45,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:15:00,0.5911800000,0.5912700000,0.5911100000,0.5912500000,19,45,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:16:00,0.5912100000,0.5912600000,0.5912100000,0.5912600000,5,56,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:17:00,0.5912300000,0.5912400000,0.5912300000,0.5912400000,2,56,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:18:00,0.5912400000,0.5912600000,0.5912300000,0.5912600000,7,56,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:19:00,0.5912300000,0.5912700000,0.5912300000,0.5912400000,4,54,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:20:00,0.5912400000,0.5912600000,0.5912200000,0.5912200000,6,52,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:21:00,0.5912200000,0.5912400000,0.5912000000,0.5912200000,5,54,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:22:00,0.5912200000,0.5912200000,0.5912200000,0.5912200000,1,54,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:23:00,0.5912200000,0.5912200000,0.5912000000,0.5912200000,3,60,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:24:00,0.5912200000,0.5912200000,0.5911900000,0.5912100000,5,55,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:25:00,0.5912000000,0.5912500000,0.5912000000,0.5912300000,7,58,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:26:00,0.5912600000,0.5912600000,0.5912200000,0.5912200000,2,60,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:27:00,0.5911100000,0.5912300000,0.5911100000,0.5912300000,8,59,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:28:00,0.5912100000,0.5912300000,0.5911200000,0.5912200000,6,62,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:29:00,0.5912300000,0.5912600000,0.5911500000,0.5911500000,6,58,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:30:00,0.5912000000,0.5912600000,0.5912000000,0.5912200000,11,50,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:31:00,0.5912200000,0.5912800000,0.5912100000,0.5912800000,7,52,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:32:00,0.5912800000,0.5913000000,0.5912400000,0.5912700000,12,53,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:33:00,0.5912900000,0.5913000000,0.5912700000,0.5912900000,6,44,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:34:00,0.5913000000,0.5913100000,0.5912600000,0.5913000000,13,43,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:35:00,0.5913000000,0.5913100000,0.5912500000,0.5912900000,9,45,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:36:00,0.5912900000,0.5915100000,0.5911600000,0.5914300000,33,45,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:37:00,0.5914400000,0.5914500000,0.5911800000,0.5911800000,22,48,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:38:00,0.5911800000,0.5912400000,0.5911500000,0.5911500000,16,75,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:39:00,0.5911700000,0.5912000000,0.5911100000,0.5911700000,18,73,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:40:00,0.5911200000,0.5911600000,0.5911100000,0.5911200000,18,71,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:41:00,0.5911200000,0.5911700000,0.5911200000,0.5911300000,22,70,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:42:00,0.5911300000,0.5911700000,0.5910500000,0.5910900000,29,69,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:43:00,0.5910900000,0.5911100000,0.5910500000,0.5910900000,25,72,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:44:00,0.5910900000,0.5911200000,0.5910600000,0.5911100000,22,67,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:45:00,0.5911100000,0.5911400000,0.5910700000,0.5911000000,25,68,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:46:00,0.5911000000,0.5911700000,0.5910800000,0.5911700000,3,79,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:47:00,0.5911700000,0.5911700000,0.5911700000,0.5911700000,1,79,0
