schema,time,open,high,low,close,tick_volume,spread,real_volume
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:01:00,1.3988700000,1.3988700000,1.3988400000,1.3988700000,5,58,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:03:00,1.3986300000,1.3986300000,1.3986300000,1.3986300000,1,80,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:04:00,1.3985800000,1.3985800000,1.3985800000,1.3985800000,1,89,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:05:00,1.3985800000,1.3992100000,1.3985800000,1.3991800000,25,26,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:06:00,1.3992000000,1.3992000000,1.3990800000,1.3991000000,4,37,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:07:00,1.3991000000,1.3992100000,1.3990800000,1.3991600000,9,40,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:08:00,1.3991800000,1.3991800000,1.3991500000,1.3991500000,4,40,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:09:00,1.3991700000,1.3992200000,1.3990900000,1.3992100000,12,36,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:10:00,1.3992200000,1.3992400000,1.3992000000,1.3992200000,16,31,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:11:00,1.3992200000,1.3992600000,1.3990800000,1.3991300000,19,29,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:12:00,1.3991300000,1.3992300000,1.3988400000,1.3991700000,21,29,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:13:00,1.3992200000,1.3992400000,1.3991500000,1.3992000000,18,30,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:14:00,1.3992000000,1.3992300000,1.3991800000,1.3992200000,6,28,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:15:00,1.3992100000,1.3992100000,1.3991300000,1.3992000000,7,33,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:16:00,1.3992000000,1.3992200000,1.3991500000,1.3992100000,14,31,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:17:00,1.3991400000,1.3992100000,1.3991400000,1.3992100000,8,34,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:18:00,1.3992100000,1.3992700000,1.3992000000,1.3992100000,20,29,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:19:00,1.3992200000,1.3992800000,1.3991100000,1.3992200000,19,29,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:20:00,1.3992200000,1.3992700000,1.3989900000,1.3992600000,17,24,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:21:00,1.3992600000,1.3993200000,1.3989400000,1.3992100000,21,21,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:22:00,1.3992100000,1.3992600000,1.3991900000,1.3992500000,13,36,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:23:00,1.3992600000,1.3993000000,1.3990200000,1.3993000000,22,34,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:24:00,1.3992300000,1.3992700000,1.3991700000,1.3992500000,7,34,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:25:00,1.3992500000,1.3992700000,1.3990800000,1.3992700000,20,35,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:26:00,1.3992000000,1.3993300000,1.3991700000,1.3992400000,29,31,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:27:00,1.3992500000,1.3992900000,1.3992000000,1.3992400000,26,30,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:28:00,1.3991700000,1.3993100000,1.3989900000,1.3992500000,19,33,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:29:00,1.3991900000,1.3992800000,1.3990700000,1.3992500000,23,23,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:30:00,1.3992500000,1.3993300000,1.3992500000,1.3993300000,10,13,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:31:00,1.3993400000,1.3993400000,1.3992000000,1.3992100000,8,16,0
