schema,time,open,high,low,close,tick_volume,spread,real_volume
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:00:00,0.8794500000,0.8794500000,0.8794500000,0.8794500000,1,236,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:01:00,0.8799200000,0.8801100000,0.8799200000,0.8801100000,2,236,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:02:00,0.8801000000,0.8801000000,0.8792200000,0.8792200000,3,236,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:03:00,0.8794600000,0.8794600000,0.8793300000,0.8793300000,2,236,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:04:00,0.8794600000,0.8794600000,0.8793300000,0.8793300000,2,236,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:07:00,0.8798300000,0.8798300000,0.8796700000,0.8796700000,2,203,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:08:00,0.8800800000,0.8800800000,0.8800700000,0.8800700000,2,161,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:09:00,0.8800700000,0.8800700000,0.8800600000,0.8800600000,2,161,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:10:00,0.8800500000,0.8800500000,0.8800500000,0.8800500000,1,162,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:11:00,0.8800500000,0.8801200000,0.8800200000,0.8800500000,5,150,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:13:00,0.8800400000,0.8800500000,0.8800400000,0.8800500000,2,162,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:14:00,0.8800500000,0.8800500000,0.8800500000,0.8800500000,1,161,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:15:00,0.8800400000,0.8800400000,0.8800300000,0.8800400000,3,159,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:16:00,0.8800200000,0.8802500000,0.8800200000,0.8801700000,6,136,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:17:00,0.8801500000,0.8801900000,0.8801500000,0.8801900000,5,128,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:18:00,0.8802000000,0.8802300000,0.8802000000,0.8802300000,8,121,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:19:00,0.8802300000,0.8802400000,0.8802300000,0.8802400000,2,118,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:20:00,0.8802500000,0.8802500000,0.8802400000,0.8802400000,2,117,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:22:00,0.8802300000,0.8802300000,0.8802300000,0.8802300000,1,118,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:23:00,0.8802100000,0.8802100000,0.8802100000,0.8802100000,1,121,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:24:00,0.8802200000,0.8802200000,0.8801500000,0.8801500000,2,121,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:25:00,0.8801500000,0.8801500000,0.8801500000,0.8801500000,1,131,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:26:00,0.8801600000,0.8801600000,0.8801500000,0.8801500000,4,131,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:28:00,0.8801500000,0.8801500000,0.8801500000,0.8801500000,1,132,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:29:00,0.8801500000,0.8801500000,0.8801500000,0.8801500000,1,133,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:30:00,0.8801800000,0.8802200000,0.8801600000,0.8802200000,13,126,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:31:00,0.8802200000,0.8802800000,0.8802200000,0.8802800000,9,118,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:32:00,0.8803000000,0.8803000000,0.8802800000,0.8802800000,8,116,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:33:00,0.8802800000,0.8802800000,0.8801200000,0.8801600000,16,116,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:34:00,0.8801600000,0.8802400000,0.8801600000,0.8802400000,12,116,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:35:00,0.8802400000,0.8802500000,0.8802400000,0.8802500000,2,116,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:36:00,0.8802500000,0.8802700000,0.8802200000,0.8802500000,15,116,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:37:00,0.8802600000,0.8802700000,0.8802600000,0.8802700000,2,116,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:38:00,0.8802800000,0.8802800000,0.8802800000,0.8802800000,1,117,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:39:00,0.8802800000,0.8802800000,0.8802600000,0.8802800000,6,116,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:40:00,0.8802700000,0.8802900000,0.8802700000,0.8802900000,3,116,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:41:00,0.8802900000,0.8802900000,0.8802500000,0.8802800000,6,116,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:42:00,0.8802900000,0.8802900000,0.8802800000,0.8802800000,6,116,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:43:00,0.8802900000,0.8802900000,0.8802700000,0.8802800000,6,116,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:44:00,0.8802800000,0.8802900000,0.8802800000,0.8802900000,4,116,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:46:00,0.8802800000,0.8802900000,0.8802800000,0.8802900000,4,116,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:47:00,0.8802800000,0.8802800000,0.8802500000,0.8802600000,7,116,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:48:00,0.8802600000,0.8809400000,0.8802500000,0.8805900000,31,116,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:49:00,0.8805900000,0.8807700000,0.8803600000,0.8803600000,46,116,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:50:00,0.8803500000,0.8807100000,0.8803400000,0.8805200000,19,116,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:51:00,0.8805400000,0.8805400000,0.8805100000,0.8805200000,5,117,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:52:00,0.8805400000,0.8805400000,0.8805200000,0.8805200000,7,116,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:53:00,0.8805100000,0.8805400000,0.8804100000,0.8804500000,64,116,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:54:00,0.8804600000,0.8804700000,0.8804500000,0.8804600000,15,116,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:55:00,0.8804500000,0.8804700000,0.8804500000,0.8804700000,22,116,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:56:00,0.8804600000,0.8804800000,0.8804600000,0.8804700000,16,116,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:57:00,0.8804700000,0.8805600000,0.8804400000,0.8805200000,39,116,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:58:00,0.8804900000,0.8805300000,0.8804600000,0.8805200000,51,116,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:59:00,0.8805200000,0.8805300000,0.8795100000,0.8800300000,61,116,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 01:00:00,0.8801500000,0.8808200000,0.8796800000,0.8808100000,324,49,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 01:01:00,0.8808200000,0.8811500000,0.8800600000,0.8810700000,125,43,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 01:02:00,0.8810500000,0.8813200000,0.8805300000,0.8812900000,59,15,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 01:03:00,0.8813700000,0.8818600000,0.8813700000,0.8817000000,65,15,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 01:04:00,0.8816800000,0.8818400000,0.8816600000,0.8817000000,48,15,0
