schema,time,open,high,low,close,tick_volume,spread,real_volume
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:00:00,149.5710000000,149.5710000000,149.5680000000,149.5680000000,2,187,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:01:00,149.5720000000,149.5720000000,149.5720000000,149.5720000000,1,187,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:02:00,149.5680000000,149.5680000000,149.5680000000,149.5680000000,1,187,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:03:00,149.6000000000,149.6000000000,149.5070000000,149.5710000000,8,137,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:04:00,149.5730000000,149.6100000000,149.5710000000,149.6040000000,8,187,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:05:00,149.6010000000,149.6070000000,149.5940000000,149.6000000000,23,187,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:06:00,149.6000000000,149.6000000000,149.5880000000,149.5880000000,10,184,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:07:00,149.5880000000,149.5880000000,149.5880000000,149.5880000000,1,187,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:08:00,149.5880000000,149.5880000000,149.5840000000,149.5840000000,3,187,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:09:00,149.5860000000,149.5960000000,149.5860000000,149.5960000000,5,187,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:10:00,149.5960000000,149.5980000000,149.5960000000,149.5980000000,2,187,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:11:00,149.5910000000,149.5980000000,149.5910000000,149.5960000000,3,177,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:12:00,149.5920000000,149.5960000000,149.5900000000,149.5940000000,6,187,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:14:00,149.5900000000,149.5920000000,149.5900000000,149.5920000000,2,187,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:15:00,149.5960000000,149.6200000000,149.5940000000,149.6160000000,21,187,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:16:00,149.6170000000,149.6240000000,149.6160000000,149.6240000000,13,187,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:17:00,149.6230000000,149.6250000000,149.6200000000,149.6250000000,16,187,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:18:00,149.6260000000,149.6320000000,149.6240000000,149.6290000000,15,187,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:19:00,149.6300000000,149.6340000000,149.6300000000,149.6330000000,6,187,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:20:00,149.6340000000,149.6360000000,149.6330000000,149.6360000000,4,187,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:21:00,149.6340000000,149.6360000000,149.6340000000,149.6360000000,2,187,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:22:00,149.6360000000,149.6380000000,149.6320000000,149.6380000000,6,187,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:23:00,149.6410000000,149.6420000000,149.6300000000,149.6420000000,20,187,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:24:00,149.6380000000,149.6600000000,149.6320000000,149.6600000000,27,171,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:25:00,149.6620000000,149.6670000000,149.6600000000,149.6650000000,14,164,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:26:00,149.6670000000,149.6720000000,149.6670000000,149.6720000000,5,159,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:27:00,149.6730000000,149.6740000000,149.6730000000,149.6740000000,2,157,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:28:00,149.6750000000,149.6750000000,149.6750000000,149.6750000000,1,156,0
SOLTRADE_PHASE6_V31A_WARMUP_RATE_V1,2024.12.02 00:29:00,149.6240000000,149.6320000000,149.6180000000,149.6320000000,7,187,0
