gap_number,previous_tick,next_tick,duration_milliseconds,duration_seconds,previous_broker_weekday_time,next_broker_weekday_time,previous_symbol_sessions,next_symbol_sessions,terminal_regarded_session_open,open_segment_seconds,bid_before,ask_before,bid_after,ask_after,monthly_tkc_files,terminal_tkc_sha256,tester_tkc_sha256,m1_bars_present,m1_bars_inside,m1_first_inside,m1_final_inside,m1_copy_error,classification,supporting_evidence,independent_closure_evidence,excluded_from_15_minute_failure,qualification_effect,tester_and_synchronization_messages,history_identity_sha256
1,2024.01.05 21:58:59.797,2024.01.07 22:10:27.919,173488122,173488,FRIDAY 2024.01.05 21:58:59.797,SUNDAY 2024.01.07 22:10:27.919,FRIDAY:00:00:00-21:00:00,SUNDAY:21:10:00-24:00:00,YES,3627,1.0940900000,1.0943700000,1.0942900000,1.0947100000,202401.tkc,ff73b035cf8844de9e3dc9a17fb9908a3b456cbcc297592fc2f1e6903200a473,653a58d2c1eb98870a382e383b81519fbce4f7cb03c87e55d71d480f063c669f,YES,1,2024.01.07 22:10:00,2024.01.07 22:10:00,0,UNRESOLVED,MT5_SYMBOL_SESSION_REPORTS_OPEN;BROKER_CONFIRMATION_REQUIRED,NONE; exact easyMarkets confirmation requested and pending,NO,DISQUALIFIES_INTERVAL,"Tester controller: EURUSD history check started; Tester controller: EURUSD history data begins from 2022.05.11 00:00; Tester controller: preliminary history-tick download started and completed; Tester controller: EURUSD ticks data begins from 2024.01.01 00:00; Tester agent: EURUSD,H1 (easyMarkets-Live) generating based on real ticks; Tester agent: EURUSD real ticks begin from 2024.01.02 00:00:00; Tester agent: EURUSD,M1 364234 bars from 2024.01.02 00:00 through 2024.12.23 23:59 added; Tester agent: environment synchronized in 0:00:00.033",0360f7831290a6fc7bee78c8653c65056bfccbb58dca9f3d2bea8d83c64414b6
2,2024.01.12 21:59:58.975,2024.01.14 22:10:00.046,173401071,173401,FRIDAY 2024.01.12 21:59:58.975,SUNDAY 2024.01.14 22:10:00.046,FRIDAY:00:00:00-21:00:00,SUNDAY:21:10:00-24:00:00,YES,3600,1.0948600000,1.0951100000,1.0944400000,1.0947800000,202401.tkc,ff73b035cf8844de9e3dc9a17fb9908a3b456cbcc297592fc2f1e6903200a473,653a58d2c1eb98870a382e383b81519fbce4f7cb03c87e55d71d480f063c669f,YES,1,2024.01.14 22:10:00,2024.01.14 22:10:00,0,UNRESOLVED,MT5_SYMBOL_SESSION_REPORTS_OPEN;BROKER_CONFIRMATION_REQUIRED,NONE; exact easyMarkets confirmation requested and pending,NO,DISQUALIFIES_INTERVAL,"Tester controller: EURUSD history check started; Tester controller: EURUSD history data begins from 2022.05.11 00:00; Tester controller: preliminary history-tick download started and completed; Tester controller: EURUSD ticks data begins from 2024.01.01 00:00; Tester agent: EURUSD,H1 (easyMarkets-Live) generating based on real ticks; Tester agent: EURUSD real ticks begin from 2024.01.02 00:00:00; Tester agent: EURUSD,M1 364234 bars from 2024.01.02 00:00 through 2024.12.23 23:59 added; Tester agent: environment synchronized in 0:00:00.033",0360f7831290a6fc7bee78c8653c65056bfccbb58dca9f3d2bea8d83c64414b6
3,2024.01.19 21:59:56.091,2024.01.21 22:10:34.698,173438607,173438,FRIDAY 2024.01.19 21:59:56.091,SUNDAY 2024.01.21 22:10:34.698,FRIDAY:00:00:00-21:00:00,SUNDAY:21:10:00-24:00:00,YES,3634,1.0896900000,1.0898600000,1.0890500000,1.0893800000,202401.tkc,ff73b035cf8844de9e3dc9a17fb9908a3b456cbcc297592fc2f1e6903200a473,653a58d2c1eb98870a382e383b81519fbce4f7cb03c87e55d71d480f063c669f,YES,1,2024.01.21 22:10:00,2024.01.21 22:10:00,0,UNRESOLVED,MT5_SYMBOL_SESSION_REPORTS_OPEN;BROKER_CONFIRMATION_REQUIRED,NONE; exact easyMarkets confirmation requested and pending,NO,DISQUALIFIES_INTERVAL,"Tester controller: EURUSD history check started; Tester controller: EURUSD history data begins from 2022.05.11 00:00; Tester controller: preliminary history-tick download started and completed; Tester controller: EURUSD ticks data begins from 2024.01.01 00:00; Tester agent: EURUSD,H1 (easyMarkets-Live) generating based on real ticks; Tester agent: EURUSD real ticks begin from 2024.01.02 00:00:00; Tester agent: EURUSD,M1 364234 bars from 2024.01.02 00:00 through 2024.12.23 23:59 added; Tester agent: environment synchronized in 0:00:00.033",0360f7831290a6fc7bee78c8653c65056bfccbb58dca9f3d2bea8d83c64414b6
4,2024.01.26 21:59:58.136,2024.01.28 22:10:00.050,173401914,173401,FRIDAY 2024.01.26 21:59:58.136,SUNDAY 2024.01.28 22:10:00.050,FRIDAY:00:00:00-21:00:00,SUNDAY:21:10:00-24:00:00,YES,3600,1.0850600000,1.0855300000,1.0841500000,1.0846600000,202401.tkc,ff73b035cf8844de9e3dc9a17fb9908a3b456cbcc297592fc2f1e6903200a473,653a58d2c1eb98870a382e383b81519fbce4f7cb03c87e55d71d480f063c669f,YES,1,2024.01.28 22:10:00,2024.01.28 22:10:00,0,UNRESOLVED,MT5_SYMBOL_SESSION_REPORTS_OPEN;BROKER_CONFIRMATION_REQUIRED,NONE; exact easyMarkets confirmation requested and pending,NO,DISQUALIFIES_INTERVAL,"Tester controller: EURUSD history check started; Tester controller: EURUSD history data begins from 2022.05.11 00:00; Tester controller: preliminary history-tick download started and completed; Tester controller: EURUSD ticks data begins from 2024.01.01 00:00; Tester agent: EURUSD,H1 (easyMarkets-Live) generating based on real ticks; Tester agent: EURUSD real ticks begin from 2024.01.02 00:00:00; Tester agent: EURUSD,M1 364234 bars from 2024.01.02 00:00 through 2024.12.23 23:59 added; Tester agent: environment synchronized in 0:00:00.033",0360f7831290a6fc7bee78c8653c65056bfccbb58dca9f3d2bea8d83c64414b6
5,2024.02.02 21:59:58.737,2024.02.04 22:10:00.483,173401746,173401,FRIDAY 2024.02.02 21:59:58.737,SUNDAY 2024.02.04 22:10:00.483,FRIDAY:00:00:00-21:00:00,SUNDAY:21:10:00-24:00:00,YES,3600,1.0785600000,1.0789800000,1.0781700000,1.0786500000,202402.tkc,ea417849bbb06ae1c7d0c795be9f3a77d9c7abf6016944d87c0e4c644dd9854f,3a0cea7817b3ceb921de010b536e338b6516c40956558e133cf800c4de3d1f3d,YES,1,2024.02.04 22:10:00,2024.02.04 22:10:00,0,UNRESOLVED,MT5_SYMBOL_SESSION_REPORTS_OPEN;BROKER_CONFIRMATION_REQUIRED,NONE; exact easyMarkets confirmation requested and pending,NO,DISQUALIFIES_INTERVAL,"Tester controller: EURUSD history check started; Tester controller: EURUSD history data begins from 2022.05.11 00:00; Tester controller: preliminary history-tick download started and completed; Tester controller: EURUSD ticks data begins from 2024.01.01 00:00; Tester agent: EURUSD,H1 (easyMarkets-Live) generating based on real ticks; Tester agent: EURUSD real ticks begin from 2024.01.02 00:00:00; Tester agent: EURUSD,M1 364234 bars from 2024.01.02 00:00 through 2024.12.23 23:59 added; Tester agent: environment synchronized in 0:00:00.033",0360f7831290a6fc7bee78c8653c65056bfccbb58dca9f3d2bea8d83c64414b6
6,2024.02.09 21:59:58.610,2024.02.11 22:17:50.652,173872042,173872,FRIDAY 2024.02.09 21:59:58.610,SUNDAY 2024.02.11 22:17:50.652,FRIDAY:00:00:00-21:00:00,SUNDAY:21:10:00-24:00:00,YES,4070,1.0784300000,1.0786800000,1.0781400000,1.0786000000,202402.tkc,ea417849bbb06ae1c7d0c795be9f3a77d9c7abf6016944d87c0e4c644dd9854f,3a0cea7817b3ceb921de010b536e338b6516c40956558e133cf800c4de3d1f3d,YES,1,2024.02.11 22:17:00,2024.02.11 22:17:00,0,UNRESOLVED,MT5_SYMBOL_SESSION_REPORTS_OPEN;BROKER_CONFIRMATION_REQUIRED,NONE; exact easyMarkets confirmation requested and pending,NO,DISQUALIFIES_INTERVAL,"Tester controller: EURUSD history check started; Tester controller: EURUSD history data begins from 2022.05.11 00:00; Tester controller: preliminary history-tick download started and completed; Tester controller: EURUSD ticks data begins from 2024.01.01 00:00; Tester agent: EURUSD,H1 (easyMarkets-Live) generating based on real ticks; Tester agent: EURUSD real ticks begin from 2024.01.02 00:00:00; Tester agent: EURUSD,M1 364234 bars from 2024.01.02 00:00 through 2024.12.23 23:59 added; Tester agent: environment synchronized in 0:00:00.033",0360f7831290a6fc7bee78c8653c65056bfccbb58dca9f3d2bea8d83c64414b6
7,2024.02.16 21:59:58.174,2024.02.18 22:10:08.506,173410332,173410,FRIDAY 2024.02.16 21:59:58.174,SUNDAY 2024.02.18 22:10:08.506,FRIDAY:00:00:00-21:00:00,SUNDAY:21:10:00-24:00:00,YES,3608,1.0776000000,1.0777900000,1.0774100000,1.0777200000,202402.tkc,ea417849bbb06ae1c7d0c795be9f3a77d9c7abf6016944d87c0e4c644dd9854f,3a0cea7817b3ceb921de010b536e338b6516c40956558e133cf800c4de3d1f3d,YES,1,2024.02.18 22:10:00,2024.02.18 22:10:00,0,UNRESOLVED,MT5_SYMBOL_SESSION_REPORTS_OPEN;BROKER_CONFIRMATION_REQUIRED,NONE; exact easyMarkets confirmation requested and pending,NO,DISQUALIFIES_INTERVAL,"Tester controller: EURUSD history check started; Tester controller: EURUSD history data begins from 2022.05.11 00:00; Tester controller: preliminary history-tick download started and completed; Tester controller: EURUSD ticks data begins from 2024.01.01 00:00; Tester agent: EURUSD,H1 (easyMarkets-Live) generating based on real ticks; Tester agent: EURUSD real ticks begin from 2024.01.02 00:00:00; Tester agent: EURUSD,M1 364234 bars from 2024.01.02 00:00 through 2024.12.23 23:59 added; Tester agent: environment synchronized in 0:00:00.033",0360f7831290a6fc7bee78c8653c65056bfccbb58dca9f3d2bea8d83c64414b6
8,2024.02.23 21:59:49.023,2024.02.25 22:10:37.660,173448637,173448,FRIDAY 2024.02.23 21:59:49.023,SUNDAY 2024.02.25 22:10:37.660,FRIDAY:00:00:00-21:00:00,SUNDAY:21:10:00-24:00:00,YES,3637,1.0819100000,1.0823800000,1.0823200000,1.0825900000,202402.tkc,ea417849bbb06ae1c7d0c795be9f3a77d9c7abf6016944d87c0e4c644dd9854f,3a0cea7817b3ceb921de010b536e338b6516c40956558e133cf800c4de3d1f3d,YES,1,2024.02.25 22:10:00,2024.02.25 22:10:00,0,UNRESOLVED,MT5_SYMBOL_SESSION_REPORTS_OPEN;BROKER_CONFIRMATION_REQUIRED,NONE; exact easyMarkets confirmation requested and pending,NO,DISQUALIFIES_INTERVAL,"Tester controller: EURUSD history check started; Tester controller: EURUSD history data begins from 2022.05.11 00:00; Tester controller: preliminary history-tick download started and completed; Tester controller: EURUSD ticks data begins from 2024.01.01 00:00; Tester agent: EURUSD,H1 (easyMarkets-Live) generating based on real ticks; Tester agent: EURUSD real ticks begin from 2024.01.02 00:00:00; Tester agent: EURUSD,M1 364234 bars from 2024.01.02 00:00 through 2024.12.23 23:59 added; Tester agent: environment synchronized in 0:00:00.033",0360f7831290a6fc7bee78c8653c65056bfccbb58dca9f3d2bea8d83c64414b6
9,2024.03.01 21:59:57.096,2024.03.03 22:10:00.037,173402941,173402,FRIDAY 2024.03.01 21:59:57.096,SUNDAY 2024.03.03 22:10:00.037,FRIDAY:00:00:00-21:00:00,SUNDAY:21:10:00-24:00:00,YES,3600,1.0836500000,1.0841300000,1.0838100000,1.0840800000,202403.tkc,49e4ee1eaa78f3cc7b1d91fc113a398f54cdb06c2d665b55d9fc0ff0bb910cc5,f7ee715e93b8c712d83f3335e38d4bb887d6f7817fb41e20c52bfc38fdf683b3,YES,1,2024.03.03 22:10:00,2024.03.03 22:10:00,0,UNRESOLVED,MT5_SYMBOL_SESSION_REPORTS_OPEN;BROKER_CONFIRMATION_REQUIRED,NONE; exact easyMarkets confirmation requested and pending,NO,DISQUALIFIES_INTERVAL,"Tester controller: EURUSD history check started; Tester controller: EURUSD history data begins from 2022.05.11 00:00; Tester controller: preliminary history-tick download started and completed; Tester controller: EURUSD ticks data begins from 2024.01.01 00:00; Tester agent: EURUSD,H1 (easyMarkets-Live) generating based on real ticks; Tester agent: EURUSD real ticks begin from 2024.01.02 00:00:00; Tester agent: EURUSD,M1 364234 bars from 2024.01.02 00:00 through 2024.12.23 23:59 added; Tester agent: environment synchronized in 0:00:00.033",0360f7831290a6fc7bee78c8653c65056bfccbb58dca9f3d2bea8d83c64414b6
10,2024.03.08 21:59:57.813,2024.03.10 21:10:12.474,169814661,169814,FRIDAY 2024.03.08 21:59:57.813,SUNDAY 2024.03.10 21:10:12.474,FRIDAY:00:00:00-21:00:00,SUNDAY:21:10:00-24:00:00,NO,12,1.0937100000,1.0940200000,1.0938600000,1.0942600000,202403.tkc,49e4ee1eaa78f3cc7b1d91fc113a398f54cdb06c2d665b55d9fc0ff0bb910cc5,f7ee715e93b8c712d83f3335e38d4bb887d6f7817fb41e20c52bfc38fdf683b3,YES,1,2024.03.10 21:10:00,2024.03.10 21:10:00,0,SCHEDULED_WEEKEND,MT5_SYMBOL_SESSION_REPORTS_NO_OPEN_SEGMENT;WEEKEND_CALENDAR,MT5 broker SymbolInfoSessionTrade schedule captured during inert probe plus weekend calendar,YES,PERMITTED_CLOSURE_EXCLUSION,"Tester controller: EURUSD history check started; Tester controller: EURUSD history data begins from 2022.05.11 00:00; Tester controller: preliminary history-tick download started and completed; Tester controller: EURUSD ticks data begins from 2024.01.01 00:00; Tester agent: EURUSD,H1 (easyMarkets-Live) generating based on real ticks; Tester agent: EURUSD real ticks begin from 2024.01.02 00:00:00; Tester agent: EURUSD,M1 364234 bars from 2024.01.02 00:00 through 2024.12.23 23:59 added; Tester agent: environment synchronized in 0:00:00.033",0360f7831290a6fc7bee78c8653c65056bfccbb58dca9f3d2bea8d83c64414b6
