deal_ticket,order_ticket,position_identifier,time,time_msc,entry,type,reason,volume,price,profit,commission,swap,fee,magic,canonical_symbol,resolved_symbol,comment,in_research_window
2,2,2,2026.01.05 10:05:00,1767607500253,0,0,3,0.03000000,1.1687500000,0.00000000,0.00000000,0.00000000,0.00000000,2808202601,EURUSD,EURUSD,SolTrade TBV1,YES
3,3,3,2026.01.05 10:05:00,1767607500453,0,0,3,0.02000000,1.3423900000,0.00000000,0.00000000,0.00000000,0.00000000,2808202602,GBPUSD,GBPUSD,SolTrade TBV1,YES
4,4,4,2026.01.05 10:05:00,1767607500653,0,0,3,0.04000000,0.6672800000,0.00000000,0.00000000,0.00000000,0.00000000,2808202603,AUDUSD,AUDUSD,SolTrade TBV1,YES
5,5,5,2026.01.05 10:05:00,1767607500853,0,0,3,0.03000000,0.5747800000,0.00000000,0.00000000,0.00000000,0.00000000,2808202604,NZDUSD,NZDUSD,SolTrade TBV1,YES
6,6,6,2026.01.05 10:05:01,1767607501053,0,1,3,0.04000000,1.3775600000,0.00000000,0.00000000,0.00000000,0.00000000,2808202605,USDCAD,USDCAD,SolTrade TBV1,YES
7,7,7,2026.01.05 10:05:01,1767607501253,0,1,3,0.03000000,0.7943400000,0.00000000,0.00000000,0.00000000,0.00000000,2808202606,USDCHF,USDCHF,SolTrade TBV1,YES
8,8,8,2026.01.05 10:05:01,1767607501453,0,1,3,0.02000000,156.9590000000,0.00000000,0.00000000,0.00000000,0.00000000,2808202607,USDJPY,USDJPY,SolTrade TBV1,YES
9,9,6,2026.01.09 23:12:43,1768000363450,1,0,4,0.04000000,1.3914900000,-40.04000000,0.00000000,-1.57000000,0.00000000,2808202605,USDCAD,USDCAD,sl 1.39147,YES
10,10,2,2026.02.02 10:05:00,1770026700205,1,1,3,0.03000000,1.1856900000,50.82000000,0.00000000,-8.12000000,0.00000000,2808202601,EURUSD,EURUSD,SolTrade TBV1 exit,YES
11,11,3,2026.02.02 10:05:00,1770026700405,1,1,3,0.02000000,1.3685600000,52.34000000,0.00000000,-1.44000000,0.00000000,2808202602,GBPUSD,GBPUSD,SolTrade TBV1 exit,YES
12,12,4,2026.02.02 10:05:00,1770026700605,1,1,3,0.04000000,0.6943000000,108.08000000,0.00000000,-2.00000000,0.00000000,2808202603,AUDUSD,AUDUSD,SolTrade TBV1 exit,YES
13,13,5,2026.02.02 10:05:00,1770026700805,1,1,3,0.03000000,0.6008000000,78.06000000,0.00000000,-2.28000000,0.00000000,2808202604,NZDUSD,NZDUSD,SolTrade TBV1 exit,YES
14,14,7,2026.02.02 10:05:01,1770026701005,1,0,3,0.03000000,0.7731600000,82.18000000,0.00000000,-12.34000000,0.00000000,2808202606,USDCHF,USDCHF,SolTrade TBV1 exit,YES
15,15,8,2026.02.02 10:05:01,1770026701205,1,0,3,0.02000000,154.9360000000,26.11000000,0.00000000,-6.79000000,0.00000000,2808202607,USDJPY,USDJPY,SolTrade TBV1 exit,YES
16,16,16,2026.02.02 10:05:01,1770026701420,0,0,3,0.01000000,1.1857000000,0.00000000,0.00000000,0.00000000,0.00000000,2808202601,EURUSD,EURUSD,SolTrade TBV1,YES
17,17,17,2026.02.02 10:05:01,1770026701620,0,0,3,0.01000000,1.3685600000,0.00000000,0.00000000,0.00000000,0.00000000,2808202602,GBPUSD,GBPUSD,SolTrade TBV1,YES
18,18,18,2026.02.02 10:05:01,1770026701820,0,0,3,0.02000000,0.6943100000,0.00000000,0.00000000,0.00000000,0.00000000,2808202603,AUDUSD,AUDUSD,SolTrade TBV1,YES
19,19,19,2026.02.02 10:05:02,1770026702020,0,0,3,0.02000000,0.6008000000,0.00000000,0.00000000,0.00000000,0.00000000,2808202604,NZDUSD,NZDUSD,SolTrade TBV1,YES
20,20,20,2026.02.02 10:05:02,1770026702220,0,1,3,0.03000000,1.3651600000,0.00000000,0.00000000,0.00000000,0.00000000,2808202605,USDCAD,USDCAD,SolTrade TBV1,YES
21,21,21,2026.02.02 10:05:02,1770026702420,0,1,3,0.01000000,0.7731000000,0.00000000,0.00000000,0.00000000,0.00000000,2808202606,USDCHF,USDCHF,SolTrade TBV1,YES
22,22,22,2026.02.02 10:05:02,1770026702620,0,1,3,0.01000000,154.9220000000,0.00000000,0.00000000,0.00000000,0.00000000,2808202607,USDJPY,USDJPY,SolTrade TBV1,YES
23,23,17,2026.03.02 08:23:32,1772439812316,1,1,4,0.01000000,1.3392600000,-29.30000000,0.00000000,-0.80000000,0.00000000,2808202602,GBPUSD,GBPUSD,sl 1.33931,YES
24,24,16,2026.03.02 10:05:00,1772445900348,1,1,3,0.01000000,1.1715300000,-14.17000000,0.00000000,-2.76000000,0.00000000,2808202601,EURUSD,EURUSD,SolTrade TBV1 exit,YES
25,25,18,2026.03.02 10:05:00,1772445900548,1,1,3,0.02000000,0.7057700000,22.92000000,0.00000000,-1.08000000,0.00000000,2808202603,AUDUSD,AUDUSD,SolTrade TBV1 exit,YES
26,26,19,2026.03.02 10:05:00,1772445900748,1,1,3,0.02000000,0.5943500000,-12.90000000,0.00000000,-1.64000000,0.00000000,2808202604,NZDUSD,NZDUSD,SolTrade TBV1 exit,YES
27,27,20,2026.03.02 10:05:00,1772445900948,1,0,3,0.03000000,1.3658300000,-1.47000000,0.00000000,-5.60000000,0.00000000,2808202605,USDCAD,USDCAD,SolTrade TBV1 exit,YES
28,28,21,2026.03.02 10:05:01,1772445901148,1,0,3,0.01000000,0.7727500000,0.45000000,0.00000000,-4.20000000,0.00000000,2808202606,USDCHF,USDCHF,SolTrade TBV1 exit,YES
