schema,time,dataset,execution_layer,canonical_symbol,resolved_symbol,event_type,reason_code,details,dry_run
SOLTRADE_V28_EVENT_V1,2024.12.01 00:00:00,V28_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,EURUSD,EURUSD,SYMBOL_PREFLIGHT,PASS,tick_size=0.0000100000;tick_value_loss=1.00000000;volume_min=0.01000000;volume_max=50.00000000;volume_step=0.01000000;stops_level=0;filling=2,NO
SOLTRADE_V28_EVENT_V1,2024.12.01 00:00:00,V28_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,GBPUSD,GBPUSD,SYMBOL_PREFLIGHT,PASS,tick_size=0.0000100000;tick_value_loss=1.00000000;volume_min=0.01000000;volume_max=50.00000000;volume_step=0.01000000;stops_level=0;filling=2,NO
SOLTRADE_V28_EVENT_V1,2024.12.01 00:00:00,V28_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,AUDUSD,AUDUSD,SYMBOL_PREFLIGHT,PASS,tick_size=0.0000100000;tick_value_loss=1.00000000;volume_min=0.01000000;volume_max=50.00000000;volume_step=0.01000000;stops_level=0;filling=2,NO
SOLTRADE_V28_EVENT_V1,2024.12.01 00:00:00,V28_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,NZDUSD,NZDUSD,SYMBOL_PREFLIGHT,PASS,tick_size=0.0000100000;tick_value_loss=1.00000000;volume_min=0.01000000;volume_max=50.00000000;volume_step=0.01000000;stops_level=0;filling=2,NO
SOLTRADE_V28_EVENT_V1,2024.12.01 00:00:00,V28_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,USDCAD,USDCAD,SYMBOL_PREFLIGHT,PASS,tick_size=0.0000100000;tick_value_loss=0.71445923;volume_min=0.01000000;volume_max=50.00000000;volume_step=0.01000000;stops_level=0;filling=2,NO
SOLTRADE_V28_EVENT_V1,2024.12.01 00:00:00,V28_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,USDCHF,USDCHF,SYMBOL_PREFLIGHT,PASS,tick_size=0.0000100000;tick_value_loss=1.13557648;volume_min=0.01000000;volume_max=50.00000000;volume_step=0.01000000;stops_level=0;filling=2,NO
SOLTRADE_V28_EVENT_V1,2024.12.01 00:00:00,V28_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,USDJPY,USDJPY,SYMBOL_PREFLIGHT,PASS,tick_size=0.0010000000;tick_value_loss=0.66827498;volume_min=0.01000000;volume_max=50.00000000;volume_step=0.01000000;stops_level=0;filling=2,NO
SOLTRADE_V28_EVENT_V1,2024.12.01 00:00:00,V28_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,,,ACCOUNT_PREFLIGHT,PASS,server=FPMarketsSC-Demo;balance=10000.00;equity=10000.00;leverage=1:30;hedge=YES;positions=0;orders=0,NO
SOLTRADE_V28_EVENT_V1,2024.12.01 00:00:00,V28_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,,,RISK_PREFLIGHT,PASS,risk_per_leg=0.5%;cohort_initial_risk=3.5%;daily_lock=1.0%;weekly_lock=2.5%;emergency_static_lock=5.0%;fxify_daily=4.0%;fxify_static=8.0%,NO
SOLTRADE_V28_EVENT_V1,2024.12.01 00:00:00,V28_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,,,PREFLIGHT_PASSED,NONE,strategy=FX_DOLLAR_FACTOR_MOMENTUM_1M_1M_1_0;symbols=7;dry_run=NO;orders_submitted=NO,NO
SOLTRADE_V28_EVENT_V1,2025.01.06 10:05:00,V28_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,EURUSD,EURUSD,ORDER_REQUEST_ACCEPTED_AWAITING_TRANSACTION,BROKER_REPORTED_FILL_AWAITING_CONFIRMATION,Broker returned DONE; fill remains unconfirmed until a matching trade transaction,NO
SOLTRADE_V28_EVENT_V1,2025.01.06 10:05:00,V28_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,GBPUSD,GBPUSD,ORDER_REQUEST_ACCEPTED_AWAITING_TRANSACTION,BROKER_REPORTED_FILL_AWAITING_CONFIRMATION,Broker returned DONE; fill remains unconfirmed until a matching trade transaction,NO
SOLTRADE_V28_EVENT_V1,2025.01.06 10:05:00,V28_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,AUDUSD,AUDUSD,ORDER_REQUEST_ACCEPTED_AWAITING_TRANSACTION,BROKER_REPORTED_FILL_AWAITING_CONFIRMATION,Broker returned DONE; fill remains unconfirmed until a matching trade transaction,NO
SOLTRADE_V28_EVENT_V1,2025.01.06 10:05:00,V28_2025_DEVELOPMENT,NATIVE_NORMAL_EXECUTION,NZDUSD,NZDUSD,ORDER_REQUEST_ACCEPTED_AWAITING_TRANSACTION,BROKER_REPORTED_FILL_AWAITING_CONFIRMATION,Broker returned DONE; fill remains unconfirmed until a matching trade transaction,NO
