schema,dataset,target,canonical_symbol,resolved_symbol,orientation,dollar_factor_return,factor_side,direction,recent_h1,recent_close,anchor_h1,anchor_close,scheduled_exit
SOLTRADE_V28_SIGNAL_V1,V28_2026_PRESEAL_DEVELOPMENT,2026.01.05 10:05:00,EURUSD,EURUSD,1,0.008441334468,LONG_FOREIGN_FACTOR,BUY,2026.01.05 09:00:00,1.1685500000,2025.12.01 09:00:00,1.1606400000,2026.02.02 10:05:00
SOLTRADE_V28_SIGNAL_V1,V28_2026_PRESEAL_DEVELOPMENT,2026.01.05 10:05:00,GBPUSD,GBPUSD,1,0.008441334468,LONG_FOREIGN_FACTOR,BUY,2026.01.05 09:00:00,1.3422100000,2025.12.01 09:00:00,1.3219400000,2026.02.02 10:05:00
SOLTRADE_V28_SIGNAL_V1,V28_2026_PRESEAL_DEVELOPMENT,2026.01.05 10:05:00,AUDUSD,AUDUSD,1,0.008441334468,LONG_FOREIGN_FACTOR,BUY,2026.01.05 09:00:00,0.6676100000,2025.12.01 09:00:00,0.6549700000,2026.02.02 10:05:00
SOLTRADE_V28_SIGNAL_V1,V28_2026_PRESEAL_DEVELOPMENT,2026.01.05 10:05:00,NZDUSD,NZDUSD,1,0.008441334468,LONG_FOREIGN_FACTOR,BUY,2026.01.05 09:00:00,0.5748700000,2025.12.01 09:00:00,0.5735600000,2026.02.02 10:05:00
SOLTRADE_V28_SIGNAL_V1,V28_2026_PRESEAL_DEVELOPMENT,2026.01.05 10:05:00,USDCAD,USDCAD,-1,0.008441334468,LONG_FOREIGN_FACTOR,SELL,2026.01.05 09:00:00,1.3777300000,2025.12.01 09:00:00,1.3977600000,2026.02.02 10:05:00
SOLTRADE_V28_SIGNAL_V1,V28_2026_PRESEAL_DEVELOPMENT,2026.01.05 10:05:00,USDCHF,USDCHF,-1,0.008441334468,LONG_FOREIGN_FACTOR,SELL,2026.01.05 09:00:00,0.7940600000,2025.12.01 09:00:00,0.8033900000,2026.02.02 10:05:00
SOLTRADE_V28_SIGNAL_V1,V28_2026_PRESEAL_DEVELOPMENT,2026.01.05 10:05:00,USDJPY,USDJPY,-1,0.008441334468,LONG_FOREIGN_FACTOR,SELL,2026.01.05 09:00:00,156.9850000000,2025.12.01 09:00:00,155.3560000000,2026.02.02 10:05:00
SOLTRADE_V28_SIGNAL_V1,V28_2026_PRESEAL_DEVELOPMENT,2026.02.02 10:05:00,EURUSD,EURUSD,1,0.023558743650,LONG_FOREIGN_FACTOR,BUY,2026.02.02 09:00:00,1.1852900000,2026.01.05 09:00:00,1.1685500000,2026.03.02 10:05:00
SOLTRADE_V28_SIGNAL_V1,V28_2026_PRESEAL_DEVELOPMENT,2026.02.02 10:05:00,GBPUSD,GBPUSD,1,0.023558743650,LONG_FOREIGN_FACTOR,BUY,2026.02.02 09:00:00,1.3678900000,2026.01.05 09:00:00,1.3422100000,2026.03.02 10:05:00
SOLTRADE_V28_SIGNAL_V1,V28_2026_PRESEAL_DEVELOPMENT,2026.02.02 10:05:00,AUDUSD,AUDUSD,1,0.023558743650,LONG_FOREIGN_FACTOR,BUY,2026.02.02 09:00:00,0.6941400000,2026.01.05 09:00:00,0.6676100000,2026.03.02 10:05:00
