condition,source_dataset,source_date_not_normalized_to_utc_plus_3,source_segment_previous_day_balance_proxy_usd,source_segment_realized_cash_flow_proxy_usd,source_segment_end_of_date_balance_proxy_usd,midnight_balance_utc_plus_3_usd,midnight_equity_utc_plus_3_usd,intraday_minimum_equity_usd,official_profitable_day_calculation_usd,authoritative_status,continuity_note
NORMAL,V28_2025_DEVELOPMENT,2025-01-06,10000.0000000000,0.0000000000,10000.0000000000,,,,,INSUFFICIENT_EVIDENCE,
NORMAL,V28_2025_DEVELOPMENT,2025-01-07,10000.0000000000,0.0000000000,10000.0000000000,,,,,INSUFFICIENT_EVIDENCE,
NORMAL,V28_2025_DEVELOPMENT,2025-01-08,10000.0000000000,0.0000000000,10000.0000000000,,,,,INSUFFICIENT_EVIDENCE,
NORMAL,V28_2025_DEVELOPMENT,2025-01-09,10000.0000000000,0.0000000000,10000.0000000000,,,,,INSUFFICIENT_EVIDENCE,
NORMAL,V28_2025_DEVELOPMENT,2025-01-10,10000.0000000000,0.0000000000,10000.0000000000,,,,,INSUFFICIENT_EVIDENCE,
NORMAL,V28_2025_DEVELOPMENT,2025-01-11,10000.0000000000,0.0000000000,10000.0000000000,,,,,INSUFFICIENT_EVIDENCE,
NORMAL,V28_2025_DEVELOPMENT,2025-01-12,10000.0000000000,0.0000000000,10000.0000000000,,,,,INSUFFICIENT_EVIDENCE,
NORMAL,V28_2025_DEVELOPMENT,2025-01-13,10000.0000000000,0.0000000000,10000.0000000000,,,,,INSUFFICIENT_EVIDENCE,
NORMAL,V28_2025_DEVELOPMENT,2025-01-14,10000.0000000000,0.0000000000,10000.0000000000,,,,,INSUFFICIENT_EVIDENCE,
NORMAL,V28_2025_DEVELOPMENT,2025-01-15,10000.0000000000,0.0000000000,10000.0000000000,,,,,INSUFFICIENT_EVIDENCE,
NORMAL,V28_2025_DEVELOPMENT,2025-01-16,10000.0000000000,0.0000000000,10000.0000000000,,,,,INSUFFICIENT_EVIDENCE,
NORMAL,V28_2025_DEVELOPMENT,2025-01-17,10000.0000000000,0.0000000000,10000.0000000000,,,,,INSUFFICIENT_EVIDENCE,
NORMAL,V28_2025_DEVELOPMENT,2025-01-18,10000.0000000000,0.0000000000,10000.0000000000,,,,,INSUFFICIENT_EVIDENCE,
NORMAL,V28_2025_DEVELOPMENT,2025-01-19,10000.0000000000,0.0000000000,10000.0000000000,,,,,INSUFFICIENT_EVIDENCE,
NORMAL,V28_2025_DEVELOPMENT,2025-01-20,10000.0000000000,0.0000000000,10000.0000000000,,,,,INSUFFICIENT_EVIDENCE,
NORMAL,V28_2025_DEVELOPMENT,2025-01-21,10000.0000000000,0.0000000000,10000.0000000000,,,,,INSUFFICIENT_EVIDENCE,
NORMAL,V28_2025_DEVELOPMENT,2025-01-22,10000.0000000000,0.0000000000,10000.0000000000,,,,,INSUFFICIENT_EVIDENCE,
NORMAL,V28_2025_DEVELOPMENT,2025-01-23,10000.0000000000,0.0000000000,10000.0000000000,,,,,INSUFFICIENT_EVIDENCE,
NORMAL,V28_2025_DEVELOPMENT,2025-01-24,10000.0000000000,0.0000000000,10000.0000000000,,,,,INSUFFICIENT_EVIDENCE,
NORMAL,V28_2025_DEVELOPMENT,2025-01-25,10000.0000000000,0.0000000000,10000.0000000000,,,,,INSUFFICIENT_EVIDENCE,
NORMAL,V28_2025_DEVELOPMENT,2025-01-26,10000.0000000000,0.0000000000,10000.0000000000,,,,,INSUFFICIENT_EVIDENCE,
NORMAL,V28_2025_DEVELOPMENT,2025-01-27,10000.0000000000,0.0000000000,10000.0000000000,,,,,INSUFFICIENT_EVIDENCE,
NORMAL,V28_2025_DEVELOPMENT,2025-01-28,10000.0000000000,0.0000000000,10000.0000000000,,,,,INSUFFICIENT_EVIDENCE,
NORMAL,V28_2025_DEVELOPMENT,2025-01-29,10000.0000000000,0.0000000000,10000.0000000000,,,,,INSUFFICIENT_EVIDENCE,
NORMAL,V28_2025_DEVELOPMENT,2025-01-30,10000.0000000000,0.0000000000,10000.0000000000,,,,,INSUFFICIENT_EVIDENCE,
NORMAL,V28_2025_DEVELOPMENT,2025-01-31,10000.0000000000,0.0000000000,10000.0000000000,,,,,INSUFFICIENT_EVIDENCE,
NORMAL,V28_2025_DEVELOPMENT,2025-02-01,10000.0000000000,0.0000000000,10000.0000000000,,,,,INSUFFICIENT_EVIDENCE,
NORMAL,V28_2025_DEVELOPMENT,2025-02-02,10000.0000000000,0.0000000000,10000.0000000000,,,,,INSUFFICIENT_EVIDENCE,
NORMAL,V28_2025_DEVELOPMENT,2025-02-03,10000.0000000000,192.9600546749,10192.9600546749,,,,,INSUFFICIENT_EVIDENCE,
NORMAL,V28_2025_DEVELOPMENT,2025-02-04,10192.9600546749,-52.3213889526,10140.6386657223,,,,,INSUFFICIENT_EVIDENCE,
NORMAL,V28_2025_DEVELOPMENT,2025-02-05,10140.6386657223,-51.5531485872,10089.0855171351,,,,,INSUFFICIENT_EVIDENCE,
NORMAL,V28_2025_DEVELOPMENT,2025-02-06,10089.0855171351,-51.5961584726,10037.4893586625,,,,,INSUFFICIENT_EVIDENCE,
NORMAL,V28_2025_DEVELOPMENT,2025-02-07,10037.4893586625,-50.5055292448,9986.9838294177,,,,,INSUFFICIENT_EVIDENCE,
NORMAL,V28_2025_DEVELOPMENT,2025-02-08,9986.9838294177,0.0000000000,9986.9838294177,,,,,INSUFFICIENT_EVIDENCE,
NORMAL,V28_2025_DEVELOPMENT,2025-02-09,9986.9838294177,0.0000000000,9986.9838294177,,,,,INSUFFICIENT_EVIDENCE,
NORMAL,V28_2025_DEVELOPMENT,2025-02-10,9986.9838294177,0.0000000000,9986.9838294177,,,,,INSUFFICIENT_EVIDENCE,
NORMAL,V28_2025_DEVELOPMENT,2025-02-11,9986.9838294177,0.0000000000,9986.9838294177,,,,,INSUFFICIENT_EVIDENCE,
