condition,start,end,days,last_deal_symbol,next_deal_symbol,status
NORMAL,2025.03.03 10:05:00,2025.04.04 14:32:01,32.18542824074074,USDJPY,AUDUSD,FAIL_RECORDED_DEAL_GAP_EXCEEDS_30_DAYS
NORMAL,2025.12.01 10:05:00,2026.01.05 10:05:00,35.0,USDJPY,EURUSD,FAIL_RECORDED_DEAL_GAP_EXCEEDS_30_DAYS
NORMAL,2026.03.02 10:05:00,2026.04.06 10:05:00,35.0,USDJPY,EURUSD,FAIL_RECORDED_DEAL_GAP_EXCEEDS_30_DAYS
NORMAL,2026.06.01 10:05:01,2026.07.06 10:05:00,34.99998842592593,USDJPY,EURUSD,FAIL_RECORDED_DEAL_GAP_EXCEEDS_30_DAYS
HIGH,2025.03.03 10:05:00,2025.04.04 14:32:01,32.18542824074074,USDJPY,AUDUSD,FAIL_RECORDED_DEAL_GAP_EXCEEDS_30_DAYS
HIGH,2025.12.01 10:05:00,2026.01.05 10:05:00,35.0,USDJPY,EURUSD,FAIL_RECORDED_DEAL_GAP_EXCEEDS_30_DAYS
HIGH,2026.03.02 10:05:00,2026.04.06 10:05:00,35.0,USDJPY,EURUSD,FAIL_RECORDED_DEAL_GAP_EXCEEDS_30_DAYS
HIGH,2026.06.01 10:05:01,2026.07.06 10:05:00,34.99998842592593,USDJPY,EURUSD,FAIL_RECORDED_DEAL_GAP_EXCEEDS_30_DAYS
STRESS,2025.03.03 10:05:00,2025.04.04 14:32:01,32.18542824074074,USDJPY,AUDUSD,FAIL_RECORDED_DEAL_GAP_EXCEEDS_30_DAYS
STRESS,2025.12.01 10:05:00,2026.01.05 10:05:00,35.0,USDJPY,EURUSD,FAIL_RECORDED_DEAL_GAP_EXCEEDS_30_DAYS
STRESS,2026.03.02 10:05:00,2026.04.06 10:05:00,35.0,USDJPY,EURUSD,FAIL_RECORDED_DEAL_GAP_EXCEEDS_30_DAYS
STRESS,2026.06.01 10:05:01,2026.07.06 10:05:00,34.99998842592593,USDJPY,EURUSD,FAIL_RECORDED_DEAL_GAP_EXCEEDS_30_DAYS
DELAY_200_MS,2025.03.03 10:05:01,2025.04.04 14:32:01,32.18541666666667,USDJPY,AUDUSD,FAIL_RECORDED_DEAL_GAP_EXCEEDS_30_DAYS
DELAY_200_MS,2025.12.01 10:05:01,2026.01.05 10:05:00,34.99998842592593,USDJPY,EURUSD,FAIL_RECORDED_DEAL_GAP_EXCEEDS_30_DAYS
DELAY_200_MS,2026.03.02 10:05:01,2026.04.06 10:05:00,34.99998842592593,USDJPY,EURUSD,FAIL_RECORDED_DEAL_GAP_EXCEEDS_30_DAYS
DELAY_200_MS,2026.06.01 10:05:02,2026.07.06 10:05:00,34.999976851851855,USDJPY,EURUSD,FAIL_RECORDED_DEAL_GAP_EXCEEDS_30_DAYS
