condition,dimension,member,trade_count,net_profit_usd,percent_of_total_net_profit,status
NORMAL,direction,BUY,54,675.1772111970,,SOURCE_SEGMENT_SUM_NON_AUTHORITATIVE_FOR_PROP_PHASE
NORMAL,direction,SELL,51,74.5555045080,,SOURCE_SEGMENT_SUM_NON_AUTHORITATIVE_FOR_PROP_PHASE
NORMAL,largest_symbol,AUDUSD,,212.0561487525,28.2842330754,CONCENTRATED
HIGH,direction,BUY,54,575.8987055390,,SOURCE_SEGMENT_SUM_NON_AUTHORITATIVE_FOR_PROP_PHASE
HIGH,direction,SELL,51,-46.5930557439,,SOURCE_SEGMENT_SUM_NON_AUTHORITATIVE_FOR_PROP_PHASE
HIGH,largest_symbol,AUDUSD,,198.0273365190,37.4126625317,CONCENTRATED
STRESS,direction,BUY,54,477.7355612315,,SOURCE_SEGMENT_SUM_NON_AUTHORITATIVE_FOR_PROP_PHASE
STRESS,direction,SELL,51,-166.3918506928,,SOURCE_SEGMENT_SUM_NON_AUTHORITATIVE_FOR_PROP_PHASE
STRESS,largest_symbol,AUDUSD,,184.1424114492,59.1444134621,CONCENTRATED
DELAY_200_MS,direction,BUY,54,674.8940358597,,SOURCE_SEGMENT_SUM_NON_AUTHORITATIVE_FOR_PROP_PHASE
DELAY_200_MS,direction,SELL,51,75.4058140673,,SOURCE_SEGMENT_SUM_NON_AUTHORITATIVE_FOR_PROP_PHASE
DELAY_200_MS,largest_symbol,AUDUSD,,213.0734126951,28.3984346679,CONCENTRATED
